EXP-LOAD, 2023-07-17T21:44:09.676, ubuntu22-c, mtd-zk-0, 0.066214
EXP-LOAD, 2023-07-17T21:44:20.662, ubuntu22-c, mtd-zk-0, 0.282650
EXP-LEAD, 2023-07-17T21:44:22.668, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:44:29.152, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:44:30.252, ubuntu22-c, mtd-zk-0, 0.282650
EXP-LOAD, 2023-07-17T21:44:39.921, ubuntu22-c, mtd-zk-0, 0.347917
EXP-LOAD, 2023-07-17T21:44:48.077, ubuntu22-c, mtd-zk-0, 0.347917
EXP-LOAD, 2023-07-17T21:44:59.266, ubuntu22-c, mtd-zk-0, 0.098022
EXP-LOAD, 2023-07-17T21:45:05.447, ubuntu22-c, mtd-zk-0, 0.107739
EXP-LOAD, 2023-07-17T21:45:17.436, ubuntu22-c, mtd-zk-0, 0.107739
EXP-LEAD, 2023-07-17T21:45:18.497, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:45:24.396, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:45:25.503, ubuntu22-c, mtd-zk-0, 0.250439
EXP-LOAD, 2023-07-17T21:45:31.784, ubuntu22-c, mtd-zk-0, 0.250439
EXP-LOAD, 2023-07-17T21:45:44.707, ubuntu22-c, mtd-zk-0, 0.240541
EXP-LOAD, 2023-07-17T21:45:49.857, ubuntu22-c, mtd-zk-0, 0.127226
EXP-LOAD, 2023-07-17T21:45:59.079, ubuntu22-c, mtd-zk-0, 0.127226
EXP-LEAD, 2023-07-17T21:46:01.038, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:46:06.633, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:46:07.687, ubuntu22-c, mtd-zk-0, 0.330028
EXP-LOAD, 2023-07-17T21:46:18.236, ubuntu22-c, mtd-zk-0, 0.330028
EXP-LOAD, 2023-07-17T21:46:25.395, ubuntu22-c, mtd-zk-0, 0.206420
EXP-LOAD, 2023-07-17T21:46:34.494, ubuntu22-c, mtd-zk-0, 0.235115
EXP-LOAD, 2023-07-17T21:46:45.580, ubuntu22-c, mtd-zk-0, 0.235115
EXP-LOAD, 2023-07-17T21:46:50.685, ubuntu22-c, mtd-zk-0, 0.139488
EXP-LOAD, 2023-07-17T21:47:00.299, ubuntu22-c, mtd-zk-0, 0.139488
EXP-LEAD, 2023-07-17T21:47:02.312, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:47:07.839, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:47:08.892, ubuntu22-c, mtd-zk-0, 0.175333
EXP-LOAD, 2023-07-17T21:47:19.991, ubuntu22-c, mtd-zk-0, 0.160822
EXP-LOAD, 2023-07-17T21:47:26.079, ubuntu22-c, mtd-zk-0, 0.160822
EXP-LEAD, 2023-07-17T21:47:27.125, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:47:31.731, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:47:32.796, ubuntu22-c, mtd-zk-0, 0.160822
EXP-LOAD, 2023-07-17T21:47:38.288, ubuntu22-c, mtd-zk-0, 0.168763
EXP-LOAD, 2023-07-17T21:47:46.399, ubuntu22-c, mtd-zk-0, 0.168763
EXP-LOAD, 2023-07-17T21:47:58.557, ubuntu22-c, mtd-zk-0, 0.277630
EXP-LEAD, 2023-07-17T21:47:59.607, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:48:05.360, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:48:06.427, ubuntu22-c, mtd-zk-0, 0.144892
EXP-LOAD, 2023-07-17T21:48:15.773, ubuntu22-c, mtd-zk-0, 0.144892
EXP-LOAD, 2023-07-17T21:48:23.887, ubuntu22-c, mtd-zk-0, 0.108418
EXP-LOAD, 2023-07-17T21:48:31.988, ubuntu22-c, mtd-zk-0, 0.108418
EXP-LOAD, 2023-07-17T21:48:42.104, ubuntu22-c, mtd-zk-0, 0.158517
EXP-LEAD, 2023-07-17T21:48:43.140, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:48:47.739, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:48:48.779, ubuntu22-c, mtd-zk-0, 0.158517
EXP-LEAD, 2023-07-17T21:48:49.234, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:48:53.802, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:48:54.851, ubuntu22-c, mtd-zk-0, 0.137818
EXP-LEAD, 2023-07-17T21:48:56.395, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:49:02.981, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:49:04.032, ubuntu22-c, mtd-zk-0, 0.196909
EXP-LOAD, 2023-07-17T21:49:10.582, ubuntu22-c, mtd-zk-0, 0.196909
EXP-LEAD, 2023-07-17T21:49:11.074, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:49:16.827, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:49:17.898, ubuntu22-c, mtd-zk-0, 0.196909
EXP-LOAD, 2023-07-17T21:49:27.235, ubuntu22-c, mtd-zk-0, 0.277845
EXP-LOAD, 2023-07-17T21:49:34.328, ubuntu22-c, mtd-zk-0, 0.186521
EXP-LOAD, 2023-07-17T21:49:43.967, ubuntu22-c, mtd-zk-0, 0.186521
EXP-LOAD, 2023-07-17T21:49:56.081, ubuntu22-c, mtd-zk-0, 0.190073
EXP-LEAD, 2023-07-17T21:49:57.102, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:50:01.668, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:50:02.719, ubuntu22-c, mtd-zk-0, 0.190073
EXP-LOAD, 2023-07-17T21:50:12.296, ubuntu22-c, mtd-zk-0, 0.184554
EXP-LEAD, 2023-07-17T21:50:13.309, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:50:18.910, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:50:19.960, ubuntu22-c, mtd-zk-0, 0.173669
EXP-LEAD, 2023-07-17T21:50:21.397, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:50:26.962, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:50:28.014, ubuntu22-c, mtd-zk-0, 0.173669
EXP-LEAD, 2023-07-17T21:50:29.475, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:50:36.046, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:50:37.095, ubuntu22-c, mtd-zk-0, 0.276425
EXP-LOAD, 2023-07-17T21:50:43.205, ubuntu22-c, mtd-zk-0, 0.276425
EXP-LOAD, 2023-07-17T21:50:55.290, ubuntu22-c, mtd-zk-0, 0.207478
EXP-LEAD, 2023-07-17T21:50:55.318, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:51:00.860, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:51:01.912, ubuntu22-c, mtd-zk-0, 0.207478
EXP-LOAD, 2023-07-17T21:51:11.490, ubuntu22-c, mtd-zk-0, 0.203342
EXP-LOAD, 2023-07-17T21:51:20.566, ubuntu22-c, mtd-zk-0, 0.189223
EXP-LEAD, 2023-07-17T21:51:21.612, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T21:51:27.234, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T21:51:28.327, ubuntu22-c, mtd-zk-0, 0.189223
EXP-LEAD, 2023-07-17T21:51:29.713, ubuntu22-c, mtd-zk-0, START
