EXP-LOAD, 2023-07-18T17:07:31.565, ubuntu22-b, mtd-zk-0, 0.577617
EXP-LEAD, 2023-07-18T17:07:32.806, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:07:42.547, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:07:43.710, ubuntu22-b, mtd-zk-0, 0.599723
EXP-LOAD, 2023-07-18T17:07:53.133, ubuntu22-b, mtd-zk-0, 0.798402
EXP-LEAD, 2023-07-18T17:07:55.338, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:08:00.631, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:08:01.744, ubuntu22-b, mtd-zk-0, 0.798402
EXP-LEAD, 2023-07-18T17:08:04.492, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:08:12.559, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:08:13.632, ubuntu22-b, mtd-zk-0, 0.695808
EXP-LOAD, 2023-07-18T17:08:20.866, ubuntu22-b, mtd-zk-0, 0.738624
EXP-LOAD, 2023-07-18T17:08:27.998, ubuntu22-b, mtd-zk-0, 0.738624
EXP-LOAD, 2023-07-18T17:08:39.134, ubuntu22-b, mtd-zk-0, 0.710816
EXP-LEAD, 2023-07-18T17:08:40.740, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:08:45.519, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:08:46.694, ubuntu22-b, mtd-zk-0, 0.710816
EXP-LOAD, 2023-07-18T17:08:57.007, ubuntu22-b, mtd-zk-0, 0.718205
EXP-LOAD, 2023-07-18T17:09:08.336, ubuntu22-b, mtd-zk-0, 0.659013
EXP-LOAD, 2023-07-18T17:09:15.396, ubuntu22-b, mtd-zk-0, 0.659013
EXP-LOAD, 2023-07-18T17:09:25.542, ubuntu22-b, mtd-zk-0, 0.697407
EXP-LOAD, 2023-07-18T17:09:34.180, ubuntu22-b, mtd-zk-0, 0.720206
EXP-LOAD, 2023-07-18T17:09:44.941, ubuntu22-b, mtd-zk-0, 0.720206
EXP-LOAD, 2023-07-18T17:09:51.995, ubuntu22-b, mtd-zk-0, 0.726806
EXP-LEAD, 2023-07-18T17:09:53.034, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:10:03.119, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:10:04.173, ubuntu22-b, mtd-zk-0, 0.747605
EXP-LOAD, 2023-07-18T17:10:12.283, ubuntu22-b, mtd-zk-0, 0.747605
EXP-LOAD, 2023-07-18T17:10:25.356, ubuntu22-b, mtd-zk-0, 0.647615
EXP-LOAD, 2023-07-18T17:10:32.475, ubuntu22-b, mtd-zk-0, 0.647615
EXP-LOAD, 2023-07-18T17:10:41.650, ubuntu22-b, mtd-zk-0, 0.655837
EXP-LOAD, 2023-07-18T17:10:53.787, ubuntu22-b, mtd-zk-0, 0.712408
EXP-LEAD, 2023-07-18T17:10:54.825, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:10:59.390, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:11:00.451, ubuntu22-b, mtd-zk-0, 0.712408
EXP-LOAD, 2023-07-18T17:11:09.033, ubuntu22-b, mtd-zk-0, 0.665819
EXP-LOAD, 2023-07-18T17:11:17.219, ubuntu22-b, mtd-zk-0, 0.665819
EXP-LOAD, 2023-07-18T17:11:23.745, ubuntu22-b, mtd-zk-0, 0.641013
EXP-LEAD, 2023-07-18T17:11:25.795, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:11:33.568, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:11:34.649, ubuntu22-b, mtd-zk-0, 0.678514
EXP-LEAD, 2023-07-18T17:11:36.932, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:11:42.693, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:11:43.757, ubuntu22-b, mtd-zk-0, 0.678514
EXP-LOAD, 2023-07-18T17:11:51.297, ubuntu22-b, mtd-zk-0, 0.634800
EXP-LEAD, 2023-07-18T17:11:52.317, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T17:12:00.037, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T17:12:01.083, ubuntu22-b, mtd-zk-0, 0.634800
EXP-LOAD, 2023-07-18T17:12:10.482, ubuntu22-b, mtd-zk-0, 0.697830
EXP-LOAD, 2023-07-18T17:12:20.644, ubuntu22-b, mtd-zk-0, 0.704206
