EXP-LOAD, 2023-07-19T01:30:04.806, ubuntu22-b, mtd-zk-0, 0.571417
EXP-LOAD, 2023-07-19T01:30:12.323, ubuntu22-b, mtd-zk-0, 0.568006
EXP-LOAD, 2023-07-19T01:30:21.454, ubuntu22-b, mtd-zk-0, 0.649546
EXP-LOAD, 2023-07-19T01:30:28.707, ubuntu22-b, mtd-zk-0, 0.649546
EXP-LOAD, 2023-07-19T01:30:36.832, ubuntu22-b, mtd-zk-0, 0.631403
EXP-LOAD, 2023-07-19T01:30:43.985, ubuntu22-b, mtd-zk-0, 0.631403
EXP-LOAD, 2023-07-19T01:30:52.129, ubuntu22-b, mtd-zk-0, 0.681913
EXP-LOAD, 2023-07-19T01:31:02.310, ubuntu22-b, mtd-zk-0, 0.681913
EXP-LEAD, 2023-07-19T01:31:04.244, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:31:10.754, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:31:11.878, ubuntu22-b, mtd-zk-0, 0.663233
EXP-LOAD, 2023-07-19T01:31:22.232, ubuntu22-b, mtd-zk-0, 0.749218
EXP-LEAD, 2023-07-19T01:31:23.125, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:31:29.303, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:31:30.385, ubuntu22-b, mtd-zk-0, 0.749218
EXP-LOAD, 2023-07-19T01:31:37.609, ubuntu22-b, mtd-zk-0, 0.755454
EXP-LOAD, 2023-07-19T01:31:47.873, ubuntu22-b, mtd-zk-0, 0.755454
EXP-LOAD, 2023-07-19T01:31:57.920, ubuntu22-b, mtd-zk-0, 0.692722
EXP-LOAD, 2023-07-19T01:32:04.130, ubuntu22-b, mtd-zk-0, 0.692722
EXP-LOAD, 2023-07-19T01:32:15.599, ubuntu22-b, mtd-zk-0, 0.648013
EXP-LEAD, 2023-07-19T01:32:17.254, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:32:22.095, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:32:23.157, ubuntu22-b, mtd-zk-0, 0.717506
