EXP-LOAD, 2023-07-19T10:30:59.982, ubuntu22-b, mtd-zk-0, 0.574730
EXP-LOAD, 2023-07-19T10:31:08.425, ubuntu22-b, mtd-zk-0, 0.594616
EXP-LOAD, 2023-07-19T10:31:19.718, ubuntu22-b, mtd-zk-0, 0.683083
EXP-LOAD, 2023-07-19T10:31:27.127, ubuntu22-b, mtd-zk-0, 0.683083
EXP-LOAD, 2023-07-19T10:31:35.399, ubuntu22-b, mtd-zk-0, 0.671011
EXP-LOAD, 2023-07-19T10:31:46.171, ubuntu22-b, mtd-zk-0, 0.671011
EXP-LOAD, 2023-07-19T10:31:53.899, ubuntu22-b, mtd-zk-0, 0.668028
EXP-LOAD, 2023-07-19T10:32:02.079, ubuntu22-b, mtd-zk-0, 0.668028
EXP-LOAD, 2023-07-19T10:32:14.347, ubuntu22-b, mtd-zk-0, 0.727811
EXP-LOAD, 2023-07-19T10:32:22.185, ubuntu22-b, mtd-zk-0, 0.689632
EXP-LOAD, 2023-07-19T10:32:32.348, ubuntu22-b, mtd-zk-0, 0.689632
EXP-LOAD, 2023-07-19T10:32:42.585, ubuntu22-b, mtd-zk-0, 0.685239
EXP-LOAD, 2023-07-19T10:32:51.289, ubuntu22-b, mtd-zk-0, 0.707633
EXP-LOAD, 2023-07-19T10:33:01.489, ubuntu22-b, mtd-zk-0, 0.707633
EXP-LOAD, 2023-07-19T10:33:10.720, ubuntu22-b, mtd-zk-0, 0.688606
EXP-LOAD, 2023-07-19T10:33:19.011, ubuntu22-b, mtd-zk-0, 0.688606
EXP-LOAD, 2023-07-19T10:33:28.310, ubuntu22-b, mtd-zk-0, 0.653911
EXP-LOAD, 2023-07-19T10:33:36.619, ubuntu22-b, mtd-zk-0, 0.680838
EXP-LOAD, 2023-07-19T10:33:45.633, ubuntu22-b, mtd-zk-0, 0.680838
EXP-LOAD, 2023-07-19T10:33:54.783, ubuntu22-b, mtd-zk-0, 0.632017
EXP-LOAD, 2023-07-19T10:34:05.973, ubuntu22-b, mtd-zk-0, 0.599404
EXP-LOAD, 2023-07-19T10:34:14.189, ubuntu22-b, mtd-zk-0, 0.599404
EXP-LOAD, 2023-07-19T10:34:24.370, ubuntu22-b, mtd-zk-0, 0.677028
