EXP-LOAD, 2023-07-19T10:30:59.266, ubuntu22-c, mtd-zk-1, 0.569306
EXP-LOAD, 2023-07-19T10:31:09.430, ubuntu22-c, mtd-zk-1, 0.659208
EXP-LOAD, 2023-07-19T10:31:20.800, ubuntu22-c, mtd-zk-1, 0.621826
EXP-LOAD, 2023-07-19T10:31:26.174, ubuntu22-c, mtd-zk-1, 0.621826
EXP-LOAD, 2023-07-19T10:31:35.425, ubuntu22-c, mtd-zk-1, 0.663440
EXP-LOAD, 2023-07-19T10:31:46.255, ubuntu22-c, mtd-zk-1, 0.663440
EXP-LOAD, 2023-07-19T10:31:54.873, ubuntu22-c, mtd-zk-1, 0.673218
EXP-LOAD, 2023-07-19T10:32:03.110, ubuntu22-c, mtd-zk-1, 0.673218
EXP-LOAD, 2023-07-19T10:32:14.338, ubuntu22-c, mtd-zk-1, 0.668408
EXP-LOAD, 2023-07-19T10:32:23.194, ubuntu22-c, mtd-zk-1, 0.616608
EXP-LOAD, 2023-07-19T10:32:31.410, ubuntu22-c, mtd-zk-1, 0.616608
EXP-LOAD, 2023-07-19T10:32:43.616, ubuntu22-c, mtd-zk-1, 0.612774
EXP-LOAD, 2023-07-19T10:32:50.780, ubuntu22-c, mtd-zk-1, 0.661604
EXP-LOAD, 2023-07-19T10:33:00.510, ubuntu22-c, mtd-zk-1, 0.661604
EXP-LOAD, 2023-07-19T10:33:09.844, ubuntu22-c, mtd-zk-1, 0.658622
EXP-LOAD, 2023-07-19T10:33:17.989, ubuntu22-c, mtd-zk-1, 0.658622
EXP-LOAD, 2023-07-19T10:33:29.300, ubuntu22-c, mtd-zk-1, 0.713604
EXP-LOAD, 2023-07-19T10:33:37.488, ubuntu22-c, mtd-zk-1, 0.644705
EXP-LOAD, 2023-07-19T10:33:44.674, ubuntu22-c, mtd-zk-1, 0.644705
EXP-LOAD, 2023-07-19T10:33:54.079, ubuntu22-c, mtd-zk-1, 0.610009
EXP-LOAD, 2023-07-19T10:34:04.997, ubuntu22-c, mtd-zk-1, 0.712905
EXP-LOAD, 2023-07-19T10:34:13.159, ubuntu22-c, mtd-zk-1, 0.712905
EXP-LOAD, 2023-07-19T10:34:25.401, ubuntu22-c, mtd-zk-1, 0.652013
EXP-LOAD, 2023-07-19T10:34:42.589, ubuntu22-c, mtd-zk-1, 0.633012
EXP-LOAD, 2023-07-19T10:34:54.153, ubuntu22-c, mtd-zk-1, 0.627011
EXP-LOAD, 2023-07-19T10:35:03.181, ubuntu22-c, mtd-zk-1, 0.627011
EXP-LOAD, 2023-07-19T10:35:16.446, ubuntu22-c, mtd-zk-1, 0.719025
EXP-LOAD, 2023-07-19T10:35:23.615, ubuntu22-c, mtd-zk-1, 0.592823
EXP-LOAD, 2023-07-19T10:35:32.820, ubuntu22-c, mtd-zk-1, 0.592823
EXP-LOAD, 2023-07-19T10:35:42.971, ubuntu22-c, mtd-zk-1, 0.625816
EXP-LOAD, 2023-07-19T10:35:50.133, ubuntu22-c, mtd-zk-1, 0.593806
