EXP-LOAD, 2023-07-19T11:33:42.221, ubuntu22-c, mtd-zk-0, 0.579205
EXP-LOAD, 2023-07-19T11:33:50.692, ubuntu22-c, mtd-zk-0, 0.647306
EXP-LOAD, 2023-07-19T11:33:59.035, ubuntu22-c, mtd-zk-0, 0.647306
EXP-LOAD, 2023-07-19T11:34:11.260, ubuntu22-c, mtd-zk-0, 0.710405
EXP-LOAD, 2023-07-19T11:34:19.541, ubuntu22-c, mtd-zk-0, 0.636863
EXP-LOAD, 2023-07-19T11:34:26.863, ubuntu22-c, mtd-zk-0, 0.636863
EXP-LOAD, 2023-07-19T11:34:36.050, ubuntu22-c, mtd-zk-0, 0.686422
EXP-LOAD, 2023-07-19T11:34:43.323, ubuntu22-c, mtd-zk-0, 0.686422
EXP-LOAD, 2023-07-19T11:34:50.122, ubuntu22-c, mtd-zk-0, 0.708118
EXP-LOAD, 2023-07-19T11:35:00.205, ubuntu22-c, mtd-zk-0, 0.708118
EXP-LOAD, 2023-07-19T11:35:11.328, ubuntu22-c, mtd-zk-0, 0.661212
EXP-LOAD, 2023-07-19T11:35:18.535, ubuntu22-c, mtd-zk-0, 0.661212
EXP-LOAD, 2023-07-19T11:35:28.099, ubuntu22-c, mtd-zk-0, 0.656217
EXP-LOAD, 2023-07-19T11:35:35.374, ubuntu22-c, mtd-zk-0, 0.650608
EXP-LOAD, 2023-07-19T11:35:41.435, ubuntu22-c, mtd-zk-0, 0.650608
EXP-LOAD, 2023-07-19T11:35:53.691, ubuntu22-c, mtd-zk-0, 0.694918
EXP-LOAD, 2023-07-19T11:36:00.913, ubuntu22-c, mtd-zk-0, 0.694918
EXP-LOAD, 2023-07-19T11:36:11.403, ubuntu22-c, mtd-zk-0, 0.599214
EXP-LEAD, 2023-07-19T11:36:13.211, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T11:36:19.813, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T11:36:20.952, ubuntu22-c, mtd-zk-0, 0.722019
EXP-LOAD, 2023-07-19T11:36:32.377, ubuntu22-c, mtd-zk-0, 0.722019
EXP-LOAD, 2023-07-19T11:36:40.579, ubuntu22-c, mtd-zk-0, 0.611809
EXP-LOAD, 2023-07-19T11:36:49.755, ubuntu22-c, mtd-zk-0, 0.645727
EXP-LOAD, 2023-07-19T11:36:57.991, ubuntu22-c, mtd-zk-0, 0.645727
EXP-LOAD, 2023-07-19T11:37:05.313, ubuntu22-c, mtd-zk-0, 0.712617
EXP-LOAD, 2023-07-19T11:37:13.369, ubuntu22-c, mtd-zk-0, 0.712617
EXP-LOAD, 2023-07-19T11:37:23.556, ubuntu22-c, mtd-zk-0, 0.641281
EXP-LOAD, 2023-07-19T11:37:32.641, ubuntu22-c, mtd-zk-0, 0.641281
EXP-LOAD, 2023-07-19T11:37:40.858, ubuntu22-c, mtd-zk-0, 0.703017
EXP-LOAD, 2023-07-19T11:37:49.926, ubuntu22-c, mtd-zk-0, 0.603405
EXP-LOAD, 2023-07-19T11:37:57.135, ubuntu22-c, mtd-zk-0, 0.603405
EXP-LEAD, 2023-07-19T11:37:59.151, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T11:38:08.328, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T11:38:09.490, ubuntu22-c, mtd-zk-0, 0.731707
EXP-LOAD, 2023-07-19T11:38:17.686, ubuntu22-c, mtd-zk-0, 0.731707
EXP-LOAD, 2023-07-19T11:38:26.770, ubuntu22-c, mtd-zk-0, 0.657641
EXP-LOAD, 2023-07-19T11:38:35.922, ubuntu22-c, mtd-zk-0, 0.671112
EXP-LOAD, 2023-07-19T11:38:43.086, ubuntu22-c, mtd-zk-0, 0.671112
EXP-LOAD, 2023-07-19T11:38:50.638, ubuntu22-c, mtd-zk-0, 0.654267
EXP-LOAD, 2023-07-19T11:38:59.849, ubuntu22-c, mtd-zk-0, 0.654267
