EXP-LOAD, 2023-07-19T13:38:41.400, ubuntu22-b, mtd-zk-0, 0.562622
EXP-LEAD, 2023-07-19T13:38:42.677, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T13:38:50.534, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T13:38:51.724, ubuntu22-b, mtd-zk-0, 0.716602
EXP-LOAD, 2023-07-19T13:39:00.024, ubuntu22-b, mtd-zk-0, 0.716602
EXP-LOAD, 2023-07-19T13:39:09.724, ubuntu22-b, mtd-zk-0, 0.601244
EXP-LOAD, 2023-07-19T13:39:17.754, ubuntu22-b, mtd-zk-0, 0.601244
EXP-LOAD, 2023-07-19T13:39:26.929, ubuntu22-b, mtd-zk-0, 0.691033
EXP-LOAD, 2023-07-19T13:39:35.127, ubuntu22-b, mtd-zk-0, 0.635453
EXP-LOAD, 2023-07-19T13:39:47.325, ubuntu22-b, mtd-zk-0, 0.635453
EXP-LOAD, 2023-07-19T13:39:54.609, ubuntu22-b, mtd-zk-0, 0.677406
EXP-LOAD, 2023-07-19T13:40:03.835, ubuntu22-b, mtd-zk-0, 0.677406
EXP-LOAD, 2023-07-19T13:40:15.027, ubuntu22-b, mtd-zk-0, 0.654213
EXP-LOAD, 2023-07-19T13:40:23.105, ubuntu22-b, mtd-zk-0, 0.667617
EXP-LOAD, 2023-07-19T13:40:33.381, ubuntu22-b, mtd-zk-0, 0.667617
EXP-LOAD, 2023-07-19T13:40:43.404, ubuntu22-b, mtd-zk-0, 0.681125
EXP-LEAD, 2023-07-19T13:40:44.492, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T13:40:55.823, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T13:40:56.898, ubuntu22-b, mtd-zk-0, 0.665216
EXP-LOAD, 2023-07-19T13:41:05.794, ubuntu22-b, mtd-zk-0, 0.708722
EXP-LOAD, 2023-07-19T13:41:15.056, ubuntu22-b, mtd-zk-0, 0.708722
EXP-LOAD, 2023-07-19T13:41:25.664, ubuntu22-b, mtd-zk-0, 0.698604
EXP-LOAD, 2023-07-19T13:41:35.386, ubuntu22-b, mtd-zk-0, 0.657908
EXP-LOAD, 2023-07-19T13:41:46.572, ubuntu22-b, mtd-zk-0, 0.657908
EXP-LOAD, 2023-07-19T13:41:53.942, ubuntu22-b, mtd-zk-0, 0.662656
