EXP-LOAD, 2023-07-19T14:41:13.922, ubuntu22-c, mtd-zk-0, 0.585409
EXP-LOAD, 2023-07-19T14:41:24.765, ubuntu22-c, mtd-zk-0, 0.655912
EXP-LOAD, 2023-07-19T14:41:32.540, ubuntu22-c, mtd-zk-0, 0.655912
EXP-LOAD, 2023-07-19T14:41:43.786, ubuntu22-c, mtd-zk-0, 0.607605
EXP-LOAD, 2023-07-19T14:41:52.123, ubuntu22-c, mtd-zk-0, 0.672731
EXP-LOAD, 2023-07-19T14:42:03.201, ubuntu22-c, mtd-zk-0, 0.672731
EXP-LEAD, 2023-07-19T14:42:04.301, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T14:42:11.408, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T14:42:12.542, ubuntu22-c, mtd-zk-0, 0.711803
EXP-LOAD, 2023-07-19T14:42:24.859, ubuntu22-c, mtd-zk-0, 0.756014
EXP-LOAD, 2023-07-19T14:42:32.152, ubuntu22-c, mtd-zk-0, 0.756014
EXP-LOAD, 2023-07-19T14:42:40.346, ubuntu22-c, mtd-zk-0, 0.648216
EXP-LOAD, 2023-07-19T14:42:50.563, ubuntu22-c, mtd-zk-0, 0.693621
EXP-LEAD, 2023-07-19T14:42:53.659, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T14:42:58.517, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T14:42:59.609, ubuntu22-c, mtd-zk-0, 0.693621
EXP-LOAD, 2023-07-19T14:43:09.989, ubuntu22-c, mtd-zk-0, 0.669211
EXP-LOAD, 2023-07-19T14:43:18.158, ubuntu22-c, mtd-zk-0, 0.669211
EXP-LOAD, 2023-07-19T14:43:28.279, ubuntu22-c, mtd-zk-0, 0.635720
EXP-LOAD, 2023-07-19T14:43:34.626, ubuntu22-c, mtd-zk-0, 0.820205
EXP-LOAD, 2023-07-19T14:43:45.795, ubuntu22-c, mtd-zk-0, 0.820205
