EXP-LOAD, 2023-07-19T16:46:48.850, ubuntu22-b, mtd-zk-0, 0.598415
EXP-LEAD, 2023-07-19T16:46:50.178, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:46:56.785, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:46:58.034, ubuntu22-b, mtd-zk-0, 0.621805
EXP-LOAD, 2023-07-19T16:47:06.574, ubuntu22-b, mtd-zk-0, 0.764608
EXP-LEAD, 2023-07-19T16:47:08.269, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:47:14.621, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:47:15.736, ubuntu22-b, mtd-zk-0, 0.764608
EXP-LOAD, 2023-07-19T16:47:26.636, ubuntu22-b, mtd-zk-0, 0.650392
EXP-LOAD, 2023-07-19T16:47:32.967, ubuntu22-b, mtd-zk-0, 0.650392
EXP-LOAD, 2023-07-19T16:47:43.178, ubuntu22-b, mtd-zk-0, 0.667823
EXP-LOAD, 2023-07-19T16:47:54.396, ubuntu22-b, mtd-zk-0, 0.688125
EXP-LOAD, 2023-07-19T16:48:04.614, ubuntu22-b, mtd-zk-0, 0.691242
EXP-LEAD, 2023-07-19T16:48:06.701, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:48:11.731, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:48:12.843, ubuntu22-b, mtd-zk-0, 0.691242
EXP-LOAD, 2023-07-19T16:48:21.892, ubuntu22-b, mtd-zk-0, 0.683806
EXP-LOAD, 2023-07-19T16:48:29.131, ubuntu22-b, mtd-zk-0, 0.683806
EXP-LOAD, 2023-07-19T16:48:41.199, ubuntu22-b, mtd-zk-0, 0.638008
EXP-LOAD, 2023-07-19T16:48:50.683, ubuntu22-b, mtd-zk-0, 0.709711
EXP-LOAD, 2023-07-19T16:49:01.595, ubuntu22-b, mtd-zk-0, 0.709711
EXP-LOAD, 2023-07-19T16:49:07.785, ubuntu22-b, mtd-zk-0, 0.736223
EXP-LOAD, 2023-07-19T16:49:17.967, ubuntu22-b, mtd-zk-0, 0.736223
EXP-LOAD, 2023-07-19T16:49:27.105, ubuntu22-b, mtd-zk-0, 0.666213
EXP-LOAD, 2023-07-19T16:49:38.315, ubuntu22-b, mtd-zk-0, 0.583855
EXP-LEAD, 2023-07-19T16:49:40.369, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:49:46.098, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:49:47.172, ubuntu22-b, mtd-zk-0, 0.583855
EXP-LEAD, 2023-07-19T16:49:48.463, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:49:55.440, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:49:56.575, ubuntu22-b, mtd-zk-0, 0.736430
EXP-LOAD, 2023-07-19T16:50:02.785, ubuntu22-b, mtd-zk-0, 0.736430
EXP-LOAD, 2023-07-19T16:50:13.978, ubuntu22-b, mtd-zk-0, 0.705934
EXP-LOAD, 2023-07-19T16:50:23.115, ubuntu22-b, mtd-zk-0, 0.722031
EXP-LOAD, 2023-07-19T16:50:32.248, ubuntu22-b, mtd-zk-0, 0.722031
EXP-LOAD, 2023-07-19T16:50:41.298, ubuntu22-b, mtd-zk-0, 0.654912
EXP-LEAD, 2023-07-19T16:50:42.394, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:50:49.257, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:50:50.339, ubuntu22-b, mtd-zk-0, 0.711005
EXP-LOAD, 2023-07-19T16:50:56.677, ubuntu22-b, mtd-zk-0, 0.711005
EXP-LOAD, 2023-07-19T16:51:05.716, ubuntu22-b, mtd-zk-0, 0.705110
EXP-LEAD, 2023-07-19T16:51:08.098, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:51:15.782, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:51:16.831, ubuntu22-b, mtd-zk-0, 0.705110
EXP-LEAD, 2023-07-19T16:51:18.213, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:51:23.970, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:51:25.039, ubuntu22-b, mtd-zk-0, 0.697616
EXP-LEAD, 2023-07-19T16:51:26.324, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:51:34.788, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:51:35.870, ubuntu22-b, mtd-zk-0, 0.693813
EXP-LOAD, 2023-07-19T16:51:43.015, ubuntu22-b, mtd-zk-0, 0.693813
EXP-LOAD, 2023-07-19T16:51:53.110, ubuntu22-b, mtd-zk-0, 0.694244
EXP-LOAD, 2023-07-19T16:51:59.868, ubuntu22-b, mtd-zk-0, 0.694244
EXP-LEAD, 2023-07-19T16:52:01.775, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T16:52:09.656, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T16:52:10.730, ubuntu22-b, mtd-zk-0, 0.688407
EXP-LEAD, 2023-07-19T16:52:11.914, ubuntu22-b, mtd-zk-0, START
