EXP-LOAD, 2023-07-19T16:46:48.027, ubuntu22-c, mtd-zk-1, 0.594411
EXP-LOAD, 2023-07-19T16:46:57.372, ubuntu22-c, mtd-zk-1, 0.567145
EXP-LOAD, 2023-07-19T16:47:06.638, ubuntu22-c, mtd-zk-1, 0.793625
EXP-LOAD, 2023-07-19T16:47:15.451, ubuntu22-c, mtd-zk-1, 0.793625
EXP-LOAD, 2023-07-19T16:47:26.722, ubuntu22-c, mtd-zk-1, 0.704705
EXP-LOAD, 2023-07-19T16:47:33.927, ubuntu22-c, mtd-zk-1, 0.704705
EXP-LEAD, 2023-07-19T16:47:35.048, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:47:42.824, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:47:43.903, ubuntu22-c, mtd-zk-1, 0.662221
EXP-LOAD, 2023-07-19T16:47:55.371, ubuntu22-c, mtd-zk-1, 0.724832
EXP-LEAD, 2023-07-19T16:47:57.461, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:48:03.587, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:48:04.704, ubuntu22-c, mtd-zk-1, 0.636606
EXP-LOAD, 2023-07-19T16:48:12.752, ubuntu22-c, mtd-zk-1, 0.636606
EXP-LOAD, 2023-07-19T16:48:20.931, ubuntu22-c, mtd-zk-1, 0.753629
EXP-LEAD, 2023-07-19T16:48:22.950, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:48:28.794, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:48:30.007, ubuntu22-c, mtd-zk-1, 0.753629
EXP-LEAD, 2023-07-19T16:48:31.070, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:48:40.375, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:48:41.497, ubuntu22-c, mtd-zk-1, 0.712034
EXP-LOAD, 2023-07-19T16:48:51.401, ubuntu22-c, mtd-zk-1, 0.677532
EXP-LOAD, 2023-07-19T16:49:00.620, ubuntu22-c, mtd-zk-1, 0.677532
EXP-LOAD, 2023-07-19T16:49:07.801, ubuntu22-c, mtd-zk-1, 0.650203
EXP-LOAD, 2023-07-19T16:49:17.015, ubuntu22-c, mtd-zk-1, 0.650203
EXP-LOAD, 2023-07-19T16:49:26.200, ubuntu22-c, mtd-zk-1, 0.642517
EXP-LOAD, 2023-07-19T16:49:39.297, ubuntu22-c, mtd-zk-1, 0.805624
EXP-LOAD, 2023-07-19T16:49:46.446, ubuntu22-c, mtd-zk-1, 0.805624
EXP-LOAD, 2023-07-19T16:49:55.928, ubuntu22-c, mtd-zk-1, 0.639021
EXP-LEAD, 2023-07-19T16:49:57.650, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:50:02.373, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:50:03.478, ubuntu22-c, mtd-zk-1, 0.639021
EXP-LEAD, 2023-07-19T16:50:04.744, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:50:12.808, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:50:13.876, ubuntu22-c, mtd-zk-1, 0.664404
EXP-LOAD, 2023-07-19T16:50:22.161, ubuntu22-c, mtd-zk-1, 0.649216
EXP-LEAD, 2023-07-19T16:50:24.156, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:50:31.987, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:50:33.083, ubuntu22-c, mtd-zk-1, 0.649216
EXP-LOAD, 2023-07-19T16:50:40.330, ubuntu22-c, mtd-zk-1, 0.700029
EXP-LOAD, 2023-07-19T16:50:49.427, ubuntu22-c, mtd-zk-1, 0.612678
EXP-LEAD, 2023-07-19T16:50:51.515, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:50:56.283, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:50:57.355, ubuntu22-c, mtd-zk-1, 0.612678
EXP-LOAD, 2023-07-19T16:51:07.034, ubuntu22-c, mtd-zk-1, 0.744605
EXP-LOAD, 2023-07-19T16:51:16.170, ubuntu22-c, mtd-zk-1, 0.744605
EXP-LOAD, 2023-07-19T16:51:24.316, ubuntu22-c, mtd-zk-1, 0.644124
EXP-LOAD, 2023-07-19T16:51:35.518, ubuntu22-c, mtd-zk-1, 0.724026
EXP-LEAD, 2023-07-19T16:51:36.904, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:51:42.695, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:51:43.778, ubuntu22-c, mtd-zk-1, 0.724026
EXP-LOAD, 2023-07-19T16:51:53.168, ubuntu22-c, mtd-zk-1, 0.664639
EXP-LEAD, 2023-07-19T16:51:54.808, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:51:59.639, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:52:00.722, ubuntu22-c, mtd-zk-1, 0.664639
EXP-LOAD, 2023-07-19T16:52:09.868, ubuntu22-c, mtd-zk-1, 0.723610
EXP-LOAD, 2023-07-19T16:52:17.988, ubuntu22-c, mtd-zk-1, 0.723610
EXP-LOAD, 2023-07-19T16:52:30.156, ubuntu22-c, mtd-zk-1, 0.643118
EXP-LOAD, 2023-07-19T16:52:37.254, ubuntu22-c, mtd-zk-1, 0.656015
EXP-LOAD, 2023-07-19T16:52:47.841, ubuntu22-c, mtd-zk-1, 0.656015
EXP-LOAD, 2023-07-19T16:52:54.943, ubuntu22-c, mtd-zk-1, 0.683724
EXP-LOAD, 2023-07-19T16:53:04.146, ubuntu22-c, mtd-zk-1, 0.641124
EXP-LOAD, 2023-07-19T16:53:14.275, ubuntu22-c, mtd-zk-1, 0.641124
EXP-LOAD, 2023-07-19T16:53:24.016, ubuntu22-c, mtd-zk-1, 0.668419
EXP-LOAD, 2023-07-19T16:53:33.162, ubuntu22-c, mtd-zk-1, 0.668419
EXP-LOAD, 2023-07-19T16:53:39.258, ubuntu22-c, mtd-zk-1, 0.685121
EXP-LOAD, 2023-07-19T16:53:49.384, ubuntu22-c, mtd-zk-1, 0.647015
EXP-LOAD, 2023-07-19T16:53:58.507, ubuntu22-c, mtd-zk-1, 0.647015
EXP-LOAD, 2023-07-19T16:54:05.640, ubuntu22-c, mtd-zk-1, 0.629215
EXP-LOAD, 2023-07-19T16:54:14.729, ubuntu22-c, mtd-zk-1, 0.629215
EXP-LEAD, 2023-07-19T16:54:16.754, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:54:21.481, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:54:22.552, ubuntu22-c, mtd-zk-1, 0.706810
EXP-LOAD, 2023-07-19T16:54:29.938, ubuntu22-c, mtd-zk-1, 0.706810
EXP-LOAD, 2023-07-19T16:54:37.670, ubuntu22-c, mtd-zk-1, 0.697009
EXP-LEAD, 2023-07-19T16:54:38.639, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:54:44.310, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:54:45.370, ubuntu22-c, mtd-zk-1, 0.697009
EXP-LOAD, 2023-07-19T16:54:52.810, ubuntu22-c, mtd-zk-1, 0.704007
EXP-LEAD, 2023-07-19T16:54:54.450, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:55:00.200, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:55:01.255, ubuntu22-c, mtd-zk-1, 0.704007
EXP-LOAD, 2023-07-19T16:55:08.703, ubuntu22-c, mtd-zk-1, 0.672973
EXP-LEAD, 2023-07-19T16:55:10.266, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:55:15.950, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:55:17.026, ubuntu22-c, mtd-zk-1, 0.672973
EXP-LOAD, 2023-07-19T16:55:28.556, ubuntu22-c, mtd-zk-1, 0.677214
EXP-LEAD, 2023-07-19T16:55:29.578, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:55:35.480, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:55:36.550, ubuntu22-c, mtd-zk-1, 0.696613
EXP-LOAD, 2023-07-19T16:55:46.773, ubuntu22-c, mtd-zk-1, 0.696613
EXP-LOAD, 2023-07-19T16:55:53.485, ubuntu22-c, mtd-zk-1, 0.658207
EXP-LOAD, 2023-07-19T16:56:05.649, ubuntu22-c, mtd-zk-1, 0.637917
EXP-LOAD, 2023-07-19T16:56:12.775, ubuntu22-c, mtd-zk-1, 0.637917
EXP-LEAD, 2023-07-19T16:56:14.843, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:56:22.715, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-19T16:56:23.813, ubuntu22-c, mtd-zk-1, 0.594408
EXP-LOAD, 2023-07-19T16:56:30.058, ubuntu22-c, mtd-zk-1, 0.594408
EXP-LOAD, 2023-07-19T16:56:40.205, ubuntu22-c, mtd-zk-1, 0.680233
EXP-LOAD, 2023-07-19T16:56:48.305, ubuntu22-c, mtd-zk-1, 0.680233
EXP-LOAD, 2023-07-19T16:57:01.395, ubuntu22-c, mtd-zk-1, 0.672232
EXP-LOAD, 2023-07-19T16:57:08.579, ubuntu22-c, mtd-zk-1, 0.616405
EXP-LOAD, 2023-07-19T16:57:19.702, ubuntu22-c, mtd-zk-1, 0.657206
EXP-LOAD, 2023-07-19T16:57:26.783, ubuntu22-c, mtd-zk-1, 0.657206
EXP-LEAD, 2023-07-19T16:57:28.883, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-19T16:57:36.745, ubuntu22-c, mtd-zk-1, END
