EXP-LOAD, 2023-07-19T17:49:23.464, ubuntu22-c, mtd-zk-0, 0.565809
EXP-LOAD, 2023-07-19T17:49:33.035, ubuntu22-c, mtd-zk-0, 0.565809
EXP-LOAD, 2023-07-19T17:49:43.263, ubuntu22-c, mtd-zk-0, 0.653510
EXP-LOAD, 2023-07-19T17:49:53.636, ubuntu22-c, mtd-zk-0, 0.690855
EXP-LOAD, 2023-07-19T17:50:01.779, ubuntu22-c, mtd-zk-0, 0.690855
EXP-LOAD, 2023-07-19T17:50:13.019, ubuntu22-c, mtd-zk-0, 0.631227
EXP-LOAD, 2023-07-19T17:50:20.241, ubuntu22-c, mtd-zk-0, 0.584415
EXP-LEAD, 2023-07-19T17:50:22.219, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:50:31.112, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:50:32.333, ubuntu22-c, mtd-zk-0, 0.584415
EXP-LEAD, 2023-07-19T17:50:33.470, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:50:39.723, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:50:40.804, ubuntu22-c, mtd-zk-0, 0.770231
EXP-LOAD, 2023-07-19T17:50:49.735, ubuntu22-c, mtd-zk-0, 0.833604
EXP-LEAD, 2023-07-19T17:50:50.844, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:50:58.984, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:51:00.078, ubuntu22-c, mtd-zk-0, 0.833604
EXP-LOAD, 2023-07-19T17:51:08.065, ubuntu22-c, mtd-zk-0, 0.694505
EXP-LOAD, 2023-07-19T17:51:16.275, ubuntu22-c, mtd-zk-0, 0.694505
EXP-LOAD, 2023-07-19T17:51:24.530, ubuntu22-c, mtd-zk-0, 0.643053
EXP-LOAD, 2023-07-19T17:51:32.791, ubuntu22-c, mtd-zk-0, 0.643053
EXP-LEAD, 2023-07-19T17:51:34.887, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:51:39.871, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:51:40.950, ubuntu22-c, mtd-zk-0, 0.665929
EXP-LOAD, 2023-07-19T17:51:48.156, ubuntu22-c, mtd-zk-0, 0.665929
EXP-LEAD, 2023-07-19T17:51:50.706, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:51:58.677, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:51:59.817, ubuntu22-c, mtd-zk-0, 0.685805
EXP-LOAD, 2023-07-19T17:52:06.003, ubuntu22-c, mtd-zk-0, 0.689824
EXP-LEAD, 2023-07-19T17:52:08.095, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:52:15.802, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:52:16.902, ubuntu22-c, mtd-zk-0, 0.689824
EXP-LOAD, 2023-07-19T17:52:24.250, ubuntu22-c, mtd-zk-0, 0.689406
EXP-LOAD, 2023-07-19T17:52:32.611, ubuntu22-c, mtd-zk-0, 0.689406
EXP-LEAD, 2023-07-19T17:52:35.200, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:52:42.165, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:52:43.286, ubuntu22-c, mtd-zk-0, 0.659607
EXP-LOAD, 2023-07-19T17:52:49.711, ubuntu22-c, mtd-zk-0, 0.766804
EXP-LOAD, 2023-07-19T17:53:00.756, ubuntu22-c, mtd-zk-0, 0.766804
EXP-LEAD, 2023-07-19T17:53:02.778, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:53:07.511, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:53:08.599, ubuntu22-c, mtd-zk-0, 0.710812
EXP-LOAD, 2023-07-19T17:53:16.071, ubuntu22-c, mtd-zk-0, 0.710812
EXP-LOAD, 2023-07-19T17:53:26.912, ubuntu22-c, mtd-zk-0, 0.670807
EXP-LOAD, 2023-07-19T17:53:34.083, ubuntu22-c, mtd-zk-0, 0.670807
EXP-LEAD, 2023-07-19T17:53:36.131, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:53:41.899, ubuntu22-c, mtd-zk-0, END
