EXP-LOAD, 2023-07-19T18:51:54.805, ubuntu22-b, mtd-zk-0, 0.572113
EXP-LOAD, 2023-07-19T18:52:09.291, ubuntu22-b, mtd-zk-0, 0.765807
EXP-LOAD, 2023-07-19T18:52:17.557, ubuntu22-b, mtd-zk-0, 0.765807
EXP-LOAD, 2023-07-19T18:52:29.903, ubuntu22-b, mtd-zk-0, 0.649416
EXP-LEAD, 2023-07-19T18:52:31.008, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:52:42.073, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:52:43.167, ubuntu22-b, mtd-zk-0, 0.639612
EXP-LOAD, 2023-07-19T18:52:51.556, ubuntu22-b, mtd-zk-0, 0.718106
EXP-LOAD, 2023-07-19T18:53:01.706, ubuntu22-b, mtd-zk-0, 0.718106
EXP-LOAD, 2023-07-19T18:53:11.940, ubuntu22-b, mtd-zk-0, 0.666808
EXP-LEAD, 2023-07-19T18:53:13.017, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:53:21.219, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:53:22.308, ubuntu22-b, mtd-zk-0, 0.649535
EXP-LEAD, 2023-07-19T18:53:24.236, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:53:29.008, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:53:30.103, ubuntu22-b, mtd-zk-0, 0.649535
EXP-LEAD, 2023-07-19T18:53:30.466, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:53:40.383, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:53:41.463, ubuntu22-b, mtd-zk-0, 0.761603
EXP-LOAD, 2023-07-19T18:53:48.757, ubuntu22-b, mtd-zk-0, 0.761603
EXP-LOAD, 2023-07-19T18:53:57.074, ubuntu22-b, mtd-zk-0, 0.740806
EXP-LOAD, 2023-07-19T18:54:05.194, ubuntu22-b, mtd-zk-0, 0.622969
EXP-LEAD, 2023-07-19T18:54:06.285, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:54:11.125, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:54:12.214, ubuntu22-b, mtd-zk-0, 0.622969
EXP-LEAD, 2023-07-19T18:54:13.395, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:54:21.121, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:54:22.210, ubuntu22-b, mtd-zk-0, 0.632016
EXP-LEAD, 2023-07-19T18:54:23.480, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:54:28.171, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:54:29.255, ubuntu22-b, mtd-zk-0, 0.632016
EXP-LEAD, 2023-07-19T18:54:30.617, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:54:36.560, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:54:37.774, ubuntu22-b, mtd-zk-0, 0.696115
EXP-LOAD, 2023-07-19T18:54:47.963, ubuntu22-b, mtd-zk-0, 0.696115
EXP-LOAD, 2023-07-19T18:54:57.416, ubuntu22-b, mtd-zk-0, 0.708611
EXP-LOAD, 2023-07-19T18:55:08.447, ubuntu22-b, mtd-zk-0, 0.698910
EXP-LOAD, 2023-07-19T18:55:15.752, ubuntu22-b, mtd-zk-0, 0.698910
EXP-LOAD, 2023-07-19T18:55:25.844, ubuntu22-b, mtd-zk-0, 0.727624
EXP-LOAD, 2023-07-19T18:55:32.928, ubuntu22-b, mtd-zk-0, 0.727624
EXP-LOAD, 2023-07-19T18:55:46.064, ubuntu22-b, mtd-zk-0, 0.659417
EXP-LEAD, 2023-07-19T18:55:49.104, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:55:53.665, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:55:54.713, ubuntu22-b, mtd-zk-0, 0.749811
EXP-LEAD, 2023-07-19T18:55:57.237, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:56:02.794, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:56:03.846, ubuntu22-b, mtd-zk-0, 0.749811
EXP-LOAD, 2023-07-19T18:56:12.430, ubuntu22-b, mtd-zk-0, 0.668849
