EXP-LOAD, 2023-07-19T19:54:34.468, ubuntu22-c, mtd-zk-0, 0.570212
EXP-LOAD, 2023-07-19T19:54:47.103, ubuntu22-c, mtd-zk-0, 0.575923
EXP-LEAD, 2023-07-19T19:54:49.167, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:54:56.036, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:54:57.160, ubuntu22-c, mtd-zk-0, 0.742220
EXP-LEAD, 2023-07-19T19:54:58.293, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:55:04.540, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:55:05.726, ubuntu22-c, mtd-zk-0, 0.746523
EXP-LEAD, 2023-07-19T19:55:07.482, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:55:13.552, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:55:14.671, ubuntu22-c, mtd-zk-0, 0.746523
EXP-LOAD, 2023-07-19T19:55:24.804, ubuntu22-c, mtd-zk-0, 0.769617
EXP-LOAD, 2023-07-19T19:55:37.052, ubuntu22-c, mtd-zk-0, 0.656009
EXP-LOAD, 2023-07-19T19:55:44.257, ubuntu22-c, mtd-zk-0, 0.656009
EXP-LOAD, 2023-07-19T19:55:56.475, ubuntu22-c, mtd-zk-0, 0.599205
EXP-LOAD, 2023-07-19T19:56:05.629, ubuntu22-c, mtd-zk-0, 0.659642
EXP-LOAD, 2023-07-19T19:56:16.831, ubuntu22-c, mtd-zk-0, 0.659642
EXP-LOAD, 2023-07-19T19:56:22.991, ubuntu22-c, mtd-zk-0, 0.609014
EXP-LOAD, 2023-07-19T19:56:31.100, ubuntu22-c, mtd-zk-0, 0.609014
EXP-LOAD, 2023-07-19T19:56:38.261, ubuntu22-c, mtd-zk-0, 0.669117
EXP-LOAD, 2023-07-19T19:56:45.473, ubuntu22-c, mtd-zk-0, 0.669117
EXP-LOAD, 2023-07-19T19:56:58.464, ubuntu22-c, mtd-zk-0, 0.710617
EXP-LOAD, 2023-07-19T19:57:07.646, ubuntu22-c, mtd-zk-0, 0.654773
EXP-LOAD, 2023-07-19T19:57:14.852, ubuntu22-c, mtd-zk-0, 0.654773
EXP-LEAD, 2023-07-19T19:57:16.853, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:57:25.330, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:57:26.440, ubuntu22-c, mtd-zk-0, 0.638623
EXP-LOAD, 2023-07-19T19:57:34.198, ubuntu22-c, mtd-zk-0, 0.698411
EXP-LOAD, 2023-07-19T19:57:45.271, ubuntu22-c, mtd-zk-0, 0.698411
EXP-LOAD, 2023-07-19T19:57:54.347, ubuntu22-c, mtd-zk-0, 0.630036
EXP-LOAD, 2023-07-19T19:58:01.545, ubuntu22-c, mtd-zk-0, 0.630036
EXP-LOAD, 2023-07-19T19:58:08.257, ubuntu22-c, mtd-zk-0, 0.691512
EXP-LEAD, 2023-07-19T19:58:09.352, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:58:17.541, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:58:18.676, ubuntu22-c, mtd-zk-0, 0.691512
EXP-LOAD, 2023-07-19T19:58:24.787, ubuntu22-c, mtd-zk-0, 0.710809
EXP-LOAD, 2023-07-19T19:58:34.938, ubuntu22-c, mtd-zk-0, 0.668752
EXP-LOAD, 2023-07-19T19:58:42.069, ubuntu22-c, mtd-zk-0, 0.668752
EXP-LEAD, 2023-07-19T19:58:44.118, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:58:52.053, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:58:53.171, ubuntu22-c, mtd-zk-0, 0.688004
EXP-LOAD, 2023-07-19T19:59:01.314, ubuntu22-c, mtd-zk-0, 0.688004
EXP-LOAD, 2023-07-19T19:59:10.422, ubuntu22-c, mtd-zk-0, 0.683110
EXP-LOAD, 2023-07-19T19:59:20.562, ubuntu22-c, mtd-zk-0, 0.656201
EXP-LOAD, 2023-07-19T19:59:28.687, ubuntu22-c, mtd-zk-0, 0.656201
EXP-LOAD, 2023-07-19T19:59:40.926, ubuntu22-c, mtd-zk-0, 0.614114
EXP-LEAD, 2023-07-19T19:59:41.967, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:59:47.675, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:59:48.739, ubuntu22-c, mtd-zk-0, 0.614114
EXP-LOAD, 2023-07-19T20:00:03.190, ubuntu22-c, mtd-zk-0, 0.628054
EXP-LOAD, 2023-07-19T20:00:11.416, ubuntu22-c, mtd-zk-0, 0.567164
EXP-LEAD, 2023-07-19T20:00:13.357, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T20:00:20.228, ubuntu22-c, mtd-zk-0, END
