EXP-LOAD, 2023-08-04T02:31:13.172, ubuntu22-b, mtd-zk-0, 0.539244
EXP-LOAD, 2023-08-04T02:31:25.627, ubuntu22-b, mtd-zk-0, 0.674011
EXP-LOAD, 2023-08-04T02:31:33.873, ubuntu22-b, mtd-zk-0, 0.674011
EXP-LOAD, 2023-08-04T02:31:43.318, ubuntu22-b, mtd-zk-0, 0.689607
EXP-LOAD, 2023-08-04T02:31:50.504, ubuntu22-b, mtd-zk-0, 0.722005
EXP-LOAD, 2023-08-04T02:32:04.964, ubuntu22-b, mtd-zk-0, 0.736808
EXP-LOAD, 2023-08-04T02:32:12.651, ubuntu22-b, mtd-zk-0, 0.736808
EXP-LOAD, 2023-08-04T02:32:24.670, ubuntu22-b, mtd-zk-0, 0.703201
EXP-LOAD, 2023-08-04T02:32:35.766, ubuntu22-b, mtd-zk-0, 0.679545
EXP-LOAD, 2023-08-04T02:32:42.946, ubuntu22-b, mtd-zk-0, 0.679545
EXP-LOAD, 2023-08-04T02:32:50.214, ubuntu22-b, mtd-zk-0, 0.706626
EXP-LOAD, 2023-08-04T02:32:58.266, ubuntu22-b, mtd-zk-0, 0.706626
EXP-LOAD, 2023-08-04T02:33:08.952, ubuntu22-b, mtd-zk-0, 0.776703
EXP-LOAD, 2023-08-04T02:33:18.979, ubuntu22-b, mtd-zk-0, 0.776703
EXP-LOAD, 2023-08-04T02:33:31.162, ubuntu22-b, mtd-zk-0, 0.639196
EXP-LOAD, 2023-08-04T02:33:39.381, ubuntu22-b, mtd-zk-0, 0.645436
EXP-LOAD, 2023-08-04T02:33:48.648, ubuntu22-b, mtd-zk-0, 0.645436
EXP-LOAD, 2023-08-04T02:33:56.818, ubuntu22-b, mtd-zk-0, 0.672928
EXP-LOAD, 2023-08-04T02:34:08.430, ubuntu22-b, mtd-zk-0, 0.670024
EXP-LOAD, 2023-08-04T02:34:16.643, ubuntu22-b, mtd-zk-0, 0.670024
EXP-LOAD, 2023-08-04T02:34:28.615, ubuntu22-b, mtd-zk-0, 0.672217
EXP-LOAD, 2023-08-04T02:34:38.575, ubuntu22-b, mtd-zk-0, 0.739637
EXP-LOAD, 2023-08-04T02:34:47.758, ubuntu22-b, mtd-zk-0, 0.739637
EXP-LOAD, 2023-08-04T02:34:58.969, ubuntu22-b, mtd-zk-0, 0.640521
EXP-LOAD, 2023-08-04T02:35:06.145, ubuntu22-b, mtd-zk-0, 0.648015
EXP-LOAD, 2023-08-04T02:35:17.554, ubuntu22-b, mtd-zk-0, 0.648015
EXP-LOAD, 2023-08-04T02:35:23.859, ubuntu22-b, mtd-zk-0, 0.658135
EXP-LOAD, 2023-08-04T02:35:34.884, ubuntu22-b, mtd-zk-0, 0.628926
EXP-LOAD, 2023-08-04T02:35:45.583, ubuntu22-b, mtd-zk-0, 0.628926
EXP-LOAD, 2023-08-04T02:35:55.787, ubuntu22-b, mtd-zk-0, 0.672710
EXP-LOAD, 2023-08-04T02:36:04.831, ubuntu22-b, mtd-zk-0, 0.708622
EXP-LOAD, 2023-08-04T02:36:12.960, ubuntu22-b, mtd-zk-0, 0.708622
EXP-LOAD, 2023-08-04T02:36:23.111, ubuntu22-b, mtd-zk-0, 0.645231
EXP-LOAD, 2023-08-04T02:36:37.293, ubuntu22-b, mtd-zk-0, 0.597235
EXP-LOAD, 2023-08-04T02:36:44.480, ubuntu22-b, mtd-zk-0, 0.597235
EXP-LOAD, 2023-08-04T02:36:55.701, ubuntu22-b, mtd-zk-0, 0.683114
EXP-LOAD, 2023-08-04T02:37:03.859, ubuntu22-b, mtd-zk-0, 0.683114
EXP-LOAD, 2023-08-04T02:37:16.951, ubuntu22-b, mtd-zk-0, 0.718458
EXP-LOAD, 2023-08-04T02:37:23.085, ubuntu22-b, mtd-zk-0, 0.658313
EXP-LOAD, 2023-08-04T02:37:35.725, ubuntu22-b, mtd-zk-0, 0.655412
EXP-LOAD, 2023-08-04T02:37:42.923, ubuntu22-b, mtd-zk-0, 0.655412
EXP-LOAD, 2023-08-04T02:37:51.088, ubuntu22-b, mtd-zk-0, 0.704625
EXP-LOAD, 2023-08-04T02:38:04.181, ubuntu22-b, mtd-zk-0, 0.689806
EXP-LOAD, 2023-08-04T02:38:11.546, ubuntu22-b, mtd-zk-0, 0.689806
EXP-LOAD, 2023-08-04T02:38:21.515, ubuntu22-b, mtd-zk-0, 0.691838
EXP-LOAD, 2023-08-04T02:38:30.623, ubuntu22-b, mtd-zk-0, 0.691838
EXP-LOAD, 2023-08-04T02:38:39.728, ubuntu22-b, mtd-zk-0, 0.659806
