EXP-LOAD, 2023-07-20T08:32:14.464, ubuntu22-b, mtd-zk-0, 0.567606
EXP-LOAD, 2023-07-20T08:32:25.997, ubuntu22-b, mtd-zk-0, 0.604118
EXP-LOAD, 2023-07-20T08:32:32.297, ubuntu22-b, mtd-zk-0, 0.604118
EXP-LOAD, 2023-07-20T08:32:40.465, ubuntu22-b, mtd-zk-0, 0.685213
EXP-LOAD, 2023-07-20T08:32:49.779, ubuntu22-b, mtd-zk-0, 0.676212
EXP-LEAD, 2023-07-20T08:32:51.821, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T08:32:58.218, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T08:32:59.445, ubuntu22-b, mtd-zk-0, 0.676212
EXP-LOAD, 2023-07-20T08:33:09.108, ubuntu22-b, mtd-zk-0, 0.770237
EXP-LOAD, 2023-07-20T08:33:16.533, ubuntu22-b, mtd-zk-0, 0.770237
EXP-LOAD, 2023-07-20T08:33:28.701, ubuntu22-b, mtd-zk-0, 0.670610
EXP-LOAD, 2023-07-20T08:33:37.058, ubuntu22-b, mtd-zk-0, 0.687602
EXP-LOAD, 2023-07-20T08:33:46.765, ubuntu22-b, mtd-zk-0, 0.687602
EXP-LOAD, 2023-07-20T08:33:57.878, ubuntu22-b, mtd-zk-0, 0.689622
EXP-LOAD, 2023-07-20T08:34:06.146, ubuntu22-b, mtd-zk-0, 0.644004
EXP-LEAD, 2023-07-20T08:34:06.293, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T08:34:12.677, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T08:34:13.832, ubuntu22-b, mtd-zk-0, 0.644004
EXP-LOAD, 2023-07-20T08:34:25.601, ubuntu22-b, mtd-zk-0, 0.658824
EXP-LOAD, 2023-07-20T08:34:32.784, ubuntu22-b, mtd-zk-0, 0.658824
EXP-LOAD, 2023-07-20T08:34:46.101, ubuntu22-b, mtd-zk-0, 0.655018
EXP-LOAD, 2023-07-20T08:34:56.312, ubuntu22-b, mtd-zk-0, 0.729813
EXP-LOAD, 2023-07-20T08:35:04.468, ubuntu22-b, mtd-zk-0, 0.642607
EXP-LOAD, 2023-07-20T08:35:15.638, ubuntu22-b, mtd-zk-0, 0.642607
