EXP-LOAD, 2023-07-20T10:37:33.319, ubuntu22-c, mtd-zk-0, 0.574921
EXP-LOAD, 2023-07-20T10:37:42.873, ubuntu22-c, mtd-zk-0, 0.571207
EXP-LOAD, 2023-07-20T10:37:54.151, ubuntu22-c, mtd-zk-0, 0.774625
EXP-LOAD, 2023-07-20T10:38:02.484, ubuntu22-c, mtd-zk-0, 0.774625
EXP-LOAD, 2023-07-20T10:38:14.576, ubuntu22-c, mtd-zk-0, 0.622004
EXP-LOAD, 2023-07-20T10:38:23.724, ubuntu22-c, mtd-zk-0, 0.644006
EXP-LOAD, 2023-07-20T10:38:34.064, ubuntu22-c, mtd-zk-0, 0.644006
EXP-LOAD, 2023-07-20T10:38:40.388, ubuntu22-c, mtd-zk-0, 0.653403
EXP-LOAD, 2023-07-20T10:38:49.552, ubuntu22-c, mtd-zk-0, 0.702232
EXP-LEAD, 2023-07-20T10:38:52.466, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T10:39:02.018, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T10:39:03.112, ubuntu22-c, mtd-zk-0, 0.702232
EXP-LOAD, 2023-07-20T10:39:09.766, ubuntu22-c, mtd-zk-0, 0.733711
EXP-LOAD, 2023-07-20T10:39:15.885, ubuntu22-c, mtd-zk-0, 0.733711
EXP-LEAD, 2023-07-20T10:39:17.949, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T10:39:26.356, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T10:39:27.484, ubuntu22-c, mtd-zk-0, 0.697837
EXP-LEAD, 2023-07-20T10:39:28.547, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T10:39:33.476, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T10:39:34.607, ubuntu22-c, mtd-zk-0, 0.692581
EXP-LOAD, 2023-07-20T10:39:45.902, ubuntu22-c, mtd-zk-0, 0.692581
EXP-LOAD, 2023-07-20T10:39:52.086, ubuntu22-c, mtd-zk-0, 0.660220
EXP-LOAD, 2023-07-20T10:39:59.053, ubuntu22-c, mtd-zk-0, 0.660220
EXP-LOAD, 2023-07-20T10:40:08.184, ubuntu22-c, mtd-zk-0, 0.692711
EXP-LOAD, 2023-07-20T10:40:19.189, ubuntu22-c, mtd-zk-0, 0.686435
EXP-LOAD, 2023-07-20T10:40:27.363, ubuntu22-c, mtd-zk-0, 0.686435
EXP-LOAD, 2023-07-20T10:40:34.525, ubuntu22-c, mtd-zk-0, 0.670927
EXP-LOAD, 2023-07-20T10:40:42.709, ubuntu22-c, mtd-zk-0, 0.670927
EXP-LOAD, 2023-07-20T10:40:51.893, ubuntu22-c, mtd-zk-0, 0.661843
EXP-LOAD, 2023-07-20T10:41:03.013, ubuntu22-c, mtd-zk-0, 0.661843
EXP-LEAD, 2023-07-20T10:41:04.611, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T10:41:09.971, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T10:41:11.018, ubuntu22-c, mtd-zk-0, 0.676418
EXP-LOAD, 2023-07-20T10:41:20.799, ubuntu22-c, mtd-zk-0, 0.728615
EXP-LOAD, 2023-07-20T10:41:28.910, ubuntu22-c, mtd-zk-0, 0.728615
EXP-LOAD, 2023-07-20T10:41:37.073, ubuntu22-c, mtd-zk-0, 0.714036
EXP-LEAD, 2023-07-20T10:41:39.117, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T10:41:48.169, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T10:41:49.257, ubuntu22-c, mtd-zk-0, 0.680402
EXP-LOAD, 2023-07-20T10:41:58.364, ubuntu22-c, mtd-zk-0, 0.680402
EXP-LOAD, 2023-07-20T10:42:06.543, ubuntu22-c, mtd-zk-0, 0.640409
EXP-LOAD, 2023-07-20T10:42:18.659, ubuntu22-c, mtd-zk-0, 0.640409
