EXP-LOAD, 2023-07-21T16:54:19.147, ubuntu22-b, mtd-zk-1, 0.569910
EXP-LEAD, 2023-07-21T16:54:21.377, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:54:28.001, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:54:29.107, ubuntu22-b, mtd-zk-1, 0.583007
EXP-LEAD, 2023-07-21T16:54:30.684, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:54:38.960, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:54:40.058, ubuntu22-b, mtd-zk-1, 0.817402
EXP-LOAD, 2023-07-21T16:54:51.156, ubuntu22-b, mtd-zk-1, 0.685245
EXP-LOAD, 2023-07-21T16:55:01.465, ubuntu22-b, mtd-zk-1, 0.685245
EXP-LOAD, 2023-07-21T16:55:09.683, ubuntu22-b, mtd-zk-1, 0.678410
EXP-LOAD, 2023-07-21T16:55:21.940, ubuntu22-b, mtd-zk-1, 0.616412
EXP-LEAD, 2023-07-21T16:55:25.148, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:55:29.945, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:55:31.058, ubuntu22-b, mtd-zk-1, 0.616412
EXP-LEAD, 2023-07-21T16:55:32.357, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:55:40.204, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:55:41.296, ubuntu22-b, mtd-zk-1, 0.722410
EXP-LOAD, 2023-07-21T16:55:51.871, ubuntu22-b, mtd-zk-1, 0.708907
EXP-LOAD, 2023-07-21T16:56:01.061, ubuntu22-b, mtd-zk-1, 0.708907
EXP-LOAD, 2023-07-21T16:56:08.337, ubuntu22-b, mtd-zk-1, 0.643040
EXP-LEAD, 2023-07-21T16:56:10.398, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:56:15.300, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:56:16.413, ubuntu22-b, mtd-zk-1, 0.643040
EXP-LOAD, 2023-07-21T16:56:27.841, ubuntu22-b, mtd-zk-1, 0.720318
EXP-LOAD, 2023-07-21T16:56:36.950, ubuntu22-b, mtd-zk-1, 0.662832
EXP-LOAD, 2023-07-21T16:56:46.134, ubuntu22-b, mtd-zk-1, 0.662832
EXP-LOAD, 2023-07-21T16:56:55.273, ubuntu22-b, mtd-zk-1, 0.674822
EXP-LOAD, 2023-07-21T16:57:05.262, ubuntu22-b, mtd-zk-1, 0.655819
EXP-LOAD, 2023-07-21T16:57:11.648, ubuntu22-b, mtd-zk-1, 0.655819
EXP-LEAD, 2023-07-21T16:57:13.713, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:57:19.440, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:57:20.565, ubuntu22-b, mtd-zk-1, 0.754821
EXP-LOAD, 2023-07-21T16:57:31.951, ubuntu22-b, mtd-zk-1, 0.754821
EXP-LOAD, 2023-07-21T16:57:41.206, ubuntu22-b, mtd-zk-1, 0.649837
EXP-LEAD, 2023-07-21T16:57:42.330, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:57:50.136, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:57:51.222, ubuntu22-b, mtd-zk-1, 0.666520
EXP-LOAD, 2023-07-21T16:57:57.585, ubuntu22-b, mtd-zk-1, 0.666520
EXP-LOAD, 2023-07-21T16:58:09.723, ubuntu22-b, mtd-zk-1, 0.640420
EXP-LOAD, 2023-07-21T16:58:17.932, ubuntu22-b, mtd-zk-1, 0.640420
EXP-LEAD, 2023-07-21T16:58:18.996, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:58:24.770, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:58:25.824, ubuntu22-b, mtd-zk-1, 0.676016
EXP-LOAD, 2023-07-21T16:58:34.247, ubuntu22-b, mtd-zk-1, 0.715805
EXP-LEAD, 2023-07-21T16:58:35.334, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:58:44.176, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:58:45.246, ubuntu22-b, mtd-zk-1, 0.715805
EXP-LEAD, 2023-07-21T16:58:46.335, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:58:53.419, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:58:54.478, ubuntu22-b, mtd-zk-1, 0.650815
EXP-LOAD, 2023-07-21T16:59:00.640, ubuntu22-b, mtd-zk-1, 0.650815
EXP-LOAD, 2023-07-21T16:59:08.837, ubuntu22-b, mtd-zk-1, 0.668204
EXP-LOAD, 2023-07-21T16:59:18.018, ubuntu22-b, mtd-zk-1, 0.668204
EXP-LEAD, 2023-07-21T16:59:19.087, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:59:23.772, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:59:24.821, ubuntu22-b, mtd-zk-1, 0.656114
EXP-LEAD, 2023-07-21T16:59:25.884, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T16:59:34.825, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T16:59:35.923, ubuntu22-b, mtd-zk-1, 0.701469
EXP-LOAD, 2023-07-21T16:59:45.095, ubuntu22-b, mtd-zk-1, 0.701469
EXP-LOAD, 2023-07-21T16:59:54.271, ubuntu22-b, mtd-zk-1, 0.653067
EXP-LOAD, 2023-07-21T17:00:01.391, ubuntu22-b, mtd-zk-1, 0.653067
EXP-LOAD, 2023-07-21T17:00:12.530, ubuntu22-b, mtd-zk-1, 0.673631
EXP-LEAD, 2023-07-21T17:00:13.583, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T17:00:19.329, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T17:00:20.371, ubuntu22-b, mtd-zk-1, 0.701837
EXP-LEAD, 2023-07-21T17:00:22.776, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T17:00:28.766, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T17:00:29.823, ubuntu22-b, mtd-zk-1, 0.701837
EXP-LEAD, 2023-07-21T17:00:30.948, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T17:00:38.715, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T17:00:39.773, ubuntu22-b, mtd-zk-1, 0.684024
EXP-LOAD, 2023-07-21T17:00:47.001, ubuntu22-b, mtd-zk-1, 0.684024
EXP-LOAD, 2023-07-21T17:00:56.058, ubuntu22-b, mtd-zk-1, 0.667020
EXP-LOAD, 2023-07-21T17:01:07.291, ubuntu22-b, mtd-zk-1, 0.592550
EXP-LEAD, 2023-07-21T17:01:08.354, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T17:01:14.071, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T17:01:15.147, ubuntu22-b, mtd-zk-1, 0.592550
EXP-LOAD, 2023-07-21T17:01:24.560, ubuntu22-b, mtd-zk-1, 0.663518
EXP-LOAD, 2023-07-21T17:01:33.723, ubuntu22-b, mtd-zk-1, 0.663518
