EXP-LOAD, 2023-07-21T17:57:04.863, ubuntu22-c, mtd-zk-0, 0.541244
EXP-LOAD, 2023-07-21T17:57:15.530, ubuntu22-c, mtd-zk-0, 0.580407
EXP-LOAD, 2023-07-21T17:57:24.982, ubuntu22-c, mtd-zk-0, 0.691325
EXP-LOAD, 2023-07-21T17:57:35.292, ubuntu22-c, mtd-zk-0, 0.668205
EXP-LEAD, 2023-07-21T17:57:37.290, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:57:45.161, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:57:46.330, ubuntu22-c, mtd-zk-0, 0.668205
EXP-LEAD, 2023-07-21T17:57:47.720, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:57:55.904, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:57:57.006, ubuntu22-c, mtd-zk-0, 0.744225
EXP-LEAD, 2023-07-21T17:57:58.839, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:58:04.865, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:58:06.013, ubuntu22-c, mtd-zk-0, 0.704202
EXP-LOAD, 2023-07-21T17:58:13.281, ubuntu22-c, mtd-zk-0, 0.704202
EXP-LOAD, 2023-07-21T17:58:20.733, ubuntu22-c, mtd-zk-0, 0.682516
EXP-LOAD, 2023-07-21T17:58:27.905, ubuntu22-c, mtd-zk-0, 0.682516
EXP-LOAD, 2023-07-21T17:58:36.109, ubuntu22-c, mtd-zk-0, 0.728005
EXP-LOAD, 2023-07-21T17:58:48.399, ubuntu22-c, mtd-zk-0, 0.728005
EXP-LEAD, 2023-07-21T17:58:48.504, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:58:54.583, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:58:55.666, ubuntu22-c, mtd-zk-0, 0.635205
EXP-LOAD, 2023-07-21T17:59:06.030, ubuntu22-c, mtd-zk-0, 0.718609
EXP-LOAD, 2023-07-21T17:59:14.188, ubuntu22-c, mtd-zk-0, 0.718609
EXP-LEAD, 2023-07-21T17:59:15.159, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:59:21.958, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:59:23.060, ubuntu22-c, mtd-zk-0, 0.700505
EXP-LOAD, 2023-07-21T17:59:29.412, ubuntu22-c, mtd-zk-0, 0.700505
EXP-LEAD, 2023-07-21T17:59:31.610, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:59:41.941, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:59:43.084, ubuntu22-c, mtd-zk-0, 0.697815
EXP-LEAD, 2023-07-21T17:59:44.799, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:59:50.724, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:59:51.814, ubuntu22-c, mtd-zk-0, 0.700109
EXP-LOAD, 2023-07-21T17:59:59.324, ubuntu22-c, mtd-zk-0, 0.700109
EXP-LOAD, 2023-07-21T18:00:10.415, ubuntu22-c, mtd-zk-0, 0.675214
EXP-LOAD, 2023-07-21T18:00:22.664, ubuntu22-c, mtd-zk-0, 0.644036
EXP-LEAD, 2023-07-21T18:00:25.719, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:00:31.466, ubuntu22-c, mtd-zk-0, END
