EXP-LOAD, 2023-07-21T18:59:27.266, ubuntu22-d, mtd-zk-2, 0.733004
EXP-LOAD, 2023-07-21T18:59:37.914, ubuntu22-d, mtd-zk-2, 0.717810
EXP-LOAD, 2023-07-21T18:59:50.319, ubuntu22-d, mtd-zk-2, 0.673415
EXP-LEAD, 2023-07-21T18:59:52.225, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:00:00.086, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:00:01.191, ubuntu22-d, mtd-zk-2, 0.673415
EXP-LOAD, 2023-07-21T19:00:10.443, ubuntu22-d, mtd-zk-2, 0.758004
EXP-LOAD, 2023-07-21T19:00:20.621, ubuntu22-d, mtd-zk-2, 0.677008
EXP-LOAD, 2023-07-21T19:00:32.848, ubuntu22-d, mtd-zk-2, 0.677008
EXP-LEAD, 2023-07-21T19:00:33.910, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:00:39.824, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:00:40.928, ubuntu22-d, mtd-zk-2, 0.599817
EXP-LEAD, 2023-07-21T19:00:42.114, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:00:48.002, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:00:49.079, ubuntu22-d, mtd-zk-2, 0.599817
EXP-LEAD, 2023-07-21T19:00:50.336, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:00:59.508, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:01:00.609, ubuntu22-d, mtd-zk-2, 0.696332
EXP-LEAD, 2023-07-21T19:01:02.607, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:01:08.320, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:01:09.375, ubuntu22-d, mtd-zk-2, 0.599317
EXP-LEAD, 2023-07-21T19:01:10.492, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-21T19:01:17.475, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-21T19:01:18.573, ubuntu22-d, mtd-zk-2, 0.599317
EXP-LOAD, 2023-07-21T19:01:28.958, ubuntu22-d, mtd-zk-2, 0.709608
EXP-LEAD, 2023-07-21T19:01:30.870, ubuntu22-d, mtd-zk-2, START
