EXP-LOAD, 2023-07-21T20:01:39.974, ubuntu22-b, mtd-zk-0, 0.585605
EXP-LOAD, 2023-07-21T20:01:51.474, ubuntu22-b, mtd-zk-0, 0.732416
EXP-LEAD, 2023-07-21T20:01:53.560, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:02:01.059, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:02:02.158, ubuntu22-b, mtd-zk-0, 0.732416
EXP-LOAD, 2023-07-21T20:02:11.988, ubuntu22-b, mtd-zk-0, 0.658823
EXP-LOAD, 2023-07-21T20:02:19.215, ubuntu22-b, mtd-zk-0, 0.621607
EXP-LOAD, 2023-07-21T20:02:27.791, ubuntu22-b, mtd-zk-0, 0.621607
EXP-LEAD, 2023-07-21T20:02:29.901, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:02:39.148, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:02:40.311, ubuntu22-b, mtd-zk-0, 0.668416
EXP-LOAD, 2023-07-21T20:02:47.446, ubuntu22-b, mtd-zk-0, 0.668416
EXP-LOAD, 2023-07-21T20:02:55.549, ubuntu22-b, mtd-zk-0, 0.723819
EXP-LOAD, 2023-07-21T20:03:03.736, ubuntu22-b, mtd-zk-0, 0.723819
EXP-LOAD, 2023-07-21T20:03:12.921, ubuntu22-b, mtd-zk-0, 0.619913
EXP-LOAD, 2023-07-21T20:03:22.152, ubuntu22-b, mtd-zk-0, 0.597217
EXP-LEAD, 2023-07-21T20:03:24.254, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:03:29.973, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:03:31.043, ubuntu22-b, mtd-zk-0, 0.597217
EXP-LOAD, 2023-07-21T20:03:40.564, ubuntu22-b, mtd-zk-0, 0.724122
EXP-LOAD, 2023-07-21T20:03:50.486, ubuntu22-b, mtd-zk-0, 0.725205
