EXP-LOAD, 2023-07-21T20:01:39.622, ubuntu22-c, mtd-zk-1, 0.574607
EXP-LOAD, 2023-07-21T20:01:50.482, ubuntu22-c, mtd-zk-1, 0.690912
EXP-LOAD, 2023-07-21T20:02:02.740, ubuntu22-c, mtd-zk-1, 0.690912
EXP-LEAD, 2023-07-21T20:02:03.909, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:02:10.953, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:02:12.077, ubuntu22-c, mtd-zk-1, 0.638410
EXP-LEAD, 2023-07-21T20:02:13.051, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:02:18.398, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:02:19.563, ubuntu22-c, mtd-zk-1, 0.759804
EXP-LOAD, 2023-07-21T20:02:26.889, ubuntu22-c, mtd-zk-1, 0.759804
EXP-LOAD, 2023-07-21T20:02:41.159, ubuntu22-c, mtd-zk-1, 0.747211
EXP-LEAD, 2023-07-21T20:02:41.257, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:02:47.234, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:02:48.331, ubuntu22-c, mtd-zk-1, 0.747211
EXP-LOAD, 2023-07-21T20:02:54.597, ubuntu22-c, mtd-zk-1, 0.624035
EXP-LEAD, 2023-07-21T20:02:55.660, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:03:01.945, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:03:03.048, ubuntu22-c, mtd-zk-1, 0.624035
EXP-LOAD, 2023-07-21T20:03:12.076, ubuntu22-c, mtd-zk-1, 0.747830
EXP-LOAD, 2023-07-21T20:03:23.142, ubuntu22-c, mtd-zk-1, 0.719429
EXP-LOAD, 2023-07-21T20:03:30.338, ubuntu22-c, mtd-zk-1, 0.719429
EXP-LEAD, 2023-07-21T20:03:32.392, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:03:40.158, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:03:41.260, ubuntu22-c, mtd-zk-1, 0.684642
EXP-LOAD, 2023-07-21T20:03:49.503, ubuntu22-c, mtd-zk-1, 0.676805
EXP-LOAD, 2023-07-21T20:04:00.664, ubuntu22-c, mtd-zk-1, 0.676805
EXP-LEAD, 2023-07-21T20:04:01.842, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:04:07.672, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:04:08.812, ubuntu22-c, mtd-zk-1, 0.668008
EXP-LOAD, 2023-07-21T20:04:20.053, ubuntu22-c, mtd-zk-1, 0.670417
EXP-LOAD, 2023-07-21T20:04:30.348, ubuntu22-c, mtd-zk-1, 0.670417
EXP-LOAD, 2023-07-21T20:04:42.601, ubuntu22-c, mtd-zk-1, 0.704418
EXP-LEAD, 2023-07-21T20:04:43.664, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:04:49.425, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:04:50.508, ubuntu22-c, mtd-zk-1, 0.638911
EXP-LEAD, 2023-07-21T20:04:51.885, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:04:57.633, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:04:58.806, ubuntu22-c, mtd-zk-1, 0.638911
EXP-LEAD, 2023-07-21T20:05:01.050, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:05:06.903, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:05:08.093, ubuntu22-c, mtd-zk-1, 0.667639
EXP-LOAD, 2023-07-21T20:05:16.424, ubuntu22-c, mtd-zk-1, 0.667639
EXP-LOAD, 2023-07-21T20:05:23.487, ubuntu22-c, mtd-zk-1, 0.725628
EXP-LOAD, 2023-07-21T20:05:37.670, ubuntu22-c, mtd-zk-1, 0.676224
EXP-LEAD, 2023-07-21T20:05:38.737, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:05:43.461, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:05:44.547, ubuntu22-c, mtd-zk-1, 0.676224
EXP-LEAD, 2023-07-21T20:05:45.848, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:05:54.752, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:05:55.880, ubuntu22-c, mtd-zk-1, 0.652817
EXP-LEAD, 2023-07-21T20:05:57.046, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:06:02.896, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T20:06:03.943, ubuntu22-c, mtd-zk-1, 0.652817
EXP-LOAD, 2023-07-21T20:06:14.404, ubuntu22-c, mtd-zk-1, 0.715416
EXP-LOAD, 2023-07-21T20:06:22.557, ubuntu22-c, mtd-zk-1, 0.690203
EXP-LOAD, 2023-07-21T20:06:34.320, ubuntu22-c, mtd-zk-1, 0.629514
EXP-LOAD, 2023-07-21T20:06:42.262, ubuntu22-c, mtd-zk-1, 0.629514
EXP-LOAD, 2023-07-21T20:06:54.431, ubuntu22-c, mtd-zk-1, 0.621209
EXP-LOAD, 2023-07-21T20:07:01.592, ubuntu22-c, mtd-zk-1, 0.621209
EXP-LEAD, 2023-07-21T20:07:03.642, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T20:07:09.332, ubuntu22-c, mtd-zk-1, END
