EXP-LOAD, 2023-07-21T23:08:57.044, ubuntu22-b, mtd-zk-1, 0.578409
EXP-LOAD, 2023-07-21T23:09:08.559, ubuntu22-b, mtd-zk-1, 0.658012
EXP-LOAD, 2023-07-21T23:09:18.956, ubuntu22-b, mtd-zk-1, 0.658012
EXP-LOAD, 2023-07-21T23:09:26.323, ubuntu22-b, mtd-zk-1, 0.705414
EXP-LEAD, 2023-07-21T23:09:28.381, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:09:36.011, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:09:37.121, ubuntu22-b, mtd-zk-1, 0.683425
EXP-LOAD, 2023-07-21T23:09:46.727, ubuntu22-b, mtd-zk-1, 0.683425
EXP-LEAD, 2023-07-21T23:09:47.829, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:09:57.222, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:09:58.302, ubuntu22-b, mtd-zk-1, 0.687206
EXP-LEAD, 2023-07-21T23:09:59.362, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:10:04.198, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:10:05.293, ubuntu22-b, mtd-zk-1, 0.689820
EXP-LOAD, 2023-07-21T23:10:13.728, ubuntu22-b, mtd-zk-1, 0.689820
EXP-LEAD, 2023-07-21T23:10:14.822, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:10:20.722, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:10:21.802, ubuntu22-b, mtd-zk-1, 0.669409
EXP-LEAD, 2023-07-21T23:10:22.076, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:10:31.990, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:10:33.063, ubuntu22-b, mtd-zk-1, 0.669409
EXP-LEAD, 2023-07-21T23:10:34.249, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:10:39.951, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:10:41.042, ubuntu22-b, mtd-zk-1, 0.732323
EXP-LEAD, 2023-07-21T23:10:42.400, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:10:48.099, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:10:49.173, ubuntu22-b, mtd-zk-1, 0.596916
EXP-LOAD, 2023-07-21T23:10:58.811, ubuntu22-b, mtd-zk-1, 0.596916
EXP-LEAD, 2023-07-21T23:10:59.872, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:11:05.665, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:11:06.737, ubuntu22-b, mtd-zk-1, 0.683544
EXP-LOAD, 2023-07-21T23:11:18.183, ubuntu22-b, mtd-zk-1, 0.683544
EXP-LOAD, 2023-07-21T23:11:25.350, ubuntu22-b, mtd-zk-1, 0.636210
EXP-LOAD, 2023-07-21T23:11:33.670, ubuntu22-b, mtd-zk-1, 0.636210
EXP-LOAD, 2023-07-21T23:11:44.768, ubuntu22-b, mtd-zk-1, 0.667227
EXP-LEAD, 2023-07-21T23:11:46.828, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:11:54.047, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:11:55.190, ubuntu22-b, mtd-zk-1, 0.675624
EXP-LOAD, 2023-07-21T23:12:05.306, ubuntu22-b, mtd-zk-1, 0.731518
EXP-LOAD, 2023-07-21T23:12:15.463, ubuntu22-b, mtd-zk-1, 0.731518
EXP-LOAD, 2023-07-21T23:12:25.485, ubuntu22-b, mtd-zk-1, 0.680206
EXP-LOAD, 2023-07-21T23:12:35.730, ubuntu22-b, mtd-zk-1, 0.664207
EXP-LOAD, 2023-07-21T23:12:43.910, ubuntu22-b, mtd-zk-1, 0.664207
EXP-LEAD, 2023-07-21T23:12:46.917, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T23:12:52.712, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T23:12:53.785, ubuntu22-b, mtd-zk-1, 0.750604
EXP-LOAD, 2023-07-21T23:13:00.208, ubuntu22-b, mtd-zk-1, 0.750604
EXP-LOAD, 2023-07-21T23:13:10.416, ubuntu22-b, mtd-zk-1, 0.655631
