EXP-LOAD, 2023-07-22T00:11:08.521, ubuntu22-b, mtd-zk-0, 0.583824
EXP-LEAD, 2023-07-22T00:11:09.832, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:11:17.701, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:11:18.811, ubuntu22-b, mtd-zk-0, 0.583824
EXP-LEAD, 2023-07-22T00:11:21.174, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:11:30.370, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:11:31.516, ubuntu22-b, mtd-zk-0, 0.827820
EXP-LOAD, 2023-07-22T00:11:43.661, ubuntu22-b, mtd-zk-0, 0.728211
EXP-LOAD, 2023-07-22T00:11:55.887, ubuntu22-b, mtd-zk-0, 0.631737
EXP-LOAD, 2023-07-22T00:12:05.177, ubuntu22-b, mtd-zk-0, 0.683413
EXP-LOAD, 2023-07-22T00:12:13.538, ubuntu22-b, mtd-zk-0, 0.683413
EXP-LOAD, 2023-07-22T00:12:22.629, ubuntu22-b, mtd-zk-0, 0.640718
EXP-LOAD, 2023-07-22T00:12:32.939, ubuntu22-b, mtd-zk-0, 0.640718
EXP-LEAD, 2023-07-22T00:12:34.982, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:12:40.975, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:12:42.066, ubuntu22-b, mtd-zk-0, 0.630607
EXP-LEAD, 2023-07-22T00:12:43.230, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:12:51.054, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:12:52.137, ubuntu22-b, mtd-zk-0, 0.738214
EXP-LOAD, 2023-07-22T00:12:58.670, ubuntu22-b, mtd-zk-0, 0.738214
EXP-LOAD, 2023-07-22T00:13:09.959, ubuntu22-b, mtd-zk-0, 0.694404
EXP-LOAD, 2023-07-22T00:13:18.126, ubuntu22-b, mtd-zk-0, 0.694404
EXP-LOAD, 2023-07-22T00:13:27.311, ubuntu22-b, mtd-zk-0, 0.692409
EXP-LOAD, 2023-07-22T00:13:39.880, ubuntu22-b, mtd-zk-0, 0.680205
EXP-LOAD, 2023-07-22T00:13:48.003, ubuntu22-b, mtd-zk-0, 0.680205
EXP-LOAD, 2023-07-22T00:13:55.257, ubuntu22-b, mtd-zk-0, 0.672624
EXP-LOAD, 2023-07-22T00:14:06.459, ubuntu22-b, mtd-zk-0, 0.650843
EXP-LOAD, 2023-07-22T00:14:14.670, ubuntu22-b, mtd-zk-0, 0.650843
EXP-LOAD, 2023-07-22T00:14:24.904, ubuntu22-b, mtd-zk-0, 0.681439
EXP-LEAD, 2023-07-22T00:14:26.978, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:14:32.695, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:14:33.744, ubuntu22-b, mtd-zk-0, 0.681439
EXP-LOAD, 2023-07-22T00:14:41.945, ubuntu22-b, mtd-zk-0, 0.629276
EXP-LOAD, 2023-07-22T00:14:51.102, ubuntu22-b, mtd-zk-0, 0.718430
EXP-LOAD, 2023-07-22T00:15:01.641, ubuntu22-b, mtd-zk-0, 0.718430
EXP-LOAD, 2023-07-22T00:15:09.566, ubuntu22-b, mtd-zk-0, 0.751221
EXP-LOAD, 2023-07-22T00:15:22.766, ubuntu22-b, mtd-zk-0, 0.701518
EXP-LOAD, 2023-07-22T00:15:30.882, ubuntu22-b, mtd-zk-0, 0.701518
EXP-LOAD, 2023-07-22T00:15:40.090, ubuntu22-b, mtd-zk-0, 0.676627
EXP-LEAD, 2023-07-22T00:15:42.043, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:15:47.746, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:15:48.867, ubuntu22-b, mtd-zk-0, 0.676627
EXP-LOAD, 2023-07-22T00:15:56.006, ubuntu22-b, mtd-zk-0, 0.698204
EXP-LOAD, 2023-07-22T00:16:06.192, ubuntu22-b, mtd-zk-0, 0.663803
EXP-LEAD, 2023-07-22T00:16:08.128, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-22T00:16:14.851, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-22T00:16:15.933, ubuntu22-b, mtd-zk-0, 0.663803
EXP-LOAD, 2023-07-22T00:16:24.355, ubuntu22-b, mtd-zk-0, 0.684228
EXP-LEAD, 2023-07-22T00:16:25.425, ubuntu22-b, mtd-zk-0, START
