EXP-LOAD, 2023-07-22T00:11:08.588, ubuntu22-d, mtd-zk-2, 0.546209
EXP-LOAD, 2023-07-22T00:11:19.060, ubuntu22-d, mtd-zk-2, 0.546209
EXP-LOAD, 2023-07-22T00:11:32.419, ubuntu22-d, mtd-zk-2, 0.841105
EXP-LEAD, 2023-07-22T00:11:34.531, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:11:42.514, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:11:43.615, ubuntu22-d, mtd-zk-2, 0.582855
EXP-LOAD, 2023-07-22T00:11:54.920, ubuntu22-d, mtd-zk-2, 0.663711
EXP-LOAD, 2023-07-22T00:12:04.148, ubuntu22-d, mtd-zk-2, 0.637607
EXP-LEAD, 2023-07-22T00:12:06.258, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:12:12.672, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:12:13.787, ubuntu22-d, mtd-zk-2, 0.637607
EXP-LEAD, 2023-07-22T00:12:14.563, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:12:20.682, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:12:21.752, ubuntu22-d, mtd-zk-2, 0.761613
EXP-LEAD, 2023-07-22T00:12:23.736, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:12:32.711, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:12:33.885, ubuntu22-d, mtd-zk-2, 0.761613
EXP-LOAD, 2023-07-22T00:12:42.057, ubuntu22-d, mtd-zk-2, 0.681463
EXP-LOAD, 2023-07-22T00:12:51.392, ubuntu22-d, mtd-zk-2, 0.659415
EXP-LOAD, 2023-07-22T00:12:59.596, ubuntu22-d, mtd-zk-2, 0.659415
EXP-LEAD, 2023-07-22T00:13:00.831, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:13:08.676, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:13:09.785, ubuntu22-d, mtd-zk-2, 0.644009
EXP-LEAD, 2023-07-22T00:13:11.007, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:13:16.847, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:13:17.956, ubuntu22-d, mtd-zk-2, 0.644009
EXP-LEAD, 2023-07-22T00:13:20.381, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:13:26.218, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:13:27.350, ubuntu22-d, mtd-zk-2, 0.646424
EXP-LOAD, 2023-07-22T00:13:39.858, ubuntu22-d, mtd-zk-2, 0.703226
EXP-LOAD, 2023-07-22T00:13:47.043, ubuntu22-d, mtd-zk-2, 0.703226
EXP-LOAD, 2023-07-22T00:13:56.208, ubuntu22-d, mtd-zk-2, 0.669506
EXP-LOAD, 2023-07-22T00:14:05.433, ubuntu22-d, mtd-zk-2, 0.782231
EXP-LEAD, 2023-07-22T00:14:06.636, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:14:12.778, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:14:13.866, ubuntu22-d, mtd-zk-2, 0.782231
EXP-LOAD, 2023-07-22T00:14:25.868, ubuntu22-d, mtd-zk-2, 0.700507
EXP-LOAD, 2023-07-22T00:14:33.087, ubuntu22-d, mtd-zk-2, 0.700507
EXP-LEAD, 2023-07-22T00:14:34.792, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:14:40.556, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:14:41.653, ubuntu22-d, mtd-zk-2, 0.642812
EXP-LEAD, 2023-07-22T00:14:43.000, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:14:50.811, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:14:51.916, ubuntu22-d, mtd-zk-2, 0.718711
EXP-LEAD, 2023-07-22T00:14:54.207, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:15:00.888, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:15:01.958, ubuntu22-d, mtd-zk-2, 0.718711
EXP-LEAD, 2023-07-22T00:15:03.462, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:15:09.367, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:15:10.478, ubuntu22-d, mtd-zk-2, 0.690604
EXP-LOAD, 2023-07-22T00:15:23.726, ubuntu22-d, mtd-zk-2, 0.641453
EXP-LOAD, 2023-07-22T00:15:31.875, ubuntu22-d, mtd-zk-2, 0.641453
EXP-LOAD, 2023-07-22T00:15:40.994, ubuntu22-d, mtd-zk-2, 0.603404
EXP-LOAD, 2023-07-22T00:15:48.126, ubuntu22-d, mtd-zk-2, 0.603404
EXP-LEAD, 2023-07-22T00:15:49.932, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:15:55.532, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-22T00:15:56.618, ubuntu22-d, mtd-zk-2, 0.617712
EXP-LOAD, 2023-07-22T00:16:06.212, ubuntu22-d, mtd-zk-2, 0.739208
EXP-LOAD, 2023-07-22T00:16:16.193, ubuntu22-d, mtd-zk-2, 0.739208
EXP-LEAD, 2023-07-22T00:16:17.324, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-22T00:16:22.930, ubuntu22-d, mtd-zk-2, END
