EXP-LOAD, 2023-07-17T15:28:47.468, ubuntu22-c, mtd-zk-0, 0.067413
EXP-LEAD, 2023-07-17T15:28:50.187, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:28:58.894, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:28:59.985, ubuntu22-c, mtd-zk-0, 0.096316
EXP-LOAD, 2023-07-17T15:29:08.515, ubuntu22-c, mtd-zk-0, 0.351212
EXP-LOAD, 2023-07-17T15:29:15.718, ubuntu22-c, mtd-zk-0, 0.351212
EXP-LOAD, 2023-07-17T15:29:25.555, ubuntu22-c, mtd-zk-0, 0.190709
EXP-LEAD, 2023-07-17T15:29:27.077, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:29:31.948, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:29:33.013, ubuntu22-c, mtd-zk-0, 0.190709
EXP-LEAD, 2023-07-17T15:29:35.249, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:29:42.990, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:29:44.063, ubuntu22-c, mtd-zk-0, 0.172816
EXP-LOAD, 2023-07-17T15:29:50.266, ubuntu22-c, mtd-zk-0, 0.285444
EXP-LEAD, 2023-07-17T15:29:51.915, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:29:59.670, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:30:00.758, ubuntu22-c, mtd-zk-0, 0.285444
EXP-LOAD, 2023-07-17T15:30:09.136, ubuntu22-c, mtd-zk-0, 0.242261
EXP-LOAD, 2023-07-17T15:30:19.282, ubuntu22-c, mtd-zk-0, 0.147019
EXP-LOAD, 2023-07-17T15:30:27.437, ubuntu22-c, mtd-zk-0, 0.147019
EXP-LOAD, 2023-07-17T15:30:37.655, ubuntu22-c, mtd-zk-0, 0.228814
EXP-LOAD, 2023-07-17T15:30:46.728, ubuntu22-c, mtd-zk-0, 0.228814
EXP-LOAD, 2023-07-17T15:30:55.886, ubuntu22-c, mtd-zk-0, 0.216622
EXP-LOAD, 2023-07-17T15:31:03.980, ubuntu22-c, mtd-zk-0, 0.216622
EXP-LEAD, 2023-07-17T15:31:05.990, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:31:12.702, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:31:13.757, ubuntu22-c, mtd-zk-0, 0.294433
EXP-LEAD, 2023-07-17T15:31:15.122, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:31:19.652, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:31:20.687, ubuntu22-c, mtd-zk-0, 0.157284
EXP-LEAD, 2023-07-17T15:31:22.231, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:31:29.949, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:31:30.999, ubuntu22-c, mtd-zk-0, 0.157284
EXP-LEAD, 2023-07-17T15:31:31.324, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-17T15:31:35.989, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-17T15:31:37.032, ubuntu22-c, mtd-zk-0, 0.177624
EXP-LOAD, 2023-07-17T15:31:46.503, ubuntu22-c, mtd-zk-0, 0.177624
EXP-LOAD, 2023-07-17T15:31:54.202, ubuntu22-c, mtd-zk-0, 0.153516
EXP-LOAD, 2023-07-17T15:32:03.406, ubuntu22-c, mtd-zk-0, 0.153516
EXP-LOAD, 2023-07-17T15:32:10.926, ubuntu22-c, mtd-zk-0, 0.190034
