EXP-LOAD, 2023-07-18T14:01:01.848, ubuntu22-b, mtd-zk-0, 0.575212
EXP-LOAD, 2023-07-18T14:01:09.269, ubuntu22-b, mtd-zk-0, 0.576814
EXP-LEAD, 2023-07-18T14:01:11.343, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:01:17.919, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:01:19.025, ubuntu22-b, mtd-zk-0, 0.576814
EXP-LEAD, 2023-07-18T14:01:20.139, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:01:28.243, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:01:29.344, ubuntu22-b, mtd-zk-0, 0.745805
EXP-LOAD, 2023-07-18T14:01:36.476, ubuntu22-b, mtd-zk-0, 0.703834
EXP-LOAD, 2023-07-18T14:01:43.406, ubuntu22-b, mtd-zk-0, 0.703834
EXP-LOAD, 2023-07-18T14:01:51.439, ubuntu22-b, mtd-zk-0, 0.683208
EXP-LOAD, 2023-07-18T14:02:02.265, ubuntu22-b, mtd-zk-0, 0.683208
EXP-LOAD, 2023-07-18T14:02:10.391, ubuntu22-b, mtd-zk-0, 0.705022
EXP-LOAD, 2023-07-18T14:02:18.211, ubuntu22-b, mtd-zk-0, 0.705022
EXP-LOAD, 2023-07-18T14:02:26.383, ubuntu22-b, mtd-zk-0, 0.685912
EXP-LEAD, 2023-07-18T14:02:28.027, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:02:33.989, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:02:36.052, ubuntu22-b, mtd-zk-0, 0.683008
EXP-LEAD, 2023-07-18T14:02:37.119, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:02:44.946, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:02:46.027, ubuntu22-b, mtd-zk-0, 0.683008
EXP-LOAD, 2023-07-18T14:02:52.438, ubuntu22-b, mtd-zk-0, 0.666919
EXP-LOAD, 2023-07-18T14:03:03.197, ubuntu22-b, mtd-zk-0, 0.666919
EXP-LOAD, 2023-07-18T14:03:08.805, ubuntu22-b, mtd-zk-0, 0.804202
EXP-LOAD, 2023-07-18T14:03:18.999, ubuntu22-b, mtd-zk-0, 0.804202
EXP-LOAD, 2023-07-18T14:03:31.110, ubuntu22-b, mtd-zk-0, 0.732620
EXP-LOAD, 2023-07-18T14:03:43.277, ubuntu22-b, mtd-zk-0, 0.586915
EXP-LOAD, 2023-07-18T14:03:51.405, ubuntu22-b, mtd-zk-0, 0.689207
EXP-LOAD, 2023-07-18T14:03:59.609, ubuntu22-b, mtd-zk-0, 0.689207
EXP-LOAD, 2023-07-18T14:04:11.770, ubuntu22-b, mtd-zk-0, 0.672011
EXP-LOAD, 2023-07-18T14:04:19.618, ubuntu22-b, mtd-zk-0, 0.747621
EXP-LOAD, 2023-07-18T14:04:26.778, ubuntu22-b, mtd-zk-0, 0.747621
EXP-LOAD, 2023-07-18T14:04:37.957, ubuntu22-b, mtd-zk-0, 0.675716
EXP-LOAD, 2023-07-18T14:04:46.954, ubuntu22-b, mtd-zk-0, 0.675716
EXP-LOAD, 2023-07-18T14:04:55.692, ubuntu22-b, mtd-zk-0, 0.689606
EXP-LOAD, 2023-07-18T14:05:06.874, ubuntu22-b, mtd-zk-0, 0.648413
EXP-LOAD, 2023-07-18T14:05:15.070, ubuntu22-b, mtd-zk-0, 0.648413
EXP-LEAD, 2023-07-18T14:05:17.143, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:05:25.260, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:05:26.323, ubuntu22-b, mtd-zk-0, 0.728226
EXP-LOAD, 2023-07-18T14:05:34.289, ubuntu22-b, mtd-zk-0, 0.695813
EXP-LOAD, 2023-07-18T14:05:43.462, ubuntu22-b, mtd-zk-0, 0.695813
EXP-LOAD, 2023-07-18T14:05:50.546, ubuntu22-b, mtd-zk-0, 0.609457
EXP-LOAD, 2023-07-18T14:06:00.663, ubuntu22-b, mtd-zk-0, 0.609457
EXP-LOAD, 2023-07-18T14:06:07.849, ubuntu22-b, mtd-zk-0, 0.695414
EXP-LOAD, 2023-07-18T14:06:19.922, ubuntu22-b, mtd-zk-0, 0.728608
EXP-LOAD, 2023-07-18T14:06:27.059, ubuntu22-b, mtd-zk-0, 0.728608
EXP-LOAD, 2023-07-18T14:06:37.545, ubuntu22-b, mtd-zk-0, 0.703609
EXP-LOAD, 2023-07-18T14:06:44.633, ubuntu22-b, mtd-zk-0, 0.703609
EXP-LOAD, 2023-07-18T14:06:54.752, ubuntu22-b, mtd-zk-0, 0.714205
EXP-LEAD, 2023-07-18T14:06:56.762, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:07:01.662, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:07:02.740, ubuntu22-b, mtd-zk-0, 0.714205
EXP-LOAD, 2023-07-18T14:07:09.895, ubuntu22-b, mtd-zk-0, 0.706416
EXP-LOAD, 2023-07-18T14:07:17.968, ubuntu22-b, mtd-zk-0, 0.706416
EXP-LOAD, 2023-07-18T14:07:27.093, ubuntu22-b, mtd-zk-0, 0.677008
EXP-LOAD, 2023-07-18T14:07:34.180, ubuntu22-b, mtd-zk-0, 0.698412
EXP-LOAD, 2023-07-18T14:07:44.372, ubuntu22-b, mtd-zk-0, 0.698412
EXP-LOAD, 2023-07-18T14:07:50.490, ubuntu22-b, mtd-zk-0, 0.726606
EXP-LOAD, 2023-07-18T14:07:57.595, ubuntu22-b, mtd-zk-0, 0.726606
EXP-LEAD, 2023-07-18T14:07:59.627, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T14:08:08.389, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T14:08:09.445, ubuntu22-b, mtd-zk-0, 0.709305
EXP-LEAD, 2023-07-18T14:08:10.478, ubuntu22-b, mtd-zk-0, START
