EXP-LOAD, 2023-07-18T16:05:18.607, ubuntu22-b, mtd-zk-0, 0.584204
EXP-LOAD, 2023-07-18T16:05:26.031, ubuntu22-b, mtd-zk-0, 0.617210
EXP-LOAD, 2023-07-18T16:05:35.333, ubuntu22-b, mtd-zk-0, 0.702027
EXP-LOAD, 2023-07-18T16:05:43.350, ubuntu22-b, mtd-zk-0, 0.702027
EXP-LOAD, 2023-07-18T16:05:54.592, ubuntu22-b, mtd-zk-0, 0.696620
EXP-LOAD, 2023-07-18T16:06:02.823, ubuntu22-b, mtd-zk-0, 0.696620
EXP-LOAD, 2023-07-18T16:06:12.877, ubuntu22-b, mtd-zk-0, 0.752639
EXP-LOAD, 2023-07-18T16:06:21.030, ubuntu22-b, mtd-zk-0, 0.726325
EXP-LOAD, 2023-07-18T16:06:28.188, ubuntu22-b, mtd-zk-0, 0.726325
EXP-LEAD, 2023-07-18T16:06:30.840, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T16:06:37.510, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T16:06:38.603, ubuntu22-b, mtd-zk-0, 0.690820
EXP-LOAD, 2023-07-18T16:06:46.615, ubuntu22-b, mtd-zk-0, 0.690820
EXP-LOAD, 2023-07-18T16:06:53.615, ubuntu22-b, mtd-zk-0, 0.756905
EXP-LOAD, 2023-07-18T16:07:03.750, ubuntu22-b, mtd-zk-0, 0.756905
EXP-LOAD, 2023-07-18T16:07:10.871, ubuntu22-b, mtd-zk-0, 0.674003
EXP-LOAD, 2023-07-18T16:07:20.999, ubuntu22-b, mtd-zk-0, 0.688768
EXP-LOAD, 2023-07-18T16:07:29.144, ubuntu22-b, mtd-zk-0, 0.688768
EXP-LOAD, 2023-07-18T16:07:39.257, ubuntu22-b, mtd-zk-0, 0.658207
EXP-LEAD, 2023-07-18T16:07:41.324, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-18T16:07:46.276, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-18T16:07:47.331, ubuntu22-b, mtd-zk-0, 0.658207
EXP-LOAD, 2023-07-18T16:07:53.458, ubuntu22-b, mtd-zk-0, 0.702512
EXP-LOAD, 2023-07-18T16:08:01.652, ubuntu22-b, mtd-zk-0, 0.702512
