EXP-LOAD, 2023-07-18T18:10:16.691, ubuntu22-b, mtd-zk-1, 0.572210
EXP-LOAD, 2023-07-18T18:10:29.291, ubuntu22-b, mtd-zk-1, 0.646820
EXP-LOAD, 2023-07-18T18:10:36.724, ubuntu22-b, mtd-zk-1, 0.661815
EXP-LOAD, 2023-07-18T18:10:46.871, ubuntu22-b, mtd-zk-1, 0.661815
EXP-LEAD, 2023-07-18T18:10:48.782, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:10:56.419, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:10:57.561, ubuntu22-b, mtd-zk-1, 0.657150
EXP-LEAD, 2023-07-18T18:10:58.933, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:11:04.508, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:11:05.599, ubuntu22-b, mtd-zk-1, 0.780203
EXP-LOAD, 2023-07-18T18:11:16.840, ubuntu22-b, mtd-zk-1, 0.780203
EXP-LOAD, 2023-07-18T18:11:24.449, ubuntu22-b, mtd-zk-1, 0.687907
EXP-LOAD, 2023-07-18T18:11:30.611, ubuntu22-b, mtd-zk-1, 0.687907
EXP-LOAD, 2023-07-18T18:11:37.726, ubuntu22-b, mtd-zk-1, 0.687622
EXP-LEAD, 2023-07-18T18:11:38.763, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:11:48.020, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:11:49.091, ubuntu22-b, mtd-zk-1, 0.692913
EXP-LEAD, 2023-07-18T18:11:51.036, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:11:56.855, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:11:57.938, ubuntu22-b, mtd-zk-1, 0.692913
EXP-LOAD, 2023-07-18T18:12:10.199, ubuntu22-b, mtd-zk-1, 0.689829
EXP-LOAD, 2023-07-18T18:12:17.421, ubuntu22-b, mtd-zk-1, 0.689829
EXP-LOAD, 2023-07-18T18:12:25.598, ubuntu22-b, mtd-zk-1, 0.698540
EXP-LOAD, 2023-07-18T18:12:37.805, ubuntu22-b, mtd-zk-1, 0.687612
EXP-LEAD, 2023-07-18T18:12:37.882, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:12:42.646, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:12:43.718, ubuntu22-b, mtd-zk-1, 0.687612
EXP-LEAD, 2023-07-18T18:12:45.025, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:12:49.926, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:12:50.975, ubuntu22-b, mtd-zk-1, 0.679932
EXP-LOAD, 2023-07-18T18:12:57.210, ubuntu22-b, mtd-zk-1, 0.679932
EXP-LOAD, 2023-07-18T18:13:05.518, ubuntu22-b, mtd-zk-1, 0.684014
EXP-LOAD, 2023-07-18T18:13:16.601, ubuntu22-b, mtd-zk-1, 0.684014
EXP-LEAD, 2023-07-18T18:13:18.579, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:13:23.206, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:13:24.253, ubuntu22-b, mtd-zk-1, 0.728114
EXP-LOAD, 2023-07-18T18:13:33.759, ubuntu22-b, mtd-zk-1, 0.728114
EXP-LEAD, 2023-07-18T18:13:35.520, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:13:41.157, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:13:42.224, ubuntu22-b, mtd-zk-1, 0.641840
EXP-LEAD, 2023-07-18T18:13:43.637, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:13:52.592, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:13:53.710, ubuntu22-b, mtd-zk-1, 0.683211
EXP-LEAD, 2023-07-18T18:13:55.758, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:14:00.273, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:14:01.330, ubuntu22-b, mtd-zk-1, 0.683211
EXP-LOAD, 2023-07-18T18:14:10.944, ubuntu22-b, mtd-zk-1, 0.687809
EXP-LEAD, 2023-07-18T18:14:13.020, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:14:17.673, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:14:18.752, ubuntu22-b, mtd-zk-1, 0.687809
EXP-LOAD, 2023-07-18T18:14:28.233, ubuntu22-b, mtd-zk-1, 0.764631
EXP-LEAD, 2023-07-18T18:14:29.285, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-18T18:14:34.055, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-18T18:14:35.098, ubuntu22-b, mtd-zk-1, 0.745303
EXP-LOAD, 2023-07-18T18:14:43.449, ubuntu22-b, mtd-zk-1, 0.745303
EXP-LEAD, 2023-07-18T18:14:43.500, ubuntu22-b, mtd-zk-1, START
