EXP-LOAD, 2023-07-19T07:40:17.991, ubuntu22-b, mtd-zk-0, 0.577512
EXP-LEAD, 2023-07-19T07:40:19.305, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:40:30.210, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:40:31.339, ubuntu22-b, mtd-zk-0, 0.581009
EXP-LEAD, 2023-07-19T07:40:32.537, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:40:38.483, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:40:40.692, ubuntu22-b, mtd-zk-0, 0.795413
EXP-LOAD, 2023-07-19T07:40:52.150, ubuntu22-b, mtd-zk-0, 0.658209
EXP-LOAD, 2023-07-19T07:40:59.263, ubuntu22-b, mtd-zk-0, 0.658209
EXP-LOAD, 2023-07-19T07:41:07.157, ubuntu22-b, mtd-zk-0, 0.685611
EXP-LOAD, 2023-07-19T07:41:19.295, ubuntu22-b, mtd-zk-0, 0.734218
EXP-LOAD, 2023-07-19T07:41:28.490, ubuntu22-b, mtd-zk-0, 0.734218
EXP-LOAD, 2023-07-19T07:41:35.678, ubuntu22-b, mtd-zk-0, 0.653620
EXP-LEAD, 2023-07-19T07:41:37.325, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:41:45.486, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:41:46.578, ubuntu22-b, mtd-zk-0, 0.653620
EXP-LOAD, 2023-07-19T07:41:54.547, ubuntu22-b, mtd-zk-0, 0.764410
EXP-LEAD, 2023-07-19T07:41:55.613, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:42:00.301, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:42:01.374, ubuntu22-b, mtd-zk-0, 0.764410
EXP-LEAD, 2023-07-19T07:42:01.781, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:42:07.533, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:42:08.607, ubuntu22-b, mtd-zk-0, 0.676805
EXP-LEAD, 2023-07-19T07:42:10.171, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T07:42:15.841, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T07:42:16.926, ubuntu22-b, mtd-zk-0, 0.676805
EXP-LOAD, 2023-07-19T07:42:24.134, ubuntu22-b, mtd-zk-0, 0.642375
EXP-LOAD, 2023-07-19T07:42:34.309, ubuntu22-b, mtd-zk-0, 0.608205
EXP-LOAD, 2023-07-19T07:42:39.414, ubuntu22-b, mtd-zk-0, 0.608205
