EXP-LOAD, 2023-07-19T07:40:16.034, ubuntu22-d, mtd-zk-2, 0.054412
EXP-LOAD, 2023-07-19T07:40:30.419, ubuntu22-d, mtd-zk-2, 0.359727
EXP-LOAD, 2023-07-19T07:40:40.513, ubuntu22-d, mtd-zk-2, 0.119422
EXP-LEAD, 2023-07-19T07:40:41.841, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:40:51.484, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:40:52.589, ubuntu22-d, mtd-zk-2, 0.269522
EXP-LEAD, 2023-07-19T07:40:54.073, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:40:58.808, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:40:59.869, ubuntu22-d, mtd-zk-2, 0.269522
EXP-LEAD, 2023-07-19T07:41:00.916, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:41:06.535, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:41:07.618, ubuntu22-d, mtd-zk-2, 0.337026
EXP-LOAD, 2023-07-19T07:41:20.319, ubuntu22-d, mtd-zk-2, 0.169465
EXP-LOAD, 2023-07-19T07:41:27.469, ubuntu22-d, mtd-zk-2, 0.169465
EXP-LOAD, 2023-07-19T07:41:35.666, ubuntu22-d, mtd-zk-2, 0.152617
EXP-LOAD, 2023-07-19T07:41:46.360, ubuntu22-d, mtd-zk-2, 0.152617
EXP-LEAD, 2023-07-19T07:41:47.499, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:41:53.013, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:41:54.071, ubuntu22-d, mtd-zk-2, 0.327029
EXP-LOAD, 2023-07-19T07:42:01.706, ubuntu22-d, mtd-zk-2, 0.327029
EXP-LOAD, 2023-07-19T07:42:08.818, ubuntu22-d, mtd-zk-2, 0.273843
EXP-LOAD, 2023-07-19T07:42:16.924, ubuntu22-d, mtd-zk-2, 0.273843
EXP-LEAD, 2023-07-19T07:42:17.975, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:42:23.451, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:42:24.519, ubuntu22-d, mtd-zk-2, 0.189755
EXP-LEAD, 2023-07-19T07:42:27.214, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:42:32.748, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:42:33.796, ubuntu22-d, mtd-zk-2, 0.189755
EXP-LOAD, 2023-07-19T07:42:39.410, ubuntu22-d, mtd-zk-2, 0.224628
EXP-LOAD, 2023-07-19T07:42:52.304, ubuntu22-d, mtd-zk-2, 0.172734
EXP-LEAD, 2023-07-19T07:42:53.344, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:42:58.950, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:43:00.021, ubuntu22-d, mtd-zk-2, 0.172734
EXP-LEAD, 2023-07-19T07:43:01.473, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:43:06.251, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:43:07.320, ubuntu22-d, mtd-zk-2, 0.265111
EXP-LOAD, 2023-07-19T07:43:19.687, ubuntu22-d, mtd-zk-2, 0.147643
EXP-LEAD, 2023-07-19T07:43:20.730, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:43:26.192, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:43:27.290, ubuntu22-d, mtd-zk-2, 0.147643
EXP-LEAD, 2023-07-19T07:43:29.831, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:43:37.445, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:43:38.507, ubuntu22-d, mtd-zk-2, 0.218235
EXP-LOAD, 2023-07-19T07:43:45.629, ubuntu22-d, mtd-zk-2, 0.218235
EXP-LOAD, 2023-07-19T07:43:52.744, ubuntu22-d, mtd-zk-2, 0.177839
EXP-LOAD, 2023-07-19T07:44:01.862, ubuntu22-d, mtd-zk-2, 0.177839
EXP-LEAD, 2023-07-19T07:44:03.884, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:44:08.291, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:44:09.342, ubuntu22-d, mtd-zk-2, 0.212615
EXP-LEAD, 2023-07-19T07:44:10.093, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:44:19.734, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:44:20.793, ubuntu22-d, mtd-zk-2, 0.161120
EXP-LOAD, 2023-07-19T07:44:28.887, ubuntu22-d, mtd-zk-2, 0.161120
EXP-LEAD, 2023-07-19T07:44:29.924, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-19T07:44:38.546, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-19T07:44:39.589, ubuntu22-d, mtd-zk-2, 0.094609
EXP-LOAD, 2023-07-19T07:44:46.127, ubuntu22-d, mtd-zk-2, 0.094609
EXP-LOAD, 2023-07-19T07:44:57.231, ubuntu22-d, mtd-zk-2, 0.113479
EXP-LOAD, 2023-07-19T07:45:04.306, ubuntu22-d, mtd-zk-2, 0.121069
EXP-LOAD, 2023-07-19T07:45:10.433, ubuntu22-d, mtd-zk-2, 0.121069
EXP-LOAD, 2023-07-19T07:45:17.538, ubuntu22-d, mtd-zk-2, 0.121069
EXP-LOAD, 2023-07-19T07:45:24.634, ubuntu22-d, mtd-zk-2, 0.172630
EXP-LOAD, 2023-07-19T07:45:36.777, ubuntu22-d, mtd-zk-2, 0.246722
EXP-LOAD, 2023-07-19T07:45:43.584, ubuntu22-d, mtd-zk-2, 0.246722
EXP-LOAD, 2023-07-19T07:45:51.702, ubuntu22-d, mtd-zk-2, 0.176235
EXP-LOAD, 2023-07-19T07:45:59.799, ubuntu22-d, mtd-zk-2, 0.176235
EXP-LOAD, 2023-07-19T07:46:07.083, ubuntu22-d, mtd-zk-2, 0.269825
EXP-LEAD, 2023-07-19T07:46:09.126, ubuntu22-d, mtd-zk-2, START
