EXP-LOAD, 2023-07-19T11:33:42.081, ubuntu22-b, mtd-zk-1, 0.578107
EXP-LOAD, 2023-07-19T11:33:51.685, ubuntu22-b, mtd-zk-1, 0.748406
EXP-LOAD, 2023-07-19T11:34:00.001, ubuntu22-b, mtd-zk-1, 0.748406
EXP-LOAD, 2023-07-19T11:34:10.398, ubuntu22-b, mtd-zk-1, 0.611417
EXP-LOAD, 2023-07-19T11:34:18.547, ubuntu22-b, mtd-zk-1, 0.611417
EXP-LOAD, 2023-07-19T11:34:27.780, ubuntu22-b, mtd-zk-1, 0.728839
EXP-LOAD, 2023-07-19T11:34:37.027, ubuntu22-b, mtd-zk-1, 0.681123
EXP-LOAD, 2023-07-19T11:34:43.298, ubuntu22-b, mtd-zk-1, 0.681123
EXP-LOAD, 2023-07-19T11:34:50.983, ubuntu22-b, mtd-zk-1, 0.588948
EXP-LEAD, 2023-07-19T11:34:52.036, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T11:34:59.532, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T11:35:00.631, ubuntu22-b, mtd-zk-1, 0.588948
EXP-LOAD, 2023-07-19T11:35:10.303, ubuntu22-b, mtd-zk-1, 0.733823
EXP-LOAD, 2023-07-19T11:35:17.525, ubuntu22-b, mtd-zk-1, 0.733823
EXP-LOAD, 2023-07-19T11:35:27.023, ubuntu22-b, mtd-zk-1, 0.729250
EXP-LOAD, 2023-07-19T11:35:36.233, ubuntu22-b, mtd-zk-1, 0.705912
EXP-LOAD, 2023-07-19T11:35:42.392, ubuntu22-b, mtd-zk-1, 0.705912
EXP-LOAD, 2023-07-19T11:35:52.672, ubuntu22-b, mtd-zk-1, 0.650406
EXP-LOAD, 2023-07-19T11:36:01.862, ubuntu22-b, mtd-zk-1, 0.650406
EXP-LOAD, 2023-07-19T11:36:12.043, ubuntu22-b, mtd-zk-1, 0.695122
EXP-LOAD, 2023-07-19T11:36:20.226, ubuntu22-b, mtd-zk-1, 0.677634
EXP-LOAD, 2023-07-19T11:36:31.625, ubuntu22-b, mtd-zk-1, 0.677634
EXP-LOAD, 2023-07-19T11:36:39.549, ubuntu22-b, mtd-zk-1, 0.702015
EXP-LOAD, 2023-07-19T11:36:48.766, ubuntu22-b, mtd-zk-1, 0.702015
EXP-LOAD, 2023-07-19T11:36:56.947, ubuntu22-b, mtd-zk-1, 0.741621
EXP-LOAD, 2023-07-19T11:37:06.165, ubuntu22-b, mtd-zk-1, 0.671423
EXP-LOAD, 2023-07-19T11:37:14.311, ubuntu22-b, mtd-zk-1, 0.671423
EXP-LOAD, 2023-07-19T11:37:24.454, ubuntu22-b, mtd-zk-1, 0.645543
EXP-LOAD, 2023-07-19T11:37:31.655, ubuntu22-b, mtd-zk-1, 0.645543
EXP-LOAD, 2023-07-19T11:37:41.793, ubuntu22-b, mtd-zk-1, 0.659043
EXP-LOAD, 2023-07-19T11:37:48.951, ubuntu22-b, mtd-zk-1, 0.659043
EXP-LOAD, 2023-07-19T11:37:58.091, ubuntu22-b, mtd-zk-1, 0.684722
EXP-LOAD, 2023-07-19T11:38:09.245, ubuntu22-b, mtd-zk-1, 0.684202
EXP-LOAD, 2023-07-19T11:38:18.644, ubuntu22-b, mtd-zk-1, 0.684202
EXP-LOAD, 2023-07-19T11:38:25.782, ubuntu22-b, mtd-zk-1, 0.659514
EXP-LOAD, 2023-07-19T11:38:34.946, ubuntu22-b, mtd-zk-1, 0.639631
EXP-LOAD, 2023-07-19T11:38:43.069, ubuntu22-b, mtd-zk-1, 0.639631
EXP-LOAD, 2023-07-19T11:38:51.665, ubuntu22-b, mtd-zk-1, 0.653230
EXP-LOAD, 2023-07-19T11:38:58.894, ubuntu22-b, mtd-zk-1, 0.653230
EXP-LOAD, 2023-07-19T11:39:07.978, ubuntu22-b, mtd-zk-1, 0.605823
EXP-LOAD, 2023-07-19T11:39:16.098, ubuntu22-b, mtd-zk-1, 0.605823
EXP-LOAD, 2023-07-19T11:39:26.267, ubuntu22-b, mtd-zk-1, 0.629519
EXP-LOAD, 2023-07-19T11:39:34.925, ubuntu22-b, mtd-zk-1, 0.661025
EXP-LOAD, 2023-07-19T11:39:45.131, ubuntu22-b, mtd-zk-1, 0.661025
EXP-LOAD, 2023-07-19T11:39:54.301, ubuntu22-b, mtd-zk-1, 0.630592
EXP-LOAD, 2023-07-19T11:40:06.479, ubuntu22-b, mtd-zk-1, 0.674009
EXP-LOAD, 2023-07-19T11:40:12.625, ubuntu22-b, mtd-zk-1, 0.674009
EXP-LOAD, 2023-07-19T11:40:24.285, ubuntu22-b, mtd-zk-1, 0.712306
EXP-LOAD, 2023-07-19T11:40:33.176, ubuntu22-b, mtd-zk-1, 0.712306
EXP-LOAD, 2023-07-19T11:40:42.310, ubuntu22-b, mtd-zk-1, 0.697027
EXP-LOAD, 2023-07-19T11:40:53.485, ubuntu22-b, mtd-zk-1, 0.661414
EXP-LOAD, 2023-07-19T11:41:02.293, ubuntu22-b, mtd-zk-1, 0.661414
EXP-LOAD, 2023-07-19T11:41:10.502, ubuntu22-b, mtd-zk-1, 0.690417
EXP-LOAD, 2023-07-19T11:41:17.645, ubuntu22-b, mtd-zk-1, 0.690417
EXP-LOAD, 2023-07-19T11:41:25.847, ubuntu22-b, mtd-zk-1, 0.645528
EXP-LOAD, 2023-07-19T11:41:35.115, ubuntu22-b, mtd-zk-1, 0.600204
EXP-LOAD, 2023-07-19T11:41:41.588, ubuntu22-b, mtd-zk-1, 0.600204
EXP-LOAD, 2023-07-19T11:41:51.745, ubuntu22-b, mtd-zk-1, 0.653116
EXP-LOAD, 2023-07-19T11:42:00.873, ubuntu22-b, mtd-zk-1, 0.653116
EXP-LOAD, 2023-07-19T11:42:10.019, ubuntu22-b, mtd-zk-1, 0.685612
EXP-LOAD, 2023-07-19T11:42:15.112, ubuntu22-b, mtd-zk-1, 0.685612
EXP-LOAD, 2023-07-19T11:42:24.200, ubuntu22-b, mtd-zk-1, 0.691625
EXP-LOAD, 2023-07-19T11:42:30.305, ubuntu22-b, mtd-zk-1, 0.691625
EXP-LOAD, 2023-07-19T11:42:38.935, ubuntu22-b, mtd-zk-1, 0.606917
EXP-LOAD, 2023-07-19T11:42:48.061, ubuntu22-b, mtd-zk-1, 0.606917
EXP-LOAD, 2023-07-19T11:42:58.266, ubuntu22-b, mtd-zk-1, 0.646216
EXP-LOAD, 2023-07-19T11:43:05.408, ubuntu22-b, mtd-zk-1, 0.649806
EXP-LOAD, 2023-07-19T11:43:17.678, ubuntu22-b, mtd-zk-1, 0.649806
EXP-LOAD, 2023-07-19T11:43:24.945, ubuntu22-b, mtd-zk-1, 0.693032
EXP-LOAD, 2023-07-19T11:43:31.386, ubuntu22-b, mtd-zk-1, 0.693032
EXP-LOAD, 2023-07-19T11:43:37.933, ubuntu22-b, mtd-zk-1, 0.703640
EXP-LOAD, 2023-07-19T11:43:49.464, ubuntu22-b, mtd-zk-1, 0.661222
EXP-LOAD, 2023-07-19T11:43:58.639, ubuntu22-b, mtd-zk-1, 0.661222
EXP-LOAD, 2023-07-19T11:44:09.760, ubuntu22-b, mtd-zk-1, 0.647433
EXP-LOAD, 2023-07-19T11:44:16.918, ubuntu22-b, mtd-zk-1, 0.647433
EXP-LOAD, 2023-07-19T11:44:27.200, ubuntu22-b, mtd-zk-1, 0.680408
EXP-LOAD, 2023-07-19T11:44:35.299, ubuntu22-b, mtd-zk-1, 0.654378
EXP-LOAD, 2023-07-19T11:44:46.432, ubuntu22-b, mtd-zk-1, 0.654378
EXP-LOAD, 2023-07-19T11:44:52.562, ubuntu22-b, mtd-zk-1, 0.662319
EXP-LOAD, 2023-07-19T11:45:03.706, ubuntu22-b, mtd-zk-1, 0.662319
EXP-LOAD, 2023-07-19T11:45:13.355, ubuntu22-b, mtd-zk-1, 0.691035
EXP-LOAD, 2023-07-19T11:45:23.503, ubuntu22-b, mtd-zk-1, 0.675822
EXP-LOAD, 2023-07-19T11:45:33.635, ubuntu22-b, mtd-zk-1, 0.675822
EXP-LOAD, 2023-07-19T11:45:45.832, ubuntu22-b, mtd-zk-1, 0.697428
EXP-LOAD, 2023-07-19T11:45:54.950, ubuntu22-b, mtd-zk-1, 0.668246
EXP-LOAD, 2023-07-19T11:46:04.093, ubuntu22-b, mtd-zk-1, 0.637417
EXP-LOAD, 2023-07-19T11:46:14.259, ubuntu22-b, mtd-zk-1, 0.637417
EXP-LOAD, 2023-07-19T11:46:21.953, ubuntu22-b, mtd-zk-1, 0.644912
EXP-LOAD, 2023-07-19T11:46:32.007, ubuntu22-b, mtd-zk-1, 0.644912
EXP-LOAD, 2023-07-19T11:46:43.129, ubuntu22-b, mtd-zk-1, 0.670597
EXP-LOAD, 2023-07-19T11:46:51.287, ubuntu22-b, mtd-zk-1, 0.630337
EXP-LOAD, 2023-07-19T11:47:00.850, ubuntu22-b, mtd-zk-1, 0.630337
