EXP-LOAD, 2023-07-19T12:36:05.699, ubuntu22-c, mtd-zk-0, 0.561402
EXP-LOAD, 2023-07-19T12:36:14.266, ubuntu22-c, mtd-zk-0, 0.574606
EXP-LOAD, 2023-07-19T12:36:24.773, ubuntu22-c, mtd-zk-0, 0.798035
EXP-LOAD, 2023-07-19T12:36:32.974, ubuntu22-c, mtd-zk-0, 0.798035
EXP-LOAD, 2023-07-19T12:36:47.108, ubuntu22-c, mtd-zk-0, 0.650906
EXP-LOAD, 2023-07-19T12:36:57.361, ubuntu22-c, mtd-zk-0, 0.645203
EXP-LEAD, 2023-07-19T12:36:58.489, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T12:37:05.440, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T12:37:06.604, ubuntu22-c, mtd-zk-0, 0.722114
EXP-LOAD, 2023-07-19T12:37:14.852, ubuntu22-c, mtd-zk-0, 0.722114
EXP-LOAD, 2023-07-19T12:37:23.174, ubuntu22-c, mtd-zk-0, 0.730019
EXP-LOAD, 2023-07-19T12:37:31.453, ubuntu22-c, mtd-zk-0, 0.730019
EXP-LOAD, 2023-07-19T12:37:39.698, ubuntu22-c, mtd-zk-0, 0.655517
EXP-LEAD, 2023-07-19T12:37:41.816, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T12:37:46.758, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T12:37:47.899, ubuntu22-c, mtd-zk-0, 0.655517
EXP-LOAD, 2023-07-19T12:37:58.142, ubuntu22-c, mtd-zk-0, 0.753203
EXP-LOAD, 2023-07-19T12:38:06.379, ubuntu22-c, mtd-zk-0, 0.632309
EXP-LOAD, 2023-07-19T12:38:15.544, ubuntu22-c, mtd-zk-0, 0.632309
EXP-LOAD, 2023-07-19T12:38:27.749, ubuntu22-c, mtd-zk-0, 0.692823
EXP-LOAD, 2023-07-19T12:38:37.009, ubuntu22-c, mtd-zk-0, 0.663311
EXP-LOAD, 2023-07-19T12:38:43.302, ubuntu22-c, mtd-zk-0, 0.663311
EXP-LOAD, 2023-07-19T12:38:50.374, ubuntu22-c, mtd-zk-0, 0.686206
EXP-LOAD, 2023-07-19T12:38:57.750, ubuntu22-c, mtd-zk-0, 0.686206
EXP-LOAD, 2023-07-19T12:39:09.621, ubuntu22-c, mtd-zk-0, 0.756810
EXP-LOAD, 2023-07-19T12:39:16.867, ubuntu22-c, mtd-zk-0, 0.756810
EXP-LOAD, 2023-07-19T12:39:27.968, ubuntu22-c, mtd-zk-0, 0.656032
EXP-LEAD, 2023-07-19T12:39:29.020, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T12:39:35.081, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T12:39:36.223, ubuntu22-c, mtd-zk-0, 0.699904
EXP-LOAD, 2023-07-19T12:39:46.285, ubuntu22-c, mtd-zk-0, 0.699904
EXP-LOAD, 2023-07-19T12:39:59.423, ubuntu22-c, mtd-zk-0, 0.697406
EXP-LOAD, 2023-07-19T12:40:05.610, ubuntu22-c, mtd-zk-0, 0.630832
EXP-LOAD, 2023-07-19T12:40:18.278, ubuntu22-c, mtd-zk-0, 0.630832
EXP-LOAD, 2023-07-19T12:40:24.435, ubuntu22-c, mtd-zk-0, 0.608437
EXP-LEAD, 2023-07-19T12:40:26.530, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T12:40:32.690, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T12:40:33.792, ubuntu22-c, mtd-zk-0, 0.608437
EXP-LOAD, 2023-07-19T12:40:41.817, ubuntu22-c, mtd-zk-0, 0.603611
EXP-LOAD, 2023-07-19T12:40:53.041, ubuntu22-c, mtd-zk-0, 0.694592
EXP-LOAD, 2023-07-19T12:41:01.205, ubuntu22-c, mtd-zk-0, 0.694592
EXP-LOAD, 2023-07-19T12:41:09.354, ubuntu22-c, mtd-zk-0, 0.606824
EXP-LOAD, 2023-07-19T12:41:17.471, ubuntu22-c, mtd-zk-0, 0.606824
EXP-LOAD, 2023-07-19T12:41:29.658, ubuntu22-c, mtd-zk-0, 0.707827
EXP-LOAD, 2023-07-19T12:41:34.794, ubuntu22-c, mtd-zk-0, 0.666459
EXP-LOAD, 2023-07-19T12:41:46.432, ubuntu22-c, mtd-zk-0, 0.666459
EXP-LOAD, 2023-07-19T12:41:54.591, ubuntu22-c, mtd-zk-0, 0.639539
EXP-LOAD, 2023-07-19T12:42:04.754, ubuntu22-c, mtd-zk-0, 0.644419
EXP-LOAD, 2023-07-19T12:42:10.892, ubuntu22-c, mtd-zk-0, 0.644419
EXP-LOAD, 2023-07-19T12:42:17.053, ubuntu22-c, mtd-zk-0, 0.644419
EXP-LOAD, 2023-07-19T12:42:26.590, ubuntu22-c, mtd-zk-0, 0.697118
