EXP-LOAD, 2023-07-19T12:36:05.449, ubuntu22-b, mtd-zk-1, 0.568815
EXP-LOAD, 2023-07-19T12:36:15.239, ubuntu22-b, mtd-zk-1, 0.580306
EXP-LOAD, 2023-07-19T12:36:25.597, ubuntu22-b, mtd-zk-1, 0.736205
EXP-LOAD, 2023-07-19T12:36:33.875, ubuntu22-b, mtd-zk-1, 0.736205
EXP-LEAD, 2023-07-19T12:36:35.077, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T12:36:46.300, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T12:36:47.435, ubuntu22-b, mtd-zk-1, 0.642808
EXP-LOAD, 2023-07-19T12:36:56.490, ubuntu22-b, mtd-zk-1, 0.770604
EXP-LOAD, 2023-07-19T12:37:06.600, ubuntu22-b, mtd-zk-1, 0.708212
EXP-LOAD, 2023-07-19T12:37:13.901, ubuntu22-b, mtd-zk-1, 0.708212
EXP-LOAD, 2023-07-19T12:37:22.162, ubuntu22-b, mtd-zk-1, 0.618803
EXP-LOAD, 2023-07-19T12:37:30.468, ubuntu22-b, mtd-zk-1, 0.618803
EXP-LOAD, 2023-07-19T12:37:40.673, ubuntu22-b, mtd-zk-1, 0.672110
EXP-LOAD, 2023-07-19T12:37:46.977, ubuntu22-b, mtd-zk-1, 0.672110
EXP-LOAD, 2023-07-19T12:37:57.176, ubuntu22-b, mtd-zk-1, 0.640601
EXP-LOAD, 2023-07-19T12:38:07.261, ubuntu22-b, mtd-zk-1, 0.684110
EXP-LOAD, 2023-07-19T12:38:16.502, ubuntu22-b, mtd-zk-1, 0.684110
EXP-LOAD, 2023-07-19T12:38:26.748, ubuntu22-b, mtd-zk-1, 0.573660
EXP-LOAD, 2023-07-19T12:38:36.098, ubuntu22-b, mtd-zk-1, 0.671824
EXP-LOAD, 2023-07-19T12:38:44.192, ubuntu22-b, mtd-zk-1, 0.671824
EXP-LEAD, 2023-07-19T12:38:45.240, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T12:38:50.109, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T12:38:51.181, ubuntu22-b, mtd-zk-1, 0.703611
EXP-LOAD, 2023-07-19T12:38:58.426, ubuntu22-b, mtd-zk-1, 0.703611
EXP-LOAD, 2023-07-19T12:39:10.633, ubuntu22-b, mtd-zk-1, 0.641515
EXP-LOAD, 2023-07-19T12:39:17.772, ubuntu22-b, mtd-zk-1, 0.641515
EXP-LOAD, 2023-07-19T12:39:26.949, ubuntu22-b, mtd-zk-1, 0.686412
EXP-LOAD, 2023-07-19T12:39:36.166, ubuntu22-b, mtd-zk-1, 0.670820
EXP-LEAD, 2023-07-19T12:39:39.113, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T12:39:45.257, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T12:39:46.337, ubuntu22-b, mtd-zk-1, 0.670820
EXP-LOAD, 2023-07-19T12:39:58.414, ubuntu22-b, mtd-zk-1, 0.690018
EXP-LOAD, 2023-07-19T12:40:05.619, ubuntu22-b, mtd-zk-1, 0.677315
EXP-LOAD, 2023-07-19T12:40:17.310, ubuntu22-b, mtd-zk-1, 0.677315
EXP-LOAD, 2023-07-19T12:40:25.429, ubuntu22-b, mtd-zk-1, 0.681832
EXP-LOAD, 2023-07-19T12:40:33.642, ubuntu22-b, mtd-zk-1, 0.681832
