EXP-LOAD, 2023-07-19T14:41:14.163, ubuntu22-b, mtd-zk-1, 0.568612
EXP-LOAD, 2023-07-19T14:41:24.722, ubuntu22-b, mtd-zk-1, 0.660506
EXP-LOAD, 2023-07-19T14:41:33.470, ubuntu22-b, mtd-zk-1, 0.660506
EXP-LOAD, 2023-07-19T14:41:42.824, ubuntu22-b, mtd-zk-1, 0.694002
EXP-LEAD, 2023-07-19T14:41:44.869, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T14:41:51.699, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T14:41:52.775, ubuntu22-b, mtd-zk-1, 0.682107
EXP-LOAD, 2023-07-19T14:42:02.192, ubuntu22-b, mtd-zk-1, 0.682107
EXP-LOAD, 2023-07-19T14:42:12.449, ubuntu22-b, mtd-zk-1, 0.675206
EXP-LOAD, 2023-07-19T14:42:23.770, ubuntu22-b, mtd-zk-1, 0.704812
EXP-LOAD, 2023-07-19T14:42:33.114, ubuntu22-b, mtd-zk-1, 0.704812
EXP-LOAD, 2023-07-19T14:42:39.266, ubuntu22-b, mtd-zk-1, 0.747613
EXP-LOAD, 2023-07-19T14:42:51.570, ubuntu22-b, mtd-zk-1, 0.645926
EXP-LOAD, 2023-07-19T14:42:59.773, ubuntu22-b, mtd-zk-1, 0.645926
EXP-LEAD, 2023-07-19T14:43:00.872, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T14:43:09.139, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T14:43:10.220, ubuntu22-b, mtd-zk-1, 0.611817
EXP-LOAD, 2023-07-19T14:43:19.080, ubuntu22-b, mtd-zk-1, 0.688122
EXP-LEAD, 2023-07-19T14:43:20.157, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-19T14:43:27.255, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-19T14:43:28.437, ubuntu22-b, mtd-zk-1, 0.688122
EXP-LOAD, 2023-07-19T14:43:35.550, ubuntu22-b, mtd-zk-1, 0.692204
