EXP-LOAD, 2023-07-19T15:44:07.281, ubuntu22-b, mtd-zk-0, 0.572831
EXP-LOAD, 2023-07-19T15:44:18.782, ubuntu22-b, mtd-zk-0, 0.572831
EXP-LOAD, 2023-07-19T15:44:28.903, ubuntu22-b, mtd-zk-0, 0.660292
EXP-LOAD, 2023-07-19T15:44:38.166, ubuntu22-b, mtd-zk-0, 0.650223
EXP-LEAD, 2023-07-19T15:44:39.319, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:44:45.816, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:44:46.922, ubuntu22-b, mtd-zk-0, 0.650223
EXP-LOAD, 2023-07-19T15:44:55.599, ubuntu22-b, mtd-zk-0, 0.704510
EXP-LEAD, 2023-07-19T15:44:57.769, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:45:02.854, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:45:03.994, ubuntu22-b, mtd-zk-0, 0.704510
EXP-LOAD, 2023-07-19T15:45:13.059, ubuntu22-b, mtd-zk-0, 0.633608
EXP-LOAD, 2023-07-19T15:45:23.271, ubuntu22-b, mtd-zk-0, 0.696809
EXP-LEAD, 2023-07-19T15:45:24.684, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:45:29.525, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:45:30.593, ubuntu22-b, mtd-zk-0, 0.696809
EXP-LOAD, 2023-07-19T15:45:42.049, ubuntu22-b, mtd-zk-0, 0.724412
EXP-LOAD, 2023-07-19T15:45:50.221, ubuntu22-b, mtd-zk-0, 0.684328
EXP-LOAD, 2023-07-19T15:46:00.400, ubuntu22-b, mtd-zk-0, 0.684328
EXP-LOAD, 2023-07-19T15:46:11.746, ubuntu22-b, mtd-zk-0, 0.685815
EXP-LEAD, 2023-07-19T15:46:13.757, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:46:19.550, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:46:20.634, ubuntu22-b, mtd-zk-0, 0.751011
EXP-LOAD, 2023-07-19T15:46:28.862, ubuntu22-b, mtd-zk-0, 0.751011
EXP-LOAD, 2023-07-19T15:46:37.056, ubuntu22-b, mtd-zk-0, 0.600188
EXP-LOAD, 2023-07-19T15:46:44.189, ubuntu22-b, mtd-zk-0, 0.600188
EXP-LOAD, 2023-07-19T15:46:53.362, ubuntu22-b, mtd-zk-0, 0.633405
EXP-LOAD, 2023-07-19T15:47:04.536, ubuntu22-b, mtd-zk-0, 0.603814
EXP-LOAD, 2023-07-19T15:47:11.697, ubuntu22-b, mtd-zk-0, 0.603814
EXP-LOAD, 2023-07-19T15:47:22.858, ubuntu22-b, mtd-zk-0, 0.653834
EXP-LEAD, 2023-07-19T15:47:24.875, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:47:29.518, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:47:30.597, ubuntu22-b, mtd-zk-0, 0.653834
EXP-LOAD, 2023-07-19T15:47:40.138, ubuntu22-b, mtd-zk-0, 0.688438
EXP-LOAD, 2023-07-19T15:47:49.184, ubuntu22-b, mtd-zk-0, 0.704325
EXP-LOAD, 2023-07-19T15:47:59.345, ubuntu22-b, mtd-zk-0, 0.704325
EXP-LOAD, 2023-07-19T15:48:06.565, ubuntu22-b, mtd-zk-0, 0.699643
EXP-LOAD, 2023-07-19T15:48:15.692, ubuntu22-b, mtd-zk-0, 0.699643
EXP-LOAD, 2023-07-19T15:48:26.807, ubuntu22-b, mtd-zk-0, 0.664117
EXP-LOAD, 2023-07-19T15:48:34.972, ubuntu22-b, mtd-zk-0, 0.672236
EXP-LEAD, 2023-07-19T15:48:36.975, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:48:41.704, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T15:48:42.762, ubuntu22-b, mtd-zk-0, 0.672236
EXP-LOAD, 2023-07-19T15:48:49.027, ubuntu22-b, mtd-zk-0, 0.672236
EXP-LOAD, 2023-07-19T15:48:57.121, ubuntu22-b, mtd-zk-0, 0.694409
EXP-LOAD, 2023-07-19T15:49:05.213, ubuntu22-b, mtd-zk-0, 0.646005
EXP-LOAD, 2023-07-19T15:49:11.370, ubuntu22-b, mtd-zk-0, 0.646005
EXP-LOAD, 2023-07-19T15:49:21.977, ubuntu22-b, mtd-zk-0, 0.616589
EXP-LOAD, 2023-07-19T15:49:29.110, ubuntu22-b, mtd-zk-0, 0.616589
EXP-LOAD, 2023-07-19T15:49:40.235, ubuntu22-b, mtd-zk-0, 0.621854
EXP-LOAD, 2023-07-19T15:49:47.375, ubuntu22-b, mtd-zk-0, 0.621854
EXP-LEAD, 2023-07-19T15:49:48.418, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T15:49:53.222, ubuntu22-b, mtd-zk-0, END
