EXP-LOAD, 2023-07-20T09:34:40.294, ubuntu22-c, mtd-zk-0, 0.587607
EXP-LOAD, 2023-07-20T09:34:49.756, ubuntu22-c, mtd-zk-0, 0.641310
EXP-LOAD, 2023-07-20T09:34:59.994, ubuntu22-c, mtd-zk-0, 0.641310
EXP-LOAD, 2023-07-20T09:35:07.242, ubuntu22-c, mtd-zk-0, 0.669616
EXP-LOAD, 2023-07-20T09:35:16.553, ubuntu22-c, mtd-zk-0, 0.669616
EXP-LEAD, 2023-07-20T09:35:18.658, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:35:28.777, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:35:29.890, ubuntu22-c, mtd-zk-0, 0.648883
EXP-LEAD, 2023-07-20T09:35:30.955, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:35:35.959, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:35:37.053, ubuntu22-c, mtd-zk-0, 0.752007
EXP-LEAD, 2023-07-20T09:35:39.192, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:35:45.186, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:35:46.272, ubuntu22-c, mtd-zk-0, 0.752007
EXP-LOAD, 2023-07-20T09:35:55.702, ubuntu22-c, mtd-zk-0, 0.768318
EXP-LOAD, 2023-07-20T09:36:03.936, ubuntu22-c, mtd-zk-0, 0.768318
EXP-LEAD, 2023-07-20T09:36:06.060, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:36:13.991, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:36:15.124, ubuntu22-c, mtd-zk-0, 0.648826
EXP-LEAD, 2023-07-20T09:36:16.332, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:36:21.189, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:36:22.297, ubuntu22-c, mtd-zk-0, 0.704059
EXP-LOAD, 2023-07-20T09:36:31.548, ubuntu22-c, mtd-zk-0, 0.704059
EXP-LOAD, 2023-07-20T09:36:37.746, ubuntu22-c, mtd-zk-0, 0.685808
EXP-LEAD, 2023-07-20T09:36:39.839, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:36:47.583, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:36:48.686, ubuntu22-c, mtd-zk-0, 0.685808
EXP-LEAD, 2023-07-20T09:36:50.068, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:36:55.681, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:36:56.755, ubuntu22-c, mtd-zk-0, 0.681015
EXP-LEAD, 2023-07-20T09:36:58.217, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:37:04.092, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:37:05.193, ubuntu22-c, mtd-zk-0, 0.629804
EXP-LOAD, 2023-07-20T09:37:13.417, ubuntu22-c, mtd-zk-0, 0.629804
EXP-LOAD, 2023-07-20T09:37:22.093, ubuntu22-c, mtd-zk-0, 0.719124
EXP-LEAD, 2023-07-20T09:37:23.711, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:37:30.503, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:37:31.628, ubuntu22-c, mtd-zk-0, 0.719124
EXP-LOAD, 2023-07-20T09:37:39.894, ubuntu22-c, mtd-zk-0, 0.673008
EXP-LEAD, 2023-07-20T09:37:40.979, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:37:48.810, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:37:49.948, ubuntu22-c, mtd-zk-0, 0.660310
EXP-LEAD, 2023-07-20T09:37:51.073, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:37:56.934, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:37:58.012, ubuntu22-c, mtd-zk-0, 0.660310
EXP-LOAD, 2023-07-20T09:38:07.377, ubuntu22-c, mtd-zk-0, 0.747601
EXP-LOAD, 2023-07-20T09:38:15.523, ubuntu22-c, mtd-zk-0, 0.747601
