EXP-LOAD, 2023-07-20T09:34:40.267, ubuntu22-b, mtd-zk-1, 0.586813
EXP-LEAD, 2023-07-20T09:34:41.580, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:34:49.208, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:34:50.331, ubuntu22-b, mtd-zk-1, 0.753405
EXP-LEAD, 2023-07-20T09:34:51.802, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:34:58.920, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:35:00.044, ubuntu22-b, mtd-zk-1, 0.753405
EXP-LEAD, 2023-07-20T09:35:02.005, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:35:06.893, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:35:07.989, ubuntu22-b, mtd-zk-1, 0.730102
EXP-LEAD, 2023-07-20T09:35:09.185, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:35:15.240, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:35:16.351, ubuntu22-b, mtd-zk-1, 0.730102
EXP-LOAD, 2023-07-20T09:35:29.843, ubuntu22-b, mtd-zk-1, 0.680025
EXP-LOAD, 2023-07-20T09:35:37.035, ubuntu22-b, mtd-zk-1, 0.644676
EXP-LOAD, 2023-07-20T09:35:46.357, ubuntu22-b, mtd-zk-1, 0.644676
EXP-LOAD, 2023-07-20T09:35:54.629, ubuntu22-b, mtd-zk-1, 0.683806
EXP-LOAD, 2023-07-20T09:36:04.890, ubuntu22-b, mtd-zk-1, 0.623932
EXP-LOAD, 2023-07-20T09:36:15.138, ubuntu22-b, mtd-zk-1, 0.623932
EXP-LOAD, 2023-07-20T09:36:21.438, ubuntu22-b, mtd-zk-1, 0.671828
EXP-LOAD, 2023-07-20T09:36:30.551, ubuntu22-b, mtd-zk-1, 0.671828
EXP-LEAD, 2023-07-20T09:36:32.644, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:36:37.358, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:36:38.441, ubuntu22-b, mtd-zk-1, 0.730820
EXP-LOAD, 2023-07-20T09:36:47.966, ubuntu22-b, mtd-zk-1, 0.730820
EXP-LOAD, 2023-07-20T09:36:56.171, ubuntu22-b, mtd-zk-1, 0.710211
EXP-LOAD, 2023-07-20T09:37:04.336, ubuntu22-b, mtd-zk-1, 0.680312
EXP-LEAD, 2023-07-20T09:37:06.365, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:37:13.318, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:37:14.387, ubuntu22-b, mtd-zk-1, 0.680312
EXP-LOAD, 2023-07-20T09:37:22.546, ubuntu22-b, mtd-zk-1, 0.760415
EXP-LOAD, 2023-07-20T09:37:30.736, ubuntu22-b, mtd-zk-1, 0.760415
EXP-LOAD, 2023-07-20T09:37:38.977, ubuntu22-b, mtd-zk-1, 0.641222
EXP-LOAD, 2023-07-20T09:37:49.027, ubuntu22-b, mtd-zk-1, 0.641222
EXP-LOAD, 2023-07-20T09:37:57.188, ubuntu22-b, mtd-zk-1, 0.724306
EXP-LEAD, 2023-07-20T09:37:59.236, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:38:07.152, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:38:08.227, ubuntu22-b, mtd-zk-1, 0.671212
EXP-LEAD, 2023-07-20T09:38:09.401, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:38:15.096, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:38:16.166, ubuntu22-b, mtd-zk-1, 0.671212
EXP-LEAD, 2023-07-20T09:38:17.673, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:38:25.649, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:38:26.737, ubuntu22-b, mtd-zk-1, 0.693669
EXP-LEAD, 2023-07-20T09:38:28.817, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:38:34.426, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:38:35.492, ubuntu22-b, mtd-zk-1, 0.738006
EXP-LOAD, 2023-07-20T09:38:45.038, ubuntu22-b, mtd-zk-1, 0.738006
EXP-LOAD, 2023-07-20T09:38:58.187, ubuntu22-b, mtd-zk-1, 0.685824
EXP-LOAD, 2023-07-20T09:39:03.319, ubuntu22-b, mtd-zk-1, 0.685824
EXP-LEAD, 2023-07-20T09:39:05.381, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:39:13.259, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:39:14.349, ubuntu22-b, mtd-zk-1, 0.679605
EXP-LOAD, 2023-07-20T09:39:22.646, ubuntu22-b, mtd-zk-1, 0.705121
EXP-LOAD, 2023-07-20T09:39:31.799, ubuntu22-b, mtd-zk-1, 0.705121
EXP-LOAD, 2023-07-20T09:39:38.480, ubuntu22-b, mtd-zk-1, 0.653607
EXP-LOAD, 2023-07-20T09:39:46.625, ubuntu22-b, mtd-zk-1, 0.653607
EXP-LOAD, 2023-07-20T09:39:54.481, ubuntu22-b, mtd-zk-1, 0.684020
EXP-LOAD, 2023-07-20T09:40:02.630, ubuntu22-b, mtd-zk-1, 0.684020
EXP-LOAD, 2023-07-20T09:40:10.776, ubuntu22-b, mtd-zk-1, 0.646804
EXP-LOAD, 2023-07-20T09:40:23.695, ubuntu22-b, mtd-zk-1, 0.653822
EXP-LOAD, 2023-07-20T09:40:30.912, ubuntu22-b, mtd-zk-1, 0.653822
EXP-LOAD, 2023-07-20T09:40:41.027, ubuntu22-b, mtd-zk-1, 0.658848
EXP-LOAD, 2023-07-20T09:40:49.168, ubuntu22-b, mtd-zk-1, 0.704315
EXP-LOAD, 2023-07-20T09:40:59.270, ubuntu22-b, mtd-zk-1, 0.704315
EXP-LEAD, 2023-07-20T09:41:00.791, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:41:06.408, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:41:07.576, ubuntu22-b, mtd-zk-1, 0.729205
EXP-LOAD, 2023-07-20T09:41:17.022, ubuntu22-b, mtd-zk-1, 0.729205
EXP-LEAD, 2023-07-20T09:41:19.116, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:41:24.694, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:41:25.745, ubuntu22-b, mtd-zk-1, 0.685706
EXP-LOAD, 2023-07-20T09:41:38.250, ubuntu22-b, mtd-zk-1, 0.695209
EXP-LOAD, 2023-07-20T09:41:45.422, ubuntu22-b, mtd-zk-1, 0.695209
EXP-LOAD, 2023-07-20T09:41:55.540, ubuntu22-b, mtd-zk-1, 0.651528
EXP-LOAD, 2023-07-20T09:42:03.810, ubuntu22-b, mtd-zk-1, 0.651528
EXP-LEAD, 2023-07-20T09:42:05.801, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:42:13.472, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:42:14.618, ubuntu22-b, mtd-zk-1, 0.791235
EXP-LEAD, 2023-07-20T09:42:15.957, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:42:21.603, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:42:22.650, ubuntu22-b, mtd-zk-1, 0.714512
EXP-LOAD, 2023-07-20T09:42:32.185, ubuntu22-b, mtd-zk-1, 0.714512
EXP-LOAD, 2023-07-20T09:42:39.261, ubuntu22-b, mtd-zk-1, 0.689612
EXP-LOAD, 2023-07-20T09:42:47.950, ubuntu22-b, mtd-zk-1, 0.689612
EXP-LOAD, 2023-07-20T09:42:54.090, ubuntu22-b, mtd-zk-1, 0.676233
EXP-LEAD, 2023-07-20T09:42:55.918, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:43:04.792, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:43:05.854, ubuntu22-b, mtd-zk-1, 0.815824
EXP-LEAD, 2023-07-20T09:43:07.006, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:43:12.628, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-20T09:43:13.680, ubuntu22-b, mtd-zk-1, 0.815824
EXP-LEAD, 2023-07-20T09:43:15.126, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-20T09:43:20.979, ubuntu22-b, mtd-zk-1, END
