EXP-LOAD, 2023-07-20T11:40:18.230, ubuntu22-b, mtd-zk-0, 0.571006
EXP-LOAD, 2023-07-20T11:40:27.871, ubuntu22-b, mtd-zk-0, 0.586713
EXP-LEAD, 2023-07-20T11:40:29.861, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:40:38.702, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:40:39.804, ubuntu22-b, mtd-zk-0, 0.718427
EXP-LEAD, 2023-07-20T11:40:41.084, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:40:46.143, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:40:47.218, ubuntu22-b, mtd-zk-0, 0.718427
EXP-LOAD, 2023-07-20T11:40:55.654, ubuntu22-b, mtd-zk-0, 0.749706
EXP-LEAD, 2023-07-20T11:40:57.859, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:41:05.917, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:41:07.044, ubuntu22-b, mtd-zk-0, 0.680805
EXP-LOAD, 2023-07-20T11:41:14.986, ubuntu22-b, mtd-zk-0, 0.680805
EXP-LEAD, 2023-07-20T11:41:17.040, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:41:23.018, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:41:23.169, ubuntu22-b, mtd-zk-0, 0.706328
EXP-LEAD, 2023-07-20T11:41:25.258, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:41:33.038, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:41:34.090, ubuntu22-b, mtd-zk-0, 0.775217
EXP-LEAD, 2023-07-20T11:41:35.515, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:41:40.189, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:41:41.267, ubuntu22-b, mtd-zk-0, 0.775217
EXP-LOAD, 2023-07-20T11:41:53.787, ubuntu22-b, mtd-zk-0, 0.686807
EXP-LEAD, 2023-07-20T11:41:55.811, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:42:01.620, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:42:02.718, ubuntu22-b, mtd-zk-0, 0.686807
EXP-LEAD, 2023-07-20T11:42:04.041, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:42:09.694, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:42:10.756, ubuntu22-b, mtd-zk-0, 0.625278
EXP-LOAD, 2023-07-20T11:42:20.263, ubuntu22-b, mtd-zk-0, 0.682312
EXP-LOAD, 2023-07-20T11:42:27.522, ubuntu22-b, mtd-zk-0, 0.682312
EXP-LOAD, 2023-07-20T11:42:35.629, ubuntu22-b, mtd-zk-0, 0.781604
EXP-LEAD, 2023-07-20T11:42:37.699, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:42:42.394, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:42:43.479, ubuntu22-b, mtd-zk-0, 0.781604
EXP-LOAD, 2023-07-20T11:42:53.934, ubuntu22-b, mtd-zk-0, 0.703111
EXP-LOAD, 2023-07-20T11:43:02.123, ubuntu22-b, mtd-zk-0, 0.703111
EXP-LEAD, 2023-07-20T11:43:03.271, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:43:07.945, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:43:09.023, ubuntu22-b, mtd-zk-0, 0.637240
EXP-LEAD, 2023-07-20T11:43:11.411, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:43:19.311, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:43:20.366, ubuntu22-b, mtd-zk-0, 0.705018
EXP-LEAD, 2023-07-20T11:43:22.557, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:43:28.220, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:43:29.281, ubuntu22-b, mtd-zk-0, 0.705018
EXP-LOAD, 2023-07-20T11:43:37.832, ubuntu22-b, mtd-zk-0, 0.662046
EXP-LEAD, 2023-07-20T11:43:38.873, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:43:46.700, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:43:47.754, ubuntu22-b, mtd-zk-0, 0.662046
EXP-LOAD, 2023-07-20T11:43:55.091, ubuntu22-b, mtd-zk-0, 0.678817
EXP-LOAD, 2023-07-20T11:44:06.244, ubuntu22-b, mtd-zk-0, 0.596402
EXP-LOAD, 2023-07-20T11:44:12.419, ubuntu22-b, mtd-zk-0, 0.596402
EXP-LOAD, 2023-07-20T11:44:24.669, ubuntu22-b, mtd-zk-0, 0.713011
EXP-LOAD, 2023-07-20T11:44:33.772, ubuntu22-b, mtd-zk-0, 0.713011
EXP-LOAD, 2023-07-20T11:44:43.885, ubuntu22-b, mtd-zk-0, 0.708021
EXP-LOAD, 2023-07-20T11:44:51.725, ubuntu22-b, mtd-zk-0, 0.656391
EXP-LOAD, 2023-07-20T11:45:01.867, ubuntu22-b, mtd-zk-0, 0.656391
EXP-LOAD, 2023-07-20T11:45:10.056, ubuntu22-b, mtd-zk-0, 0.690221
EXP-LOAD, 2023-07-20T11:45:23.315, ubuntu22-b, mtd-zk-0, 0.687035
EXP-LOAD, 2023-07-20T11:45:32.452, ubuntu22-b, mtd-zk-0, 0.687035
EXP-LOAD, 2023-07-20T11:45:39.623, ubuntu22-b, mtd-zk-0, 0.657620
EXP-LOAD, 2023-07-20T11:45:52.681, ubuntu22-b, mtd-zk-0, 0.661308
EXP-LOAD, 2023-07-20T11:45:58.825, ubuntu22-b, mtd-zk-0, 0.661308
EXP-LOAD, 2023-07-20T11:46:11.124, ubuntu22-b, mtd-zk-0, 0.617417
EXP-LOAD, 2023-07-20T11:46:18.059, ubuntu22-b, mtd-zk-0, 0.617417
EXP-LOAD, 2023-07-20T11:46:26.214, ubuntu22-b, mtd-zk-0, 0.736206
EXP-LOAD, 2023-07-20T11:46:32.261, ubuntu22-b, mtd-zk-0, 0.736206
EXP-LOAD, 2023-07-20T11:46:42.409, ubuntu22-b, mtd-zk-0, 0.704824
EXP-LOAD, 2023-07-20T11:46:51.611, ubuntu22-b, mtd-zk-0, 0.701809
EXP-LEAD, 2023-07-20T11:46:53.088, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:47:00.892, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:47:01.944, ubuntu22-b, mtd-zk-0, 0.701809
EXP-LOAD, 2023-07-20T11:47:09.308, ubuntu22-b, mtd-zk-0, 0.665935
EXP-LOAD, 2023-07-20T11:47:18.455, ubuntu22-b, mtd-zk-0, 0.665935
EXP-LEAD, 2023-07-20T11:47:20.380, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:47:24.912, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:47:25.999, ubuntu22-b, mtd-zk-0, 0.658805
EXP-LEAD, 2023-07-20T11:47:27.518, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:47:36.306, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:47:37.397, ubuntu22-b, mtd-zk-0, 0.748830
EXP-LOAD, 2023-07-20T11:47:45.522, ubuntu22-b, mtd-zk-0, 0.748830
EXP-LOAD, 2023-07-20T11:47:54.709, ubuntu22-b, mtd-zk-0, 0.670415
EXP-LOAD, 2023-07-20T11:48:02.763, ubuntu22-b, mtd-zk-0, 0.670415
EXP-LOAD, 2023-07-20T11:48:12.901, ubuntu22-b, mtd-zk-0, 0.676911
EXP-LEAD, 2023-07-20T11:48:13.932, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:48:19.698, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:48:20.771, ubuntu22-b, mtd-zk-0, 0.701611
EXP-LEAD, 2023-07-20T11:48:22.052, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:48:31.786, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:48:32.890, ubuntu22-b, mtd-zk-0, 0.701611
EXP-LOAD, 2023-07-20T11:48:41.230, ubuntu22-b, mtd-zk-0, 0.732210
EXP-LOAD, 2023-07-20T11:48:48.365, ubuntu22-b, mtd-zk-0, 0.732210
EXP-LOAD, 2023-07-20T11:48:55.995, ubuntu22-b, mtd-zk-0, 0.634007
EXP-LOAD, 2023-07-20T11:49:07.133, ubuntu22-b, mtd-zk-0, 0.656595
EXP-LOAD, 2023-07-20T11:49:14.253, ubuntu22-b, mtd-zk-0, 0.656595
EXP-LOAD, 2023-07-20T11:49:26.415, ubuntu22-b, mtd-zk-0, 0.642809
EXP-LOAD, 2023-07-20T11:49:35.184, ubuntu22-b, mtd-zk-0, 0.704414
EXP-LOAD, 2023-07-20T11:49:46.350, ubuntu22-b, mtd-zk-0, 0.704414
EXP-LOAD, 2023-07-20T11:49:53.457, ubuntu22-b, mtd-zk-0, 0.678404
EXP-LOAD, 2023-07-20T11:50:02.285, ubuntu22-b, mtd-zk-0, 0.678404
EXP-LOAD, 2023-07-20T11:50:13.518, ubuntu22-b, mtd-zk-0, 0.642338
EXP-LOAD, 2023-07-20T11:50:21.576, ubuntu22-b, mtd-zk-0, 0.710811
EXP-LOAD, 2023-07-20T11:50:29.262, ubuntu22-b, mtd-zk-0, 0.710811
EXP-LOAD, 2023-07-20T11:50:36.428, ubuntu22-b, mtd-zk-0, 0.682404
EXP-LOAD, 2023-07-20T11:50:47.526, ubuntu22-b, mtd-zk-0, 0.682404
EXP-LOAD, 2023-07-20T11:50:55.442, ubuntu22-b, mtd-zk-0, 0.689213
EXP-LEAD, 2023-07-20T11:50:56.970, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:02.615, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:03.681, ubuntu22-b, mtd-zk-0, 0.689213
EXP-LEAD, 2023-07-20T11:51:04.056, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:08.622, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:09.662, ubuntu22-b, mtd-zk-0, 0.662012
EXP-LEAD, 2023-07-20T11:51:12.176, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:20.896, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:21.950, ubuntu22-b, mtd-zk-0, 0.654406
EXP-LEAD, 2023-07-20T11:51:22.315, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:27.068, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:28.113, ubuntu22-b, mtd-zk-0, 0.654406
EXP-LEAD, 2023-07-20T11:51:28.148, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:33.670, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:34.721, ubuntu22-b, mtd-zk-0, 0.718817
EXP-LEAD, 2023-07-20T11:51:36.290, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:51:45.020, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:51:46.076, ubuntu22-b, mtd-zk-0, 0.718817
EXP-LOAD, 2023-07-20T11:51:53.435, ubuntu22-b, mtd-zk-0, 0.698411
EXP-LOAD, 2023-07-20T11:52:00.604, ubuntu22-b, mtd-zk-0, 0.698411
EXP-LOAD, 2023-07-20T11:52:08.717, ubuntu22-b, mtd-zk-0, 0.672907
EXP-LOAD, 2023-07-20T11:52:17.798, ubuntu22-b, mtd-zk-0, 0.672907
EXP-LEAD, 2023-07-20T11:52:18.834, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:52:23.304, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:52:24.364, ubuntu22-b, mtd-zk-0, 0.655836
EXP-LOAD, 2023-07-20T11:52:34.072, ubuntu22-b, mtd-zk-0, 0.666621
EXP-LEAD, 2023-07-20T11:52:36.140, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:52:40.664, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:52:41.749, ubuntu22-b, mtd-zk-0, 0.666621
EXP-LEAD, 2023-07-20T11:52:43.231, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:52:51.001, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:52:52.077, ubuntu22-b, mtd-zk-0, 0.686003
EXP-LEAD, 2023-07-20T11:52:52.330, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:52:56.896, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:52:57.950, ubuntu22-b, mtd-zk-0, 0.686003
EXP-LEAD, 2023-07-20T11:52:58.479, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:53:07.204, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:53:08.252, ubuntu22-b, mtd-zk-0, 0.698210
EXP-LOAD, 2023-07-20T11:53:16.661, ubuntu22-b, mtd-zk-0, 0.698210
EXP-LOAD, 2023-07-20T11:53:22.791, ubuntu22-b, mtd-zk-0, 0.638006
EXP-LOAD, 2023-07-20T11:53:34.929, ubuntu22-b, mtd-zk-0, 0.705825
EXP-LOAD, 2023-07-20T11:53:43.036, ubuntu22-b, mtd-zk-0, 0.705825
EXP-LOAD, 2023-07-20T11:53:54.143, ubuntu22-b, mtd-zk-0, 0.647605
EXP-LOAD, 2023-07-20T11:54:02.332, ubuntu22-b, mtd-zk-0, 0.647605
EXP-LEAD, 2023-07-20T11:54:03.392, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:54:09.087, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:54:10.225, ubuntu22-b, mtd-zk-0, 0.701715
EXP-LOAD, 2023-07-20T11:54:20.595, ubuntu22-b, mtd-zk-0, 0.685639
EXP-LOAD, 2023-07-20T11:54:28.753, ubuntu22-b, mtd-zk-0, 0.685639
EXP-LOAD, 2023-07-20T11:54:36.905, ubuntu22-b, mtd-zk-0, 0.701728
EXP-LOAD, 2023-07-20T11:54:45.027, ubuntu22-b, mtd-zk-0, 0.701728
EXP-LOAD, 2023-07-20T11:54:56.114, ubuntu22-b, mtd-zk-0, 0.699011
EXP-LEAD, 2023-07-20T11:54:57.161, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:55:01.791, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:55:02.882, ubuntu22-b, mtd-zk-0, 0.699011
EXP-LOAD, 2023-07-20T11:55:15.111, ubuntu22-b, mtd-zk-0, 0.672810
EXP-LOAD, 2023-07-20T11:55:24.085, ubuntu22-b, mtd-zk-0, 0.626010
EXP-LOAD, 2023-07-20T11:55:31.223, ubuntu22-b, mtd-zk-0, 0.626010
EXP-LOAD, 2023-07-20T11:55:43.317, ubuntu22-b, mtd-zk-0, 0.695213
EXP-LEAD, 2023-07-20T11:55:44.380, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:55:48.887, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:55:49.943, ubuntu22-b, mtd-zk-0, 0.704040
EXP-LOAD, 2023-07-20T11:56:00.515, ubuntu22-b, mtd-zk-0, 0.704040
EXP-LOAD, 2023-07-20T11:56:06.619, ubuntu22-b, mtd-zk-0, 0.672916
EXP-LEAD, 2023-07-20T11:56:09.636, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:56:16.178, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:56:17.247, ubuntu22-b, mtd-zk-0, 0.672916
EXP-LOAD, 2023-07-20T11:56:23.825, ubuntu22-b, mtd-zk-0, 0.691620
EXP-LEAD, 2023-07-20T11:56:24.901, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:56:30.525, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:56:31.584, ubuntu22-b, mtd-zk-0, 0.691620
EXP-LEAD, 2023-07-20T11:56:33.066, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:56:41.704, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:56:42.764, ubuntu22-b, mtd-zk-0, 0.675108
EXP-LOAD, 2023-07-20T11:56:50.258, ubuntu22-b, mtd-zk-0, 0.739006
EXP-LEAD, 2023-07-20T11:56:52.302, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:57:01.043, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:57:02.132, ubuntu22-b, mtd-zk-0, 0.739006
EXP-LOAD, 2023-07-20T11:57:08.516, ubuntu22-b, mtd-zk-0, 0.693433
EXP-LOAD, 2023-07-20T11:57:18.656, ubuntu22-b, mtd-zk-0, 0.693433
EXP-LOAD, 2023-07-20T11:57:26.743, ubuntu22-b, mtd-zk-0, 0.735425
EXP-LOAD, 2023-07-20T11:57:34.948, ubuntu22-b, mtd-zk-0, 0.618960
EXP-LEAD, 2023-07-20T11:57:37.947, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:57:45.585, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:57:46.645, ubuntu22-b, mtd-zk-0, 0.618960
EXP-LOAD, 2023-07-20T11:57:54.808, ubuntu22-b, mtd-zk-0, 0.719809
EXP-LEAD, 2023-07-20T11:57:54.874, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:57:59.431, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:00.473, ubuntu22-b, mtd-zk-0, 0.719809
EXP-LEAD, 2023-07-20T11:58:00.979, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:58:09.951, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:11.022, ubuntu22-b, mtd-zk-0, 0.642611
EXP-LEAD, 2023-07-20T11:58:12.079, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:58:17.599, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:18.651, ubuntu22-b, mtd-zk-0, 0.642611
EXP-LOAD, 2023-07-20T11:58:27.302, ubuntu22-b, mtd-zk-0, 0.681204
EXP-LEAD, 2023-07-20T11:58:29.332, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:58:37.023, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:38.101, ubuntu22-b, mtd-zk-0, 0.658217
EXP-LEAD, 2023-07-20T11:58:39.422, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:58:44.918, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:45.952, ubuntu22-b, mtd-zk-0, 0.658217
EXP-LEAD, 2023-07-20T11:58:46.539, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:58:53.330, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:58:54.383, ubuntu22-b, mtd-zk-0, 0.653525
EXP-LEAD, 2023-07-20T11:58:56.677, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:59:05.365, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:59:06.429, ubuntu22-b, mtd-zk-0, 0.715808
EXP-LEAD, 2023-07-20T11:59:06.777, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:59:12.754, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:59:13.830, ubuntu22-b, mtd-zk-0, 0.715808
EXP-LOAD, 2023-07-20T11:59:21.032, ubuntu22-b, mtd-zk-0, 0.658005
EXP-LOAD, 2023-07-20T11:59:32.098, ubuntu22-b, mtd-zk-0, 0.658005
EXP-LOAD, 2023-07-20T11:59:39.194, ubuntu22-b, mtd-zk-0, 0.698209
EXP-LEAD, 2023-07-20T11:59:42.268, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T11:59:49.916, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T11:59:50.963, ubuntu22-b, mtd-zk-0, 0.705907
EXP-LOAD, 2023-07-20T11:59:57.454, ubuntu22-b, mtd-zk-0, 0.705907
EXP-LOAD, 2023-07-20T12:00:06.536, ubuntu22-b, mtd-zk-0, 0.672386
EXP-LOAD, 2023-07-20T12:00:12.671, ubuntu22-b, mtd-zk-0, 0.672386
EXP-LOAD, 2023-07-20T12:00:24.828, ubuntu22-b, mtd-zk-0, 0.743614
EXP-LOAD, 2023-07-20T12:00:32.925, ubuntu22-b, mtd-zk-0, 0.743614
EXP-LOAD, 2023-07-20T12:00:39.627, ubuntu22-b, mtd-zk-0, 0.702023
EXP-LEAD, 2023-07-20T12:00:41.662, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:00:50.153, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:00:51.199, ubuntu22-b, mtd-zk-0, 0.676836
EXP-LOAD, 2023-07-20T12:00:57.838, ubuntu22-b, mtd-zk-0, 0.676836
EXP-LOAD, 2023-07-20T12:01:08.951, ubuntu22-b, mtd-zk-0, 0.702005
EXP-LEAD, 2023-07-20T12:01:11.011, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:01:15.470, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:01:16.545, ubuntu22-b, mtd-zk-0, 0.702005
EXP-LOAD, 2023-07-20T12:01:25.274, ubuntu22-b, mtd-zk-0, 0.689108
EXP-LOAD, 2023-07-20T12:01:36.918, ubuntu22-b, mtd-zk-0, 0.679625
EXP-LOAD, 2023-07-20T12:01:43.954, ubuntu22-b, mtd-zk-0, 0.679625
EXP-LEAD, 2023-07-20T12:01:45.993, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:01:53.567, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:01:54.632, ubuntu22-b, mtd-zk-0, 0.696915
EXP-LEAD, 2023-07-20T12:01:56.077, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:02:02.701, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:02:03.764, ubuntu22-b, mtd-zk-0, 0.696915
EXP-LEAD, 2023-07-20T12:02:04.185, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:02:12.916, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:02:13.956, ubuntu22-b, mtd-zk-0, 0.681475
EXP-LEAD, 2023-07-20T12:02:14.314, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:02:18.940, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:02:20.022, ubuntu22-b, mtd-zk-0, 0.715314
EXP-LOAD, 2023-07-20T12:02:28.466, ubuntu22-b, mtd-zk-0, 0.715314
EXP-LEAD, 2023-07-20T12:02:30.515, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:02:39.119, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-20T12:02:40.166, ubuntu22-b, mtd-zk-0, 0.655607
EXP-LOAD, 2023-07-20T12:02:48.233, ubuntu22-b, mtd-zk-0, 0.655607
EXP-LOAD, 2023-07-20T12:02:56.365, ubuntu22-b, mtd-zk-0, 0.663420
EXP-LEAD, 2023-07-20T12:02:57.931, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-20T12:03:03.521, ubuntu22-b, mtd-zk-0, END
