EXP-LOAD, 2023-07-21T15:51:35.548, ubuntu22-b, mtd-zk-0, 0.590209
EXP-LOAD, 2023-07-21T15:51:44.444, ubuntu22-b, mtd-zk-0, 0.579810
EXP-LEAD, 2023-07-21T15:51:46.356, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:51:54.225, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:51:55.369, ubuntu22-b, mtd-zk-0, 0.748605
EXP-LOAD, 2023-07-21T15:52:08.608, ubuntu22-b, mtd-zk-0, 0.715316
EXP-LOAD, 2023-07-21T15:52:17.840, ubuntu22-b, mtd-zk-0, 0.715316
EXP-LOAD, 2023-07-21T15:52:27.408, ubuntu22-b, mtd-zk-0, 0.658610
EXP-LEAD, 2023-07-21T15:52:29.435, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:52:38.502, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:52:39.582, ubuntu22-b, mtd-zk-0, 0.630293
EXP-LEAD, 2023-07-21T15:52:39.715, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:52:45.597, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:52:46.667, ubuntu22-b, mtd-zk-0, 0.630293
EXP-LEAD, 2023-07-21T15:52:46.962, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:52:51.764, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:52:52.873, ubuntu22-b, mtd-zk-0, 0.714222
EXP-LOAD, 2023-07-21T15:53:03.296, ubuntu22-b, mtd-zk-0, 0.714222
EXP-LOAD, 2023-07-21T15:53:10.494, ubuntu22-b, mtd-zk-0, 0.684312
EXP-LOAD, 2023-07-21T15:53:19.690, ubuntu22-b, mtd-zk-0, 0.710009
EXP-LOAD, 2023-07-21T15:53:29.955, ubuntu22-b, mtd-zk-0, 0.710009
EXP-LOAD, 2023-07-21T15:53:37.132, ubuntu22-b, mtd-zk-0, 0.707715
EXP-LOAD, 2023-07-21T15:53:46.382, ubuntu22-b, mtd-zk-0, 0.707715
EXP-LOAD, 2023-07-21T15:53:56.596, ubuntu22-b, mtd-zk-0, 0.688614
EXP-LEAD, 2023-07-21T15:53:59.104, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:54:04.834, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:54:05.953, ubuntu22-b, mtd-zk-0, 0.689019
EXP-LOAD, 2023-07-21T15:54:16.035, ubuntu22-b, mtd-zk-0, 0.689019
EXP-LOAD, 2023-07-21T15:54:23.169, ubuntu22-b, mtd-zk-0, 0.777817
EXP-LOAD, 2023-07-21T15:54:31.320, ubuntu22-b, mtd-zk-0, 0.777817
EXP-LOAD, 2023-07-21T15:54:42.648, ubuntu22-b, mtd-zk-0, 0.705531
EXP-LOAD, 2023-07-21T15:54:53.814, ubuntu22-b, mtd-zk-0, 0.622564
EXP-LEAD, 2023-07-21T15:54:55.832, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:55:03.585, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:55:04.640, ubuntu22-b, mtd-zk-0, 0.675908
EXP-LOAD, 2023-07-21T15:55:12.143, ubuntu22-b, mtd-zk-0, 0.675908
EXP-LOAD, 2023-07-21T15:55:22.224, ubuntu22-b, mtd-zk-0, 0.664079
EXP-LEAD, 2023-07-21T15:55:23.285, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:55:27.904, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:55:28.969, ubuntu22-b, mtd-zk-0, 0.664079
EXP-LEAD, 2023-07-21T15:55:31.509, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:55:38.420, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:55:39.473, ubuntu22-b, mtd-zk-0, 0.651407
EXP-LEAD, 2023-07-21T15:55:41.738, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:55:47.388, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:55:48.454, ubuntu22-b, mtd-zk-0, 0.651407
EXP-LEAD, 2023-07-21T15:55:49.910, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:55:55.828, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:55:56.913, ubuntu22-b, mtd-zk-0, 0.716222
EXP-LOAD, 2023-07-21T15:56:06.239, ubuntu22-b, mtd-zk-0, 0.669249
EXP-LEAD, 2023-07-21T15:56:09.281, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:56:14.868, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:56:15.939, ubuntu22-b, mtd-zk-0, 0.669249
EXP-LEAD, 2023-07-21T15:56:17.668, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:56:25.584, ubuntu22-b, mtd-zk-0, END
