EXP-LOAD, 2023-07-21T16:54:18.111, ubuntu22-c, mtd-zk-0, 0.569010
EXP-LOAD, 2023-07-21T16:54:28.604, ubuntu22-c, mtd-zk-0, 0.563609
EXP-LOAD, 2023-07-21T16:54:40.907, ubuntu22-c, mtd-zk-0, 0.727607
EXP-LOAD, 2023-07-21T16:54:52.196, ubuntu22-c, mtd-zk-0, 0.626823
EXP-LOAD, 2023-07-21T16:55:00.535, ubuntu22-c, mtd-zk-0, 0.626823
EXP-LOAD, 2023-07-21T16:55:08.807, ubuntu22-c, mtd-zk-0, 0.654522
EXP-LEAD, 2023-07-21T16:55:10.804, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:55:21.509, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:55:22.651, ubuntu22-c, mtd-zk-0, 0.781204
EXP-LOAD, 2023-07-21T16:55:31.259, ubuntu22-c, mtd-zk-0, 0.781204
EXP-LOAD, 2023-07-21T16:55:41.574, ubuntu22-c, mtd-zk-0, 0.628403
EXP-LEAD, 2023-07-21T16:55:43.692, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:55:49.798, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:55:51.047, ubuntu22-c, mtd-zk-0, 0.606209
EXP-LEAD, 2023-07-21T16:55:53.051, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:55:59.976, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:56:01.048, ubuntu22-c, mtd-zk-0, 0.606209
EXP-LEAD, 2023-07-21T16:56:02.188, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:56:08.118, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:56:09.312, ubuntu22-c, mtd-zk-0, 0.694717
EXP-LOAD, 2023-07-21T16:56:16.576, ubuntu22-c, mtd-zk-0, 0.694717
EXP-LEAD, 2023-07-21T16:56:18.612, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:56:27.519, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:56:28.689, ubuntu22-c, mtd-zk-0, 0.709005
EXP-LOAD, 2023-07-21T16:56:36.010, ubuntu22-c, mtd-zk-0, 0.625922
EXP-LOAD, 2023-07-21T16:56:46.134, ubuntu22-c, mtd-zk-0, 0.625922
EXP-LEAD, 2023-07-21T16:56:48.556, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:56:54.452, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:56:55.523, ubuntu22-c, mtd-zk-0, 0.631207
EXP-LEAD, 2023-07-21T16:56:57.407, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:57:04.189, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:57:05.304, ubuntu22-c, mtd-zk-0, 0.727703
EXP-LOAD, 2023-07-21T16:57:12.601, ubuntu22-c, mtd-zk-0, 0.727703
EXP-LOAD, 2023-07-21T16:57:19.768, ubuntu22-c, mtd-zk-0, 0.695829
EXP-LOAD, 2023-07-21T16:57:30.967, ubuntu22-c, mtd-zk-0, 0.695829
EXP-LOAD, 2023-07-21T16:57:40.155, ubuntu22-c, mtd-zk-0, 0.680633
EXP-LOAD, 2023-07-21T16:57:51.387, ubuntu22-c, mtd-zk-0, 0.694611
EXP-LOAD, 2023-07-21T16:57:58.520, ubuntu22-c, mtd-zk-0, 0.694611
EXP-LEAD, 2023-07-21T16:58:00.616, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:58:08.342, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:58:09.406, ubuntu22-c, mtd-zk-0, 0.622408
EXP-LEAD, 2023-07-21T16:58:10.902, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:58:16.610, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:58:17.653, ubuntu22-c, mtd-zk-0, 0.622408
EXP-LOAD, 2023-07-21T16:58:25.126, ubuntu22-c, mtd-zk-0, 0.723033
EXP-LOAD, 2023-07-21T16:58:33.256, ubuntu22-c, mtd-zk-0, 0.723033
EXP-LOAD, 2023-07-21T16:58:44.437, ubuntu22-c, mtd-zk-0, 0.641452
EXP-LOAD, 2023-07-21T16:58:54.511, ubuntu22-c, mtd-zk-0, 0.637834
EXP-LOAD, 2023-07-21T16:59:01.651, ubuntu22-c, mtd-zk-0, 0.637834
EXP-LOAD, 2023-07-21T16:59:09.853, ubuntu22-c, mtd-zk-0, 0.716441
EXP-LOAD, 2023-07-21T16:59:17.112, ubuntu22-c, mtd-zk-0, 0.716441
EXP-LOAD, 2023-07-21T16:59:24.210, ubuntu22-c, mtd-zk-0, 0.681504
EXP-LOAD, 2023-07-21T16:59:34.987, ubuntu22-c, mtd-zk-0, 0.715284
EXP-LOAD, 2023-07-21T16:59:44.201, ubuntu22-c, mtd-zk-0, 0.715284
EXP-LOAD, 2023-07-21T16:59:53.289, ubuntu22-c, mtd-zk-0, 0.633035
EXP-LOAD, 2023-07-21T17:00:02.392, ubuntu22-c, mtd-zk-0, 0.633035
EXP-LOAD, 2023-07-21T17:00:11.570, ubuntu22-c, mtd-zk-0, 0.679410
EXP-LOAD, 2023-07-21T17:00:19.707, ubuntu22-c, mtd-zk-0, 0.673331
EXP-LOAD, 2023-07-21T17:00:29.856, ubuntu22-c, mtd-zk-0, 0.673331
EXP-LOAD, 2023-07-21T17:00:39.057, ubuntu22-c, mtd-zk-0, 0.691806
EXP-LEAD, 2023-07-21T17:00:40.831, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:00:46.397, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:00:47.519, ubuntu22-c, mtd-zk-0, 0.691806
EXP-LEAD, 2023-07-21T17:00:48.988, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:00:54.963, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:00:56.143, ubuntu22-c, mtd-zk-0, 0.672733
EXP-LOAD, 2023-07-21T17:01:06.369, ubuntu22-c, mtd-zk-0, 0.762826
EXP-LOAD, 2023-07-21T17:01:15.427, ubuntu22-c, mtd-zk-0, 0.762826
EXP-LOAD, 2023-07-21T17:01:25.551, ubuntu22-c, mtd-zk-0, 0.621829
EXP-LOAD, 2023-07-21T17:01:33.740, ubuntu22-c, mtd-zk-0, 0.621829
EXP-LOAD, 2023-07-21T17:01:44.031, ubuntu22-c, mtd-zk-0, 0.632605
EXP-LEAD, 2023-07-21T17:01:45.865, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:01:51.646, ubuntu22-c, mtd-zk-0, END
