EXP-LOAD, 2023-07-21T18:59:27.832, ubuntu22-c, mtd-zk-0, 0.599405
EXP-LOAD, 2023-07-21T18:59:38.959, ubuntu22-c, mtd-zk-0, 0.654822
EXP-LEAD, 2023-07-21T18:59:41.094, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:59:49.946, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:59:51.135, ubuntu22-c, mtd-zk-0, 0.639213
EXP-LOAD, 2023-07-21T19:00:00.456, ubuntu22-c, mtd-zk-0, 0.639213
EXP-LOAD, 2023-07-21T19:00:11.401, ubuntu22-c, mtd-zk-0, 0.679006
EXP-LEAD, 2023-07-21T19:00:12.548, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:00:19.020, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:00:20.193, ubuntu22-c, mtd-zk-0, 0.669814
EXP-LEAD, 2023-07-21T19:00:21.742, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:00:30.928, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:00:32.046, ubuntu22-c, mtd-zk-0, 0.669814
EXP-LOAD, 2023-07-21T19:00:41.039, ubuntu22-c, mtd-zk-0, 0.736726
EXP-LOAD, 2023-07-21T19:00:48.257, ubuntu22-c, mtd-zk-0, 0.736726
EXP-LOAD, 2023-07-21T19:01:00.540, ubuntu22-c, mtd-zk-0, 0.660437
EXP-LOAD, 2023-07-21T19:01:08.770, ubuntu22-c, mtd-zk-0, 0.668314
EXP-LOAD, 2023-07-21T19:01:18.675, ubuntu22-c, mtd-zk-0, 0.668314
EXP-LEAD, 2023-07-21T19:01:19.780, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:01:28.646, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:01:29.775, ubuntu22-c, mtd-zk-0, 0.645627
EXP-LOAD, 2023-07-21T19:01:36.975, ubuntu22-c, mtd-zk-0, 0.697309
EXP-LOAD, 2023-07-21T19:01:46.931, ubuntu22-c, mtd-zk-0, 0.697309
EXP-LOAD, 2023-07-21T19:01:54.158, ubuntu22-c, mtd-zk-0, 0.656615
EXP-LOAD, 2023-07-21T19:02:03.505, ubuntu22-c, mtd-zk-0, 0.656615
EXP-LEAD, 2023-07-21T19:02:05.246, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:02:11.235, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:02:12.309, ubuntu22-c, mtd-zk-0, 0.899716
EXP-LOAD, 2023-07-21T19:02:22.535, ubuntu22-c, mtd-zk-0, 0.838415
EXP-LOAD, 2023-07-21T19:02:32.739, ubuntu22-c, mtd-zk-0, 0.838415
EXP-LOAD, 2023-07-21T19:02:40.883, ubuntu22-c, mtd-zk-0, 0.675513
EXP-LEAD, 2023-07-21T19:02:41.968, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:02:51.896, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:02:53.026, ubuntu22-c, mtd-zk-0, 0.663407
EXP-LOAD, 2023-07-21T19:03:00.354, ubuntu22-c, mtd-zk-0, 0.663407
EXP-LEAD, 2023-07-21T19:03:02.360, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:03:08.145, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:03:09.254, ubuntu22-c, mtd-zk-0, 0.680111
EXP-LEAD, 2023-07-21T19:03:10.548, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:03:19.384, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:03:20.499, ubuntu22-c, mtd-zk-0, 0.693619
EXP-LEAD, 2023-07-21T19:03:21.712, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:03:26.573, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:03:27.670, ubuntu22-c, mtd-zk-0, 0.693619
EXP-LOAD, 2023-07-21T19:03:39.960, ubuntu22-c, mtd-zk-0, 0.741412
EXP-LOAD, 2023-07-21T19:03:48.113, ubuntu22-c, mtd-zk-0, 0.741412
EXP-LOAD, 2023-07-21T19:04:00.223, ubuntu22-c, mtd-zk-0, 0.651660
EXP-LEAD, 2023-07-21T19:04:01.290, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:04:07.058, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:04:08.122, ubuntu22-c, mtd-zk-0, 0.651812
EXP-LEAD, 2023-07-21T19:04:09.472, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:04:15.190, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:04:16.279, ubuntu22-c, mtd-zk-0, 0.651812
EXP-LEAD, 2023-07-21T19:04:17.662, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:04:24.567, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:04:25.628, ubuntu22-c, mtd-zk-0, 0.686826
EXP-LOAD, 2023-07-21T19:04:32.944, ubuntu22-c, mtd-zk-0, 0.686826
EXP-LOAD, 2023-07-21T19:04:44.216, ubuntu22-c, mtd-zk-0, 0.816202
EXP-LOAD, 2023-07-21T19:04:52.363, ubuntu22-c, mtd-zk-0, 0.632008
EXP-LEAD, 2023-07-21T19:04:54.329, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:05:02.063, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:05:03.163, ubuntu22-c, mtd-zk-0, 0.632008
EXP-LEAD, 2023-07-21T19:05:04.521, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:05:10.280, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:05:11.340, ubuntu22-c, mtd-zk-0, 0.737006
EXP-LOAD, 2023-07-21T19:05:18.747, ubuntu22-c, mtd-zk-0, 0.737006
EXP-LEAD, 2023-07-21T19:05:20.767, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:05:30.467, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:05:31.568, ubuntu22-c, mtd-zk-0, 0.689115
EXP-LOAD, 2023-07-21T19:05:37.890, ubuntu22-c, mtd-zk-0, 0.748205
EXP-LOAD, 2023-07-21T19:05:47.084, ubuntu22-c, mtd-zk-0, 0.748205
EXP-LOAD, 2023-07-21T19:05:57.245, ubuntu22-c, mtd-zk-0, 0.649820
EXP-LOAD, 2023-07-21T19:06:05.410, ubuntu22-c, mtd-zk-0, 0.572734
EXP-LEAD, 2023-07-21T19:06:07.488, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:06:16.633, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:06:17.747, ubuntu22-c, mtd-zk-0, 0.572734
EXP-LEAD, 2023-07-21T19:06:19.683, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:06:25.276, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:06:26.464, ubuntu22-c, mtd-zk-0, 0.688021
EXP-LOAD, 2023-07-21T19:06:34.896, ubuntu22-c, mtd-zk-0, 0.765403
EXP-LEAD, 2023-07-21T19:06:36.937, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:06:42.532, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:06:43.590, ubuntu22-c, mtd-zk-0, 0.765403
EXP-LOAD, 2023-07-21T19:06:51.247, ubuntu22-c, mtd-zk-0, 0.690716
EXP-LOAD, 2023-07-21T19:07:02.341, ubuntu22-c, mtd-zk-0, 0.690716
EXP-LEAD, 2023-07-21T19:07:04.140, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:07:09.688, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:07:11.210, ubuntu22-c, mtd-zk-0, 0.651279
EXP-LOAD, 2023-07-21T19:07:19.394, ubuntu22-c, mtd-zk-0, 0.660405
EXP-LEAD, 2023-07-21T19:07:20.469, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:07:25.070, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T19:07:26.150, ubuntu22-c, mtd-zk-0, 0.660405
EXP-LOAD, 2023-07-21T19:07:34.283, ubuntu22-c, mtd-zk-0, 0.677211
EXP-LOAD, 2023-07-21T19:07:42.397, ubuntu22-c, mtd-zk-0, 0.677211
EXP-LOAD, 2023-07-21T19:07:52.507, ubuntu22-c, mtd-zk-0, 0.644111
EXP-LEAD, 2023-07-21T19:07:54.211, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T19:07:59.849, ubuntu22-c, mtd-zk-0, END
