EXP-LOAD, 2023-07-21T18:59:28.477, ubuntu22-b, mtd-zk-1, 0.586310
EXP-LEAD, 2023-07-21T18:59:29.809, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T18:59:37.590, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T18:59:38.748, ubuntu22-b, mtd-zk-1, 0.677408
EXP-LOAD, 2023-07-21T18:59:50.255, ubuntu22-b, mtd-zk-1, 0.692512
EXP-LOAD, 2023-07-21T19:00:00.548, ubuntu22-b, mtd-zk-1, 0.692512
EXP-LEAD, 2023-07-21T19:00:01.270, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T19:00:09.791, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T19:00:10.902, ubuntu22-b, mtd-zk-1, 0.668403
EXP-LOAD, 2023-07-21T19:00:19.626, ubuntu22-b, mtd-zk-1, 0.708582
EXP-LOAD, 2023-07-21T19:00:31.973, ubuntu22-b, mtd-zk-1, 0.708582
EXP-LOAD, 2023-07-21T19:00:40.095, ubuntu22-b, mtd-zk-1, 0.768418
EXP-LOAD, 2023-07-21T19:00:49.189, ubuntu22-b, mtd-zk-1, 0.678814
EXP-LOAD, 2023-07-21T19:01:01.460, ubuntu22-b, mtd-zk-1, 0.678814
EXP-LOAD, 2023-07-21T19:01:08.822, ubuntu22-b, mtd-zk-1, 0.667636
EXP-LOAD, 2023-07-21T19:01:17.755, ubuntu22-b, mtd-zk-1, 0.667636
EXP-LOAD, 2023-07-21T19:01:28.873, ubuntu22-b, mtd-zk-1, 0.671704
EXP-LOAD, 2023-07-21T19:01:36.968, ubuntu22-b, mtd-zk-1, 0.679413
EXP-LOAD, 2023-07-21T19:01:46.394, ubuntu22-b, mtd-zk-1, 0.679413
EXP-LOAD, 2023-07-21T19:01:55.106, ubuntu22-b, mtd-zk-1, 0.779608
EXP-LOAD, 2023-07-21T19:02:03.476, ubuntu22-b, mtd-zk-1, 0.779608
EXP-LOAD, 2023-07-21T19:02:13.185, ubuntu22-b, mtd-zk-1, 0.615204
EXP-LEAD, 2023-07-21T19:02:15.334, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T19:02:21.231, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T19:02:22.315, ubuntu22-b, mtd-zk-1, 0.667653
EXP-LEAD, 2023-07-21T19:02:23.607, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T19:02:31.625, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T19:02:32.687, ubuntu22-b, mtd-zk-1, 0.667653
EXP-LEAD, 2023-07-21T19:02:33.819, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-21T19:02:39.580, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-21T19:02:40.660, ubuntu22-b, mtd-zk-1, 0.712057
EXP-LOAD, 2023-07-21T19:02:52.121, ubuntu22-b, mtd-zk-1, 0.607294
EXP-LOAD, 2023-07-21T19:03:01.263, ubuntu22-b, mtd-zk-1, 0.607294
