EXP-LOAD, 2023-07-21T22:06:12.974, ubuntu22-b, mtd-zk-0, 0.574627
EXP-LOAD, 2023-07-21T22:06:23.772, ubuntu22-b, mtd-zk-0, 0.667813
EXP-LEAD, 2023-07-21T22:06:23.865, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:06:31.270, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:06:32.395, ubuntu22-b, mtd-zk-0, 0.667813
EXP-LEAD, 2023-07-21T22:06:32.524, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:06:39.653, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:06:40.749, ubuntu22-b, mtd-zk-0, 0.700806
EXP-LEAD, 2023-07-21T22:06:43.033, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:06:47.881, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:06:48.999, ubuntu22-b, mtd-zk-0, 0.700806
EXP-LOAD, 2023-07-21T22:06:59.568, ubuntu22-b, mtd-zk-0, 0.730614
EXP-LEAD, 2023-07-21T22:07:02.716, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:07:08.523, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:07:09.601, ubuntu22-b, mtd-zk-0, 0.709434
EXP-LEAD, 2023-07-21T22:07:10.034, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:07:18.060, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:07:19.178, ubuntu22-b, mtd-zk-0, 0.734021
EXP-LEAD, 2023-07-21T22:07:21.404, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:07:27.119, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:07:28.182, ubuntu22-b, mtd-zk-0, 0.734021
EXP-LOAD, 2023-07-21T22:07:36.330, ubuntu22-b, mtd-zk-0, 0.704614
EXP-LOAD, 2023-07-21T22:07:48.510, ubuntu22-b, mtd-zk-0, 0.704614
EXP-LOAD, 2023-07-21T22:07:56.675, ubuntu22-b, mtd-zk-0, 0.650311
EXP-LEAD, 2023-07-21T22:07:58.772, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:08:04.624, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:08:05.705, ubuntu22-b, mtd-zk-0, 0.625814
EXP-LOAD, 2023-07-21T22:08:17.092, ubuntu22-b, mtd-zk-0, 0.625814
EXP-LEAD, 2023-07-21T22:08:18.093, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:08:24.905, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:08:25.987, ubuntu22-b, mtd-zk-0, 0.703372
EXP-LEAD, 2023-07-21T22:08:27.339, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:08:35.632, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:08:36.742, ubuntu22-b, mtd-zk-0, 0.688007
EXP-LOAD, 2023-07-21T22:08:46.047, ubuntu22-b, mtd-zk-0, 0.688007
EXP-LEAD, 2023-07-21T22:08:47.152, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:08:53.031, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:08:54.119, ubuntu22-b, mtd-zk-0, 0.760931
EXP-LOAD, 2023-07-21T22:09:01.465, ubuntu22-b, mtd-zk-0, 0.760931
EXP-LOAD, 2023-07-21T22:09:10.592, ubuntu22-b, mtd-zk-0, 0.679606
EXP-LOAD, 2023-07-21T22:09:22.781, ubuntu22-b, mtd-zk-0, 0.690920
EXP-LOAD, 2023-07-21T22:09:31.042, ubuntu22-b, mtd-zk-0, 0.690920
EXP-LOAD, 2023-07-21T22:09:39.166, ubuntu22-b, mtd-zk-0, 0.680805
EXP-LEAD, 2023-07-21T22:09:42.183, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T22:09:49.921, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T22:09:51.001, ubuntu22-b, mtd-zk-0, 0.677372
