EXP-LOAD, 2023-07-21T22:06:13.315, ubuntu22-c, mtd-zk-1, 0.674214
EXP-LEAD, 2023-07-21T22:06:14.566, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:06:21.724, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:06:22.868, ubuntu22-c, mtd-zk-1, 0.646498
EXP-LOAD, 2023-07-21T22:06:32.013, ubuntu22-c, mtd-zk-1, 0.646498
EXP-LOAD, 2023-07-21T22:06:40.713, ubuntu22-c, mtd-zk-1, 0.770003
EXP-LOAD, 2023-07-21T22:06:49.250, ubuntu22-c, mtd-zk-1, 0.636908
EXP-LEAD, 2023-07-21T22:06:50.440, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:06:58.915, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:07:00.080, ubuntu22-c, mtd-zk-1, 0.636908
EXP-LOAD, 2023-07-21T22:07:08.950, ubuntu22-c, mtd-zk-1, 0.668802
EXP-LOAD, 2023-07-21T22:07:19.251, ubuntu22-c, mtd-zk-1, 0.674918
EXP-LOAD, 2023-07-21T22:07:27.408, ubuntu22-c, mtd-zk-1, 0.674918
EXP-LEAD, 2023-07-21T22:07:29.269, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:07:35.134, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:07:36.231, ubuntu22-c, mtd-zk-1, 0.727029
EXP-LOAD, 2023-07-21T22:07:47.613, ubuntu22-c, mtd-zk-1, 0.727029
EXP-LOAD, 2023-07-21T22:07:56.700, ubuntu22-c, mtd-zk-1, 0.666423
EXP-LOAD, 2023-07-21T22:08:04.956, ubuntu22-c, mtd-zk-1, 0.625025
EXP-LOAD, 2023-07-21T22:08:17.134, ubuntu22-c, mtd-zk-1, 0.625025
EXP-LOAD, 2023-07-21T22:08:26.236, ubuntu22-c, mtd-zk-1, 0.696117
EXP-LOAD, 2023-07-21T22:08:37.462, ubuntu22-c, mtd-zk-1, 0.653809
EXP-LEAD, 2023-07-21T22:08:38.517, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:08:44.449, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:08:45.513, ubuntu22-c, mtd-zk-1, 0.653809
EXP-LOAD, 2023-07-21T22:08:53.312, ubuntu22-c, mtd-zk-1, 0.685249
EXP-LEAD, 2023-07-21T22:08:55.305, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:09:01.238, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:09:02.317, ubuntu22-c, mtd-zk-1, 0.685249
EXP-LEAD, 2023-07-21T22:09:03.636, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:09:09.611, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:09:10.931, ubuntu22-c, mtd-zk-1, 0.688404
EXP-LOAD, 2023-07-21T22:09:23.810, ubuntu22-c, mtd-zk-1, 0.671253
EXP-LEAD, 2023-07-21T22:09:24.985, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:09:30.735, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-21T22:09:31.817, ubuntu22-c, mtd-zk-1, 0.671253
EXP-LOAD, 2023-07-21T22:09:40.131, ubuntu22-c, mtd-zk-1, 0.606405
EXP-LOAD, 2023-07-21T22:09:50.333, ubuntu22-c, mtd-zk-1, 0.630214
EXP-LOAD, 2023-07-21T22:09:57.412, ubuntu22-c, mtd-zk-1, 0.630214
EXP-LOAD, 2023-07-21T22:10:05.589, ubuntu22-c, mtd-zk-1, 0.652813
EXP-LOAD, 2023-07-21T22:10:14.740, ubuntu22-c, mtd-zk-1, 0.652813
EXP-LOAD, 2023-07-21T22:10:21.920, ubuntu22-c, mtd-zk-1, 0.727616
EXP-LOAD, 2023-07-21T22:10:32.067, ubuntu22-c, mtd-zk-1, 0.727616
EXP-LOAD, 2023-07-21T22:10:40.189, ubuntu22-c, mtd-zk-1, 0.700826
EXP-LEAD, 2023-07-21T22:10:41.222, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-21T22:10:45.953, ubuntu22-c, mtd-zk-1, END
