EXP-LOAD, 2023-07-29T12:28:28.694, ubuntu22-d, mtd-zk-2, 0.587422
EXP-LEAD, 2023-07-29T12:28:30.309, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:28:37.068, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:28:38.188, ubuntu22-d, mtd-zk-2, 0.609731
EXP-LOAD, 2023-07-29T12:28:48.760, ubuntu22-d, mtd-zk-2, 0.609731
EXP-LEAD, 2023-07-29T12:28:50.960, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:28:56.942, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:28:58.020, ubuntu22-d, mtd-zk-2, 0.741601
EXP-LEAD, 2023-07-29T12:28:59.232, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:29:07.415, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:29:08.482, ubuntu22-d, mtd-zk-2, 0.672812
EXP-LEAD, 2023-07-29T12:29:10.493, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:29:17.155, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:29:18.198, ubuntu22-d, mtd-zk-2, 0.672812
EXP-LEAD, 2023-07-29T12:29:19.689, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:29:29.542, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:29:30.655, ubuntu22-d, mtd-zk-2, 0.755818
EXP-LOAD, 2023-07-29T12:29:36.952, ubuntu22-d, mtd-zk-2, 0.676209
EXP-LEAD, 2023-07-29T12:29:39.057, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:29:46.769, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:29:47.885, ubuntu22-d, mtd-zk-2, 0.676209
EXP-LOAD, 2023-07-29T12:29:55.309, ubuntu22-d, mtd-zk-2, 0.757208
EXP-LOAD, 2023-07-29T12:30:05.409, ubuntu22-d, mtd-zk-2, 0.689910
EXP-LOAD, 2023-07-29T12:30:17.593, ubuntu22-d, mtd-zk-2, 0.689910
EXP-LOAD, 2023-07-29T12:30:24.787, ubuntu22-d, mtd-zk-2, 0.660822
EXP-LOAD, 2023-07-29T12:30:37.770, ubuntu22-d, mtd-zk-2, 0.671211
EXP-LOAD, 2023-07-29T12:30:47.702, ubuntu22-d, mtd-zk-2, 0.671211
EXP-LEAD, 2023-07-29T12:30:50.204, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:30:58.062, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:30:59.124, ubuntu22-d, mtd-zk-2, 0.741607
EXP-LOAD, 2023-07-29T12:31:06.333, ubuntu22-d, mtd-zk-2, 0.645346
EXP-LEAD, 2023-07-29T12:31:06.413, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:31:12.070, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:31:13.159, ubuntu22-d, mtd-zk-2, 0.645346
EXP-LOAD, 2023-07-29T12:31:24.316, ubuntu22-d, mtd-zk-2, 0.670223
EXP-LOAD, 2023-07-29T12:31:33.466, ubuntu22-d, mtd-zk-2, 0.670223
EXP-LOAD, 2023-07-29T12:31:40.726, ubuntu22-d, mtd-zk-2, 0.662130
EXP-LOAD, 2023-07-29T12:31:48.421, ubuntu22-d, mtd-zk-2, 0.662130
EXP-LOAD, 2023-07-29T12:32:00.591, ubuntu22-d, mtd-zk-2, 0.599445
EXP-LOAD, 2023-07-29T12:32:08.739, ubuntu22-d, mtd-zk-2, 0.705051
EXP-LOAD, 2023-07-29T12:32:15.886, ubuntu22-d, mtd-zk-2, 0.705051
EXP-LEAD, 2023-07-29T12:32:17.944, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:32:26.676, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:32:27.749, ubuntu22-d, mtd-zk-2, 0.601021
EXP-LOAD, 2023-07-29T12:32:35.115, ubuntu22-d, mtd-zk-2, 0.683636
EXP-LEAD, 2023-07-29T12:32:37.211, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:32:44.910, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:32:45.970, ubuntu22-d, mtd-zk-2, 0.683636
EXP-LEAD, 2023-07-29T12:32:47.395, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:32:53.067, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:32:54.127, ubuntu22-d, mtd-zk-2, 0.669009
EXP-LEAD, 2023-07-29T12:32:55.525, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:33:03.281, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:33:04.365, ubuntu22-d, mtd-zk-2, 0.693015
EXP-LOAD, 2023-07-29T12:33:12.738, ubuntu22-d, mtd-zk-2, 0.693015
EXP-LOAD, 2023-07-29T12:33:23.552, ubuntu22-d, mtd-zk-2, 0.637208
EXP-LOAD, 2023-07-29T12:33:29.669, ubuntu22-d, mtd-zk-2, 0.637208
EXP-LEAD, 2023-07-29T12:33:31.766, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:33:40.414, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:33:41.501, ubuntu22-d, mtd-zk-2, 0.621623
EXP-LOAD, 2023-07-29T12:33:48.969, ubuntu22-d, mtd-zk-2, 0.621623
EXP-LEAD, 2023-07-29T12:33:51.554, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:33:58.203, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:33:59.278, ubuntu22-d, mtd-zk-2, 0.621023
EXP-LOAD, 2023-07-29T12:34:11.747, ubuntu22-d, mtd-zk-2, 0.680320
EXP-LEAD, 2023-07-29T12:34:12.811, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:34:17.310, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:34:18.387, ubuntu22-d, mtd-zk-2, 0.680320
EXP-LOAD, 2023-07-29T12:34:25.033, ubuntu22-d, mtd-zk-2, 0.607650
EXP-LOAD, 2023-07-29T12:34:37.130, ubuntu22-d, mtd-zk-2, 0.692214
EXP-LEAD, 2023-07-29T12:34:38.179, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:34:44.746, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:34:45.824, ubuntu22-d, mtd-zk-2, 0.692214
EXP-LOAD, 2023-07-29T12:34:53.372, ubuntu22-d, mtd-zk-2, 0.614404
EXP-LOAD, 2023-07-29T12:35:01.368, ubuntu22-d, mtd-zk-2, 0.614404
EXP-LOAD, 2023-07-29T12:35:09.636, ubuntu22-d, mtd-zk-2, 0.686340
EXP-LEAD, 2023-07-29T12:35:11.737, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:35:16.328, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:35:17.402, ubuntu22-d, mtd-zk-2, 0.686340
EXP-LEAD, 2023-07-29T12:35:17.476, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:35:23.075, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:35:24.257, ubuntu22-d, mtd-zk-2, 0.759216
EXP-LOAD, 2023-07-29T12:35:33.643, ubuntu22-d, mtd-zk-2, 0.759216
EXP-LEAD, 2023-07-29T12:35:35.694, ubuntu22-d, mtd-zk-2, START
EXP-LEAD, 2023-07-29T12:35:41.370, ubuntu22-d, mtd-zk-2, END
EXP-LOAD, 2023-07-29T12:35:42.437, ubuntu22-d, mtd-zk-2, 0.678022
EXP-LOAD, 2023-07-29T12:35:50.939, ubuntu22-d, mtd-zk-2, 0.779805
EXP-LOAD, 2023-07-29T12:35:58.103, ubuntu22-d, mtd-zk-2, 0.779805
EXP-LOAD, 2023-07-29T12:36:09.212, ubuntu22-d, mtd-zk-2, 0.671931
EXP-LEAD, 2023-07-29T12:36:10.279, ubuntu22-d, mtd-zk-2, START
