EXP-LOAD, 2023-07-22T00:11:08.472, ubuntu22-c, mtd-zk-1, 0.564629
EXP-LOAD, 2023-07-22T00:11:18.143, ubuntu22-c, mtd-zk-1, 0.564629
EXP-LOAD, 2023-07-22T00:11:31.489, ubuntu22-c, mtd-zk-1, 0.702321
EXP-LOAD, 2023-07-22T00:11:42.768, ubuntu22-c, mtd-zk-1, 0.642806
EXP-LEAD, 2023-07-22T00:11:44.779, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:11:53.875, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:11:55.044, ubuntu22-c, mtd-zk-1, 0.695823
EXP-LEAD, 2023-07-22T00:11:57.086, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:12:03.312, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:12:04.392, ubuntu22-c, mtd-zk-1, 0.764218
EXP-LOAD, 2023-07-22T00:12:14.450, ubuntu22-c, mtd-zk-1, 0.764218
EXP-LOAD, 2023-07-22T00:12:21.796, ubuntu22-c, mtd-zk-1, 0.707537
EXP-LOAD, 2023-07-22T00:12:33.885, ubuntu22-c, mtd-zk-1, 0.707537
EXP-LOAD, 2023-07-22T00:12:42.161, ubuntu22-c, mtd-zk-1, 0.702204
EXP-LOAD, 2023-07-22T00:12:52.400, ubuntu22-c, mtd-zk-1, 0.624125
EXP-LEAD, 2023-07-22T00:12:53.503, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:12:58.451, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:12:59.768, ubuntu22-c, mtd-zk-1, 0.624125
EXP-LOAD, 2023-07-22T00:13:09.008, ubuntu22-c, mtd-zk-1, 0.728016
EXP-LOAD, 2023-07-22T00:13:17.136, ubuntu22-c, mtd-zk-1, 0.728016
EXP-LOAD, 2023-07-22T00:13:27.563, ubuntu22-c, mtd-zk-1, 0.660884
EXP-LEAD, 2023-07-22T00:13:28.683, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:13:38.750, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:13:39.839, ubuntu22-c, mtd-zk-1, 0.709431
EXP-LEAD, 2023-07-22T00:13:40.936, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:13:46.622, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:13:47.692, ubuntu22-c, mtd-zk-1, 0.709431
EXP-LEAD, 2023-07-22T00:13:49.126, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:13:54.918, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:13:56.009, ubuntu22-c, mtd-zk-1, 0.656306
EXP-LEAD, 2023-07-22T00:13:57.335, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:14:05.134, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:14:06.260, ubuntu22-c, mtd-zk-1, 0.714220
EXP-LOAD, 2023-07-22T00:14:13.639, ubuntu22-c, mtd-zk-1, 0.714220
EXP-LEAD, 2023-07-22T00:14:16.735, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:14:24.613, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:14:25.711, ubuntu22-c, mtd-zk-1, 0.681520
EXP-LOAD, 2023-07-22T00:14:33.065, ubuntu22-c, mtd-zk-1, 0.681520
EXP-LOAD, 2023-07-22T00:14:41.155, ubuntu22-c, mtd-zk-1, 0.677805
EXP-LOAD, 2023-07-22T00:14:52.151, ubuntu22-c, mtd-zk-1, 0.687619
EXP-LOAD, 2023-07-22T00:15:02.390, ubuntu22-c, mtd-zk-1, 0.687619
EXP-LOAD, 2023-07-22T00:15:10.571, ubuntu22-c, mtd-zk-1, 0.636009
EXP-LEAD, 2023-07-22T00:15:11.634, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:15:22.530, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:15:23.678, ubuntu22-c, mtd-zk-1, 0.642113
EXP-LEAD, 2023-07-22T00:15:24.778, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:15:30.630, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:15:31.686, ubuntu22-c, mtd-zk-1, 0.642113
EXP-LEAD, 2023-07-22T00:15:32.963, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:15:39.618, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:15:40.707, ubuntu22-c, mtd-zk-1, 0.715221
EXP-LOAD, 2023-07-22T00:15:48.125, ubuntu22-c, mtd-zk-1, 0.715221
EXP-LOAD, 2023-07-22T00:15:57.002, ubuntu22-c, mtd-zk-1, 0.689946
EXP-LEAD, 2023-07-22T00:15:58.077, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:16:05.930, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:16:07.038, ubuntu22-c, mtd-zk-1, 0.659846
EXP-LOAD, 2023-07-22T00:16:15.206, ubuntu22-c, mtd-zk-1, 0.659846
EXP-LOAD, 2023-07-22T00:16:23.377, ubuntu22-c, mtd-zk-1, 0.641408
EXP-LOAD, 2023-07-22T00:16:31.512, ubuntu22-c, mtd-zk-1, 0.641408
EXP-LEAD, 2023-07-22T00:16:32.262, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:16:40.147, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:16:41.218, ubuntu22-c, mtd-zk-1, 0.777210
EXP-LOAD, 2023-07-22T00:16:48.368, ubuntu22-c, mtd-zk-1, 0.777210
EXP-LOAD, 2023-07-22T00:16:56.564, ubuntu22-c, mtd-zk-1, 0.637740
EXP-LOAD, 2023-07-22T00:17:04.678, ubuntu22-c, mtd-zk-1, 0.681606
EXP-LOAD, 2023-07-22T00:17:14.799, ubuntu22-c, mtd-zk-1, 0.681606
EXP-LOAD, 2023-07-22T00:17:23.939, ubuntu22-c, mtd-zk-1, 0.669411
EXP-LEAD, 2023-07-22T00:17:25.667, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-22T00:17:31.404, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-22T00:17:32.462, ubuntu22-c, mtd-zk-1, 0.669411
EXP-LOAD, 2023-07-22T00:17:39.889, ubuntu22-c, mtd-zk-1, 0.660206
EXP-LOAD, 2023-07-22T00:17:49.092, ubuntu22-c, mtd-zk-1, 0.660206
EXP-LOAD, 2023-07-22T00:17:57.315, ubuntu22-c, mtd-zk-1, 0.678908
EXP-LOAD, 2023-07-22T00:18:06.447, ubuntu22-c, mtd-zk-1, 0.736433
EXP-LOAD, 2023-07-22T00:18:13.478, ubuntu22-c, mtd-zk-1, 0.736433
EXP-LOAD, 2023-07-22T00:18:24.660, ubuntu22-c, mtd-zk-1, 0.691115
EXP-LOAD, 2023-07-22T00:18:32.835, ubuntu22-c, mtd-zk-1, 0.691115
EXP-LOAD, 2023-07-22T00:18:44.027, ubuntu22-c, mtd-zk-1, 0.652410
EXP-LOAD, 2023-07-22T00:18:52.087, ubuntu22-c, mtd-zk-1, 0.713818
EXP-LOAD, 2023-07-22T00:18:59.322, ubuntu22-c, mtd-zk-1, 0.713818
EXP-LOAD, 2023-07-22T00:19:12.410, ubuntu22-c, mtd-zk-1, 0.643415
EXP-LOAD, 2023-07-22T00:19:18.515, ubuntu22-c, mtd-zk-1, 0.643415
