EXP-LOAD, 2023-07-22T01:13:53.135, ubuntu22-c, mtd-zk-0, 0.570418
EXP-LOAD, 2023-07-22T01:14:03.484, ubuntu22-c, mtd-zk-0, 0.570418
EXP-LOAD, 2023-07-22T01:14:13.762, ubuntu22-c, mtd-zk-0, 0.683318
EXP-LOAD, 2023-07-22T01:14:21.208, ubuntu22-c, mtd-zk-0, 0.649825
EXP-LOAD, 2023-07-22T01:14:28.664, ubuntu22-c, mtd-zk-0, 0.649825
EXP-LOAD, 2023-07-22T01:14:36.725, ubuntu22-c, mtd-zk-0, 0.688926
EXP-LOAD, 2023-07-22T01:14:47.172, ubuntu22-c, mtd-zk-0, 0.688926
EXP-LOAD, 2023-07-22T01:14:54.448, ubuntu22-c, mtd-zk-0, 0.728007
EXP-LEAD, 2023-07-22T01:14:56.512, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:15:03.821, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:15:04.971, ubuntu22-c, mtd-zk-0, 0.763627
EXP-LOAD, 2023-07-22T01:15:18.788, ubuntu22-c, mtd-zk-0, 0.763627
EXP-LOAD, 2023-07-22T01:15:27.081, ubuntu22-c, mtd-zk-0, 0.694047
EXP-LOAD, 2023-07-22T01:15:38.284, ubuntu22-c, mtd-zk-0, 0.614322
EXP-LOAD, 2023-07-22T01:15:47.409, ubuntu22-c, mtd-zk-0, 0.614322
EXP-LOAD, 2023-07-22T01:15:54.651, ubuntu22-c, mtd-zk-0, 0.643406
EXP-LEAD, 2023-07-22T01:15:56.505, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:16:05.870, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:16:07.028, ubuntu22-c, mtd-zk-0, 0.686014
EXP-LOAD, 2023-07-22T01:16:15.212, ubuntu22-c, mtd-zk-0, 0.686014
EXP-LOAD, 2023-07-22T01:16:27.236, ubuntu22-c, mtd-zk-0, 0.621513
EXP-LOAD, 2023-07-22T01:16:34.429, ubuntu22-c, mtd-zk-0, 0.676810
EXP-LEAD, 2023-07-22T01:16:36.538, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:16:42.433, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:16:43.576, ubuntu22-c, mtd-zk-0, 0.676810
EXP-LOAD, 2023-07-22T01:16:53.759, ubuntu22-c, mtd-zk-0, 0.703215
EXP-LOAD, 2023-07-22T01:17:01.923, ubuntu22-c, mtd-zk-0, 0.703215
EXP-LOAD, 2023-07-22T01:17:16.167, ubuntu22-c, mtd-zk-0, 0.645209
EXP-LEAD, 2023-07-22T01:17:16.259, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:17:22.208, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:17:23.283, ubuntu22-c, mtd-zk-0, 0.618209
EXP-LOAD, 2023-07-22T01:17:32.548, ubuntu22-c, mtd-zk-0, 0.618209
EXP-LOAD, 2023-07-22T01:17:42.731, ubuntu22-c, mtd-zk-0, 0.651307
EXP-LEAD, 2023-07-22T01:17:43.800, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:17:49.528, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:17:50.586, ubuntu22-c, mtd-zk-0, 0.630407
EXP-LOAD, 2023-07-22T01:18:00.079, ubuntu22-c, mtd-zk-0, 0.630407
EXP-LOAD, 2023-07-22T01:18:09.174, ubuntu22-c, mtd-zk-0, 0.681233
EXP-LOAD, 2023-07-22T01:18:16.904, ubuntu22-c, mtd-zk-0, 0.681233
EXP-LEAD, 2023-07-22T01:18:18.883, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:18:24.960, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:18:26.154, ubuntu22-c, mtd-zk-0, 0.707845
EXP-LEAD, 2023-07-22T01:18:29.045, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:18:36.884, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:18:38.018, ubuntu22-c, mtd-zk-0, 0.704326
EXP-LOAD, 2023-07-22T01:18:45.287, ubuntu22-c, mtd-zk-0, 0.704326
EXP-LOAD, 2023-07-22T01:18:53.427, ubuntu22-c, mtd-zk-0, 0.637287
EXP-LEAD, 2023-07-22T01:18:55.480, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:19:01.317, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:19:02.407, ubuntu22-c, mtd-zk-0, 0.637287
EXP-LOAD, 2023-07-22T01:19:11.760, ubuntu22-c, mtd-zk-0, 0.680204
EXP-LEAD, 2023-07-22T01:19:13.783, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:19:19.535, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:19:20.592, ubuntu22-c, mtd-zk-0, 0.701204
EXP-LEAD, 2023-07-22T01:19:21.911, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:19:29.920, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:19:32.014, ubuntu22-c, mtd-zk-0, 0.701204
EXP-LOAD, 2023-07-22T01:19:39.294, ubuntu22-c, mtd-zk-0, 0.646713
EXP-LOAD, 2023-07-22T01:19:47.489, ubuntu22-c, mtd-zk-0, 0.646713
EXP-LOAD, 2023-07-22T01:19:57.639, ubuntu22-c, mtd-zk-0, 0.635604
EXP-LOAD, 2023-07-22T01:20:05.560, ubuntu22-c, mtd-zk-0, 0.684329
EXP-LOAD, 2023-07-22T01:20:20.742, ubuntu22-c, mtd-zk-0, 0.632412
EXP-LOAD, 2023-07-22T01:20:27.897, ubuntu22-c, mtd-zk-0, 0.632412
EXP-LOAD, 2023-07-22T01:20:36.078, ubuntu22-c, mtd-zk-0, 0.616027
EXP-LEAD, 2023-07-22T01:20:36.688, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:20:45.574, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:20:46.736, ubuntu22-c, mtd-zk-0, 0.616027
EXP-LOAD, 2023-07-22T01:20:52.985, ubuntu22-c, mtd-zk-0, 0.673424
EXP-LEAD, 2023-07-22T01:20:55.025, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:21:03.106, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:21:04.172, ubuntu22-c, mtd-zk-0, 0.664506
EXP-LOAD, 2023-07-22T01:21:13.322, ubuntu22-c, mtd-zk-0, 0.664506
EXP-LEAD, 2023-07-22T01:21:15.438, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:21:24.064, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:21:25.180, ubuntu22-c, mtd-zk-0, 0.656606
EXP-LOAD, 2023-07-22T01:21:32.358, ubuntu22-c, mtd-zk-0, 0.656606
EXP-LOAD, 2023-07-22T01:21:41.455, ubuntu22-c, mtd-zk-0, 0.631340
EXP-LOAD, 2023-07-22T01:21:52.591, ubuntu22-c, mtd-zk-0, 0.729020
EXP-LOAD, 2023-07-22T01:22:02.776, ubuntu22-c, mtd-zk-0, 0.729020
EXP-LEAD, 2023-07-22T01:22:02.818, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:22:10.443, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:22:11.543, ubuntu22-c, mtd-zk-0, 0.664215
EXP-LEAD, 2023-07-22T01:22:13.993, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:22:19.571, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T01:22:20.655, ubuntu22-c, mtd-zk-0, 0.737207
EXP-LOAD, 2023-07-22T01:22:31.235, ubuntu22-c, mtd-zk-0, 0.737207
EXP-LEAD, 2023-07-22T01:22:33.299, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T01:22:40.044, ubuntu22-c, mtd-zk-0, END
