EXP-LOAD, 2023-07-22T01:13:53.759, ubuntu22-b, mtd-zk-1, 0.576430
EXP-LOAD, 2023-07-22T01:14:04.298, ubuntu22-b, mtd-zk-1, 0.659415
EXP-LOAD, 2023-07-22T01:14:13.603, ubuntu22-b, mtd-zk-1, 0.659415
EXP-LOAD, 2023-07-22T01:14:20.254, ubuntu22-b, mtd-zk-1, 0.664416
EXP-LOAD, 2023-07-22T01:14:28.585, ubuntu22-b, mtd-zk-1, 0.664416
EXP-LOAD, 2023-07-22T01:14:37.722, ubuntu22-b, mtd-zk-1, 0.704206
EXP-LOAD, 2023-07-22T01:14:47.083, ubuntu22-b, mtd-zk-1, 0.704206
EXP-LOAD, 2023-07-22T01:14:55.370, ubuntu22-b, mtd-zk-1, 0.631149
EXP-LOAD, 2023-07-22T01:15:04.634, ubuntu22-b, mtd-zk-1, 0.634041
EXP-LEAD, 2023-07-22T01:15:05.674, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:15:17.439, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:15:18.544, ubuntu22-b, mtd-zk-1, 0.634041
EXP-LEAD, 2023-07-22T01:15:20.914, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:15:26.835, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:15:27.930, ubuntu22-b, mtd-zk-1, 0.738808
EXP-LEAD, 2023-07-22T01:15:29.089, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:15:37.166, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:15:38.252, ubuntu22-b, mtd-zk-1, 0.752449
EXP-LEAD, 2023-07-22T01:15:40.372, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:15:46.198, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:15:47.276, ubuntu22-b, mtd-zk-1, 0.752449
EXP-LEAD, 2023-07-22T01:15:48.516, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:15:54.327, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:15:55.405, ubuntu22-b, mtd-zk-1, 0.731818
EXP-LOAD, 2023-07-22T01:16:06.747, ubuntu22-b, mtd-zk-1, 0.675811
EXP-LEAD, 2023-07-22T01:16:08.957, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:16:14.537, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:16:15.611, ubuntu22-b, mtd-zk-1, 0.675811
EXP-LEAD, 2023-07-22T01:16:17.164, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:16:26.077, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:16:27.153, ubuntu22-b, mtd-zk-1, 0.714815
EXP-LEAD, 2023-07-22T01:16:27.303, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:16:34.106, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:16:35.187, ubuntu22-b, mtd-zk-1, 0.744413
EXP-LOAD, 2023-07-22T01:16:42.654, ubuntu22-b, mtd-zk-1, 0.744413
EXP-LEAD, 2023-07-22T01:16:44.786, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:16:52.789, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:16:53.842, ubuntu22-b, mtd-zk-1, 0.673007
EXP-LOAD, 2023-07-22T01:17:00.874, ubuntu22-b, mtd-zk-1, 0.673007
EXP-LEAD, 2023-07-22T01:17:02.992, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:17:14.249, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:17:15.316, ubuntu22-b, mtd-zk-1, 0.742619
EXP-LOAD, 2023-07-22T01:17:23.353, ubuntu22-b, mtd-zk-1, 0.724301
EXP-LEAD, 2023-07-22T01:17:24.421, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:17:31.176, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:17:32.249, ubuntu22-b, mtd-zk-1, 0.724301
EXP-LOAD, 2023-07-22T01:17:41.710, ubuntu22-b, mtd-zk-1, 0.733806
EXP-LOAD, 2023-07-22T01:17:50.868, ubuntu22-b, mtd-zk-1, 0.676812
EXP-LEAD, 2023-07-22T01:17:52.927, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:17:59.530, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:18:00.612, ubuntu22-b, mtd-zk-1, 0.676812
EXP-LOAD, 2023-07-22T01:18:09.169, ubuntu22-b, mtd-zk-1, 0.717436
EXP-LOAD, 2023-07-22T01:18:16.851, ubuntu22-b, mtd-zk-1, 0.717436
EXP-LOAD, 2023-07-22T01:18:26.046, ubuntu22-b, mtd-zk-1, 0.692104
EXP-LOAD, 2023-07-22T01:18:37.145, ubuntu22-b, mtd-zk-1, 0.650426
EXP-LOAD, 2023-07-22T01:18:46.265, ubuntu22-b, mtd-zk-1, 0.650426
EXP-LOAD, 2023-07-22T01:18:54.434, ubuntu22-b, mtd-zk-1, 0.668652
EXP-LOAD, 2023-07-22T01:19:01.578, ubuntu22-b, mtd-zk-1, 0.668652
EXP-LOAD, 2023-07-22T01:19:11.723, ubuntu22-b, mtd-zk-1, 0.658803
EXP-LOAD, 2023-07-22T01:19:19.881, ubuntu22-b, mtd-zk-1, 0.676110
EXP-LOAD, 2023-07-22T01:19:32.050, ubuntu22-b, mtd-zk-1, 0.676110
EXP-LEAD, 2023-07-22T01:19:33.199, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:19:38.815, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:19:39.863, ubuntu22-b, mtd-zk-1, 0.713469
EXP-LEAD, 2023-07-22T01:19:41.345, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:19:47.189, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:19:48.273, ubuntu22-b, mtd-zk-1, 0.713469
EXP-LEAD, 2023-07-22T01:19:49.611, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:19:57.291, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:19:58.370, ubuntu22-b, mtd-zk-1, 0.676708
EXP-LOAD, 2023-07-22T01:20:06.570, ubuntu22-b, mtd-zk-1, 0.699237
EXP-LOAD, 2023-07-22T01:20:19.756, ubuntu22-b, mtd-zk-1, 0.688119
EXP-LEAD, 2023-07-22T01:20:21.804, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:20:26.394, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:20:27.486, ubuntu22-b, mtd-zk-1, 0.688119
EXP-LEAD, 2023-07-22T01:20:29.942, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:20:35.572, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:20:36.642, ubuntu22-b, mtd-zk-1, 0.660769
EXP-LOAD, 2023-07-22T01:20:45.883, ubuntu22-b, mtd-zk-1, 0.660769
EXP-LOAD, 2023-07-22T01:20:53.964, ubuntu22-b, mtd-zk-1, 0.674523
EXP-LOAD, 2023-07-22T01:21:04.191, ubuntu22-b, mtd-zk-1, 0.655648
EXP-LOAD, 2023-07-22T01:21:14.297, ubuntu22-b, mtd-zk-1, 0.655648
EXP-LOAD, 2023-07-22T01:21:24.446, ubuntu22-b, mtd-zk-1, 0.673027
EXP-LOAD, 2023-07-22T01:21:33.325, ubuntu22-b, mtd-zk-1, 0.673027
EXP-LOAD, 2023-07-22T01:21:42.456, ubuntu22-b, mtd-zk-1, 0.759820
EXP-LEAD, 2023-07-22T01:21:44.514, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:21:52.217, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:21:53.287, ubuntu22-b, mtd-zk-1, 0.651129
EXP-LOAD, 2023-07-22T01:22:01.721, ubuntu22-b, mtd-zk-1, 0.651129
EXP-LOAD, 2023-07-22T01:22:10.965, ubuntu22-b, mtd-zk-1, 0.658031
EXP-LOAD, 2023-07-22T01:22:21.079, ubuntu22-b, mtd-zk-1, 0.701238
EXP-LEAD, 2023-07-22T01:22:22.131, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:22:30.888, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:22:31.958, ubuntu22-b, mtd-zk-1, 0.701238
EXP-LOAD, 2023-07-22T01:22:41.351, ubuntu22-b, mtd-zk-1, 0.701481
EXP-LOAD, 2023-07-22T01:22:48.472, ubuntu22-b, mtd-zk-1, 0.701481
EXP-LOAD, 2023-07-22T01:22:58.626, ubuntu22-b, mtd-zk-1, 0.633431
EXP-LOAD, 2023-07-22T01:23:05.800, ubuntu22-b, mtd-zk-1, 0.673241
EXP-LEAD, 2023-07-22T01:23:07.781, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:23:13.443, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:23:14.535, ubuntu22-b, mtd-zk-1, 0.673241
EXP-LOAD, 2023-07-22T01:23:21.000, ubuntu22-b, mtd-zk-1, 0.696316
EXP-LEAD, 2023-07-22T01:23:23.029, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:23:28.635, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:23:29.735, ubuntu22-b, mtd-zk-1, 0.696316
EXP-LOAD, 2023-07-22T01:23:41.276, ubuntu22-b, mtd-zk-1, 0.766234
EXP-LEAD, 2023-07-22T01:23:41.347, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:23:47.010, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:23:48.058, ubuntu22-b, mtd-zk-1, 0.766234
EXP-LEAD, 2023-07-22T01:23:49.540, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:23:55.074, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:23:56.156, ubuntu22-b, mtd-zk-1, 0.665712
EXP-LEAD, 2023-07-22T01:23:57.688, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T01:24:05.349, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T01:24:06.419, ubuntu22-b, mtd-zk-1, 0.685210
EXP-LOAD, 2023-07-22T01:24:13.892, ubuntu22-b, mtd-zk-1, 0.685210
