EXP-LOAD, 2023-07-22T02:16:44.524, ubuntu22-c, mtd-zk-0, 0.563007
EXP-LEAD, 2023-07-22T02:16:45.790, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:16:52.715, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:16:53.874, ubuntu22-c, mtd-zk-0, 0.684231
EXP-LOAD, 2023-07-22T02:17:05.407, ubuntu22-c, mtd-zk-0, 0.814608
EXP-LOAD, 2023-07-22T02:17:15.678, ubuntu22-c, mtd-zk-0, 0.814608
EXP-LEAD, 2023-07-22T02:17:16.851, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:17:23.211, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:17:24.328, ubuntu22-c, mtd-zk-0, 0.584688
EXP-LOAD, 2023-07-22T02:17:33.300, ubuntu22-c, mtd-zk-0, 0.584688
EXP-LOAD, 2023-07-22T02:17:41.435, ubuntu22-c, mtd-zk-0, 0.768436
EXP-LOAD, 2023-07-22T02:17:54.941, ubuntu22-c, mtd-zk-0, 0.718117
EXP-LOAD, 2023-07-22T02:18:02.197, ubuntu22-c, mtd-zk-0, 0.718117
EXP-LOAD, 2023-07-22T02:18:09.525, ubuntu22-c, mtd-zk-0, 0.597225
EXP-LOAD, 2023-07-22T02:18:21.632, ubuntu22-c, mtd-zk-0, 0.683406
EXP-LOAD, 2023-07-22T02:18:29.934, ubuntu22-c, mtd-zk-0, 0.683406
EXP-LEAD, 2023-07-22T02:18:30.066, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:18:36.171, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:18:37.302, ubuntu22-c, mtd-zk-0, 0.605015
EXP-LOAD, 2023-07-22T02:18:45.389, ubuntu22-c, mtd-zk-0, 0.605015
EXP-LOAD, 2023-07-22T02:18:54.569, ubuntu22-c, mtd-zk-0, 0.699227
EXP-LOAD, 2023-07-22T02:19:04.774, ubuntu22-c, mtd-zk-0, 0.734424
EXP-LOAD, 2023-07-22T02:19:11.686, ubuntu22-c, mtd-zk-0, 0.734424
EXP-LOAD, 2023-07-22T02:19:21.855, ubuntu22-c, mtd-zk-0, 0.673619
EXP-LEAD, 2023-07-22T02:19:22.969, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:19:28.924, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:19:30.039, ubuntu22-c, mtd-zk-0, 0.673619
EXP-LOAD, 2023-07-22T02:19:40.279, ubuntu22-c, mtd-zk-0, 0.620016
EXP-LOAD, 2023-07-22T02:19:48.452, ubuntu22-c, mtd-zk-0, 0.620016
EXP-LOAD, 2023-07-22T02:19:58.670, ubuntu22-c, mtd-zk-0, 0.640634
EXP-LEAD, 2023-07-22T02:19:59.835, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:20:04.590, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:20:05.870, ubuntu22-c, mtd-zk-0, 0.799811
EXP-LOAD, 2023-07-22T02:20:14.099, ubuntu22-c, mtd-zk-0, 0.799811
EXP-LOAD, 2023-07-22T02:20:22.323, ubuntu22-c, mtd-zk-0, 0.707717
EXP-LOAD, 2023-07-22T02:20:31.426, ubuntu22-c, mtd-zk-0, 0.707717
EXP-LEAD, 2023-07-22T02:20:34.055, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:20:39.778, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:20:40.830, ubuntu22-c, mtd-zk-0, 0.669649
EXP-LOAD, 2023-07-22T02:20:53.333, ubuntu22-c, mtd-zk-0, 0.666910
EXP-LOAD, 2023-07-22T02:21:01.506, ubuntu22-c, mtd-zk-0, 0.666910
EXP-LOAD, 2023-07-22T02:21:11.639, ubuntu22-c, mtd-zk-0, 0.693024
EXP-LOAD, 2023-07-22T02:21:19.878, ubuntu22-c, mtd-zk-0, 0.607244
EXP-LOAD, 2023-07-22T02:21:31.025, ubuntu22-c, mtd-zk-0, 0.607244
