EXP-LOAD, 2023-07-22T02:16:43.497, ubuntu22-b, mtd-zk-1, 0.564662
EXP-LOAD, 2023-07-22T02:16:53.965, ubuntu22-b, mtd-zk-1, 0.670016
EXP-LEAD, 2023-07-22T02:16:55.094, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:17:04.146, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:17:05.270, ubuntu22-b, mtd-zk-1, 0.639807
EXP-LOAD, 2023-07-22T02:17:14.709, ubuntu22-b, mtd-zk-1, 0.639807
EXP-LOAD, 2023-07-22T02:17:23.930, ubuntu22-b, mtd-zk-1, 0.703465
EXP-LOAD, 2023-07-22T02:17:34.182, ubuntu22-b, mtd-zk-1, 0.692603
EXP-LEAD, 2023-07-22T02:17:35.285, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:17:41.291, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:17:42.394, ubuntu22-b, mtd-zk-1, 0.692603
EXP-LOAD, 2023-07-22T02:17:54.648, ubuntu22-b, mtd-zk-1, 0.640505
EXP-LEAD, 2023-07-22T02:17:55.066, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:18:00.934, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:18:02.027, ubuntu22-b, mtd-zk-1, 0.640505
EXP-LEAD, 2023-07-22T02:18:03.279, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:18:09.048, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:18:10.130, ubuntu22-b, mtd-zk-1, 0.685448
EXP-LOAD, 2023-07-22T02:18:21.619, ubuntu22-b, mtd-zk-1, 0.712161
EXP-LOAD, 2023-07-22T02:18:28.978, ubuntu22-b, mtd-zk-1, 0.712161
EXP-LOAD, 2023-07-22T02:18:38.155, ubuntu22-b, mtd-zk-1, 0.648013
EXP-LOAD, 2023-07-22T02:18:46.348, ubuntu22-b, mtd-zk-1, 0.648013
EXP-LEAD, 2023-07-22T02:18:48.386, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:18:54.123, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:18:55.214, ubuntu22-b, mtd-zk-1, 0.652124
EXP-LEAD, 2023-07-22T02:18:55.608, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:19:04.435, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:19:05.515, ubuntu22-b, mtd-zk-1, 0.697225
EXP-LOAD, 2023-07-22T02:19:10.721, ubuntu22-b, mtd-zk-1, 0.697225
EXP-LOAD, 2023-07-22T02:19:21.322, ubuntu22-b, mtd-zk-1, 0.742632
EXP-LOAD, 2023-07-22T02:19:29.021, ubuntu22-b, mtd-zk-1, 0.742632
EXP-LOAD, 2023-07-22T02:19:41.243, ubuntu22-b, mtd-zk-1, 0.653413
EXP-LOAD, 2023-07-22T02:19:49.382, ubuntu22-b, mtd-zk-1, 0.647063
EXP-LEAD, 2023-07-22T02:19:51.478, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:19:57.156, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:19:58.239, ubuntu22-b, mtd-zk-1, 0.647063
EXP-LOAD, 2023-07-22T02:20:04.965, ubuntu22-b, mtd-zk-1, 0.679649
EXP-LEAD, 2023-07-22T02:20:06.910, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:20:13.001, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:20:14.098, ubuntu22-b, mtd-zk-1, 0.679649
EXP-LOAD, 2023-07-22T02:20:23.230, ubuntu22-b, mtd-zk-1, 0.705322
EXP-LEAD, 2023-07-22T02:20:23.348, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:20:30.973, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:20:32.019, ubuntu22-b, mtd-zk-1, 0.705322
EXP-LOAD, 2023-07-22T02:20:41.145, ubuntu22-b, mtd-zk-1, 0.681032
EXP-LEAD, 2023-07-22T02:20:43.189, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:20:52.169, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:20:53.272, ubuntu22-b, mtd-zk-1, 0.663838
EXP-LOAD, 2023-07-22T02:21:00.494, ubuntu22-b, mtd-zk-1, 0.663838
EXP-LOAD, 2023-07-22T02:21:10.700, ubuntu22-b, mtd-zk-1, 0.642416
EXP-LOAD, 2023-07-22T02:21:20.873, ubuntu22-b, mtd-zk-1, 0.720179
EXP-LOAD, 2023-07-22T02:21:30.020, ubuntu22-b, mtd-zk-1, 0.720179
EXP-LOAD, 2023-07-22T02:21:39.299, ubuntu22-b, mtd-zk-1, 0.765054
EXP-LEAD, 2023-07-22T02:21:41.279, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:21:48.972, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:21:50.027, ubuntu22-b, mtd-zk-1, 0.692141
EXP-LOAD, 2023-07-22T02:21:58.538, ubuntu22-b, mtd-zk-1, 0.692141
EXP-LOAD, 2023-07-22T02:22:09.718, ubuntu22-b, mtd-zk-1, 0.628408
EXP-LEAD, 2023-07-22T02:22:11.740, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:22:16.324, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:22:17.403, ubuntu22-b, mtd-zk-1, 0.628408
EXP-LOAD, 2023-07-22T02:22:24.085, ubuntu22-b, mtd-zk-1, 0.707639
EXP-LOAD, 2023-07-22T02:22:35.106, ubuntu22-b, mtd-zk-1, 0.770615
EXP-LOAD, 2023-07-22T02:22:44.292, ubuntu22-b, mtd-zk-1, 0.770615
EXP-LEAD, 2023-07-22T02:22:45.391, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:22:51.025, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:22:52.086, ubuntu22-b, mtd-zk-1, 0.669103
EXP-LEAD, 2023-07-22T02:22:53.549, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:23:02.253, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:23:03.358, ubuntu22-b, mtd-zk-1, 0.669103
EXP-LOAD, 2023-07-22T02:23:12.783, ubuntu22-b, mtd-zk-1, 0.749826
EXP-LOAD, 2023-07-22T02:23:20.928, ubuntu22-b, mtd-zk-1, 0.637523
EXP-LOAD, 2023-07-22T02:23:33.051, ubuntu22-b, mtd-zk-1, 0.637523
EXP-LOAD, 2023-07-22T02:23:41.173, ubuntu22-b, mtd-zk-1, 0.786845
EXP-LOAD, 2023-07-22T02:23:48.310, ubuntu22-b, mtd-zk-1, 0.786845
EXP-LOAD, 2023-07-22T02:24:00.006, ubuntu22-b, mtd-zk-1, 0.638209
EXP-LOAD, 2023-07-22T02:24:08.161, ubuntu22-b, mtd-zk-1, 0.681421
EXP-LEAD, 2023-07-22T02:24:09.254, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:24:15.953, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:24:17.086, ubuntu22-b, mtd-zk-1, 0.681421
EXP-LEAD, 2023-07-22T02:24:18.371, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:24:24.231, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:24:25.289, ubuntu22-b, mtd-zk-1, 0.637841
EXP-LOAD, 2023-07-22T02:24:35.446, ubuntu22-b, mtd-zk-1, 0.686386
EXP-LOAD, 2023-07-22T02:24:44.315, ubuntu22-b, mtd-zk-1, 0.686386
EXP-LOAD, 2023-07-22T02:24:53.453, ubuntu22-b, mtd-zk-1, 0.712633
EXP-LEAD, 2023-07-22T02:24:55.497, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:25:00.071, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:25:01.182, ubuntu22-b, mtd-zk-1, 0.712633
EXP-LEAD, 2023-07-22T02:25:02.605, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:25:09.364, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:25:10.449, ubuntu22-b, mtd-zk-1, 0.686524
EXP-LEAD, 2023-07-22T02:25:11.747, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:25:17.411, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:25:18.483, ubuntu22-b, mtd-zk-1, 0.686524
EXP-LEAD, 2023-07-22T02:25:19.840, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:25:26.495, ubuntu22-b, mtd-zk-1, END
EXP-LOAD, 2023-07-22T02:25:27.547, ubuntu22-b, mtd-zk-1, 0.768036
EXP-LOAD, 2023-07-22T02:25:36.136, ubuntu22-b, mtd-zk-1, 0.707028
EXP-LEAD, 2023-07-22T02:25:36.201, ubuntu22-b, mtd-zk-1, START
EXP-LEAD, 2023-07-22T02:25:48.918, ubuntu22-b, mtd-zk-1, END
